baseClass,baseLabel,superClass,superLabel
UBERON:0002592,juxtarestiform body,UBERON:0014649,white matter of medulla oblongata
DOID:4540,dysgraphia,DOID:0060047,writing disorder
DOID:3925,steroid lipomatosis,DOID:3153,lipomatosis
HP:0009614,Bifid proximal phalanx of the thumb,HP:0009613,Duplication of the proximal phalanx of the thumb
HP:0009658,Aplasia/Hypoplasia of the phalanges of the thumb,HP:0009602,Abnormality of the phalanges of the thumb
HP:0010204,Broad proximal phalanges of the toes,HP:0010174,Broad phalanx of the toes
UBERON:2001547,abdominal scute,UBERON:2002294,fish scute
HP:0009393,Absent epiphyses of the 4th finger,HP:0009174,Abnormality of the epiphyses of the 4th finger
UBERON:0014613,cervical spinal cord gray matter,UBERON:0002315,gray matter of spinal cord
HP:0009153,Abnormality of the epiphysis of the proximal phalanx of the 5th finger,HP:0009150,Abnormality of the proximal phalanx of the 5th finger
UBERON:2005226,median fin proximal radial bone,UBERON:2105226,median fin proximal radial element
HP:0010469,Aplasia of the testes,HP:0010468,Aplasia/Hypoplasia of the testes
DOID:9406,hypopituitarism,DOID:53,pituitary gland disease
DOID:7480,large cell carcinoma with rhabdoid phenotype,DOID:4556,lung large cell carcinoma
UBERON:0011856,acinus of lactiferous gland,UBERON:0011858,acinus of exocrine gland
UBERON:0007275,crista of ampulla of posterior semicircular duct of membranous laybrinth,UBERON:0006935,crista ampullaris neuroepithelium
UBERON:4440010,pelvic fin radial skeleton,UBERON:4300013,paired fin radial skeleton
HP:0012300,Ureteral agenesis,HP:0000069,Abnormality of the ureter
UBERON:0004724,medial palpebral ligament,UBERON:0003581,eyelid connective tissue
HP:0100709,Reduction of oligodendroglia,HP:0100706,Abnormality of the oligodendroglia
DOID:9848,endolymphatic hydrops,DOID:9847,peripheral vertigo
HP:0009788,Quadriceps aplasia,HP:0100854,Aplasia of the musculature
UBERON:0014858,post-larval stage,UBERON:0000069,larval stage
CL:0000985,IgG plasma cell,CL:0000974,long lived plasma cell
CL:0000710,neurecto-epithelial cell,CL:0000075,columnar/cuboidal epithelial cell
HP:0005112,Dilatation of the abdominal aorta,HP:0001724,Aortic dilatation
HP:0009202,Fragmentation of the epiphysis of the proximal phalanx of the 5th finger,HP:0009153,Abnormality of the epiphysis of the proximal phalanx of the 5th finger
HP:0009348,Cone-shaped epiphysis of the proximal phalanx of the 3rd finger,HP:0009333,Abnormality of the epiphysis of the proximal phalanx of the 3rd finger
UBERON:0013559,Brodmann (1909) area 28,UBERON:0013529,Brodmann area
DOID:5172,endometrium carcinoma in situ,DOID:8719,in situ carcinoma
UBERON:0001195,inferior pancreaticoduodenal artery,UBERON:0004573,systemic artery
HP:0006234,Osteolysis involving tarsal bones,HP:0009134,Osteolysis involving bones of the feet
UBERON:0007124,pharyngeal pouch 3,UBERON:0004117,pharyngeal pouch
CL:1000287,myocyte of anterior internodal tract,CL:0002096,internodal tract myocyte
HP:0100575,Neoplasm of the gallbladder,HP:0012437,Abnormal gallbladder morphology
DOID:9905,follicular mucinosis,DOID:9098,sebaceous gland disease
HP:0002552,Trichodysplasia,HP:0001595,Abnormality of the hair
HP:0010272,Fragmentation of the epiphyses of the proximal phalanges of the hand,HP:0010245,Abnormality of the epiphyses of the proximal phalanges of the hand
HP:0008057,Aplasia/Hypoplasia affecting the fundus,HP:0001098,Abnormality of the fundus
UBERON:0011675,perichordal ring,UBERON:0004121,ectoderm-derived structure
UBERON:0002071,stratum lucidum of epidermis,UBERON:0004121,ectoderm-derived structure
CL:0000424,excretory cell,CL:0000151,secretory cell
UBERON:0003106,urostyle,UBERON:0002513,endochondral bone
UBERON:0002363,dura mater,UBERON:0004120,mesoderm-derived structure
HP:0012178,Reduced natural killer cell activity,HP:0012177,Abnormal natural killer cell physiology
HP:0100488,Symphalangism of the proximal phalanx of the hallux with the 1st metatarsal,HP:0010091,Symphalangism affecting the proximal phalanx of the hallux
DOID:13676,posterior scleritis,DOID:13452,scleritis
DOID:11086,chorioretinal scar,DOID:5679,retinal disease
HP:0100759,Clubbing of fingers,HP:0001217,Clubbing
HP:0005264,Abnormality of the gallbladder,HP:0004297,Abnormality of the biliary system
HP:0011690,Permanent junctional reciprocating tachycardia,HP:0011689,Supraventricular tachycardia with a concealed accessory connection
UBERON:0006206,iridocorneal angle,UBERON:0000015,anatomical boundary
UBERON:0002920,callosal sulcus,UBERON:0008334,subarachnoid sulcus
UBERON:0003395,mesentery of rectum,UBERON:0004854,gastrointestinal system mesentery
HP:0008519,Abnormality of the coccyx,HP:0000925,Abnormality of the vertebral column
HP:0010989,Abnormality of the intrinsic pathway,HP:0003256,Abnormality of the coagulation cascade
UBERON:0002111,artery smooth muscle tissue,UBERON:0004237,blood vessel smooth muscle
DOID:4303,sarcomatoid basal cell carcinoma,DOID:2513,basal cell carcinoma
UBERON:0012273,periampullary region of duodenum,UBERON:0004921,subdivision of digestive tract
UBERON:3000292,medial ramus of pterygoid,UBERON:0010313,neural crest-derived structure
DOID:3618,epidural neoplasm,DOID:5612,spinal cancer
UBERON:4100008,pedal claws,UBERON:0009564,distal limb integumentary appendage
HP:0006067,Multiple carpal ossification centers,HP:0006257,Abnormality of carpal bone ossification
HP:0002244,Abnormality of the small intestine,HP:0002242,Abnormality of the intestine
UBERON:0002077,cortex of hair,UBERON:0010314,structure with developmental contribution from neural crest
HP:0004150,Abnormality of the 3rd finger,HP:0001167,Abnormality of finger
DOID:5344,testicular yolk sac tumor,DOID:5345,testicular non-seminomatous germ cell cancer
DOID:3246,embryonal rhabdomyosarcoma,DOID:3247,rhabdomyosarcoma
UBERON:0011810,collection of feathers,UBERON:0000477,anatomical cluster
UBERON:0011818,superficial fascia,UBERON:0000479,tissue
UBERON:0001362,perineal vein,UBERON:0001638,vein
CL:0000043,mature basophil,CL:0000767,basophil
UBERON:0008586,tensor veli palatini,UBERON:0015212,lateral structure
NCBITaxon:52769,Actinomyces gerencseriae,NCBITaxon:1654,Actinomyces
DOID:2634,cystadenoma,DOID:657,adenoma
HP:0002656,Epiphyseal dysplasia,HP:0002652,Skeletal dysplasia
DOID:13507,trigonitis,DOID:1679,cystitis
DOID:8688,tonsillar pillar cancer,DOID:8557,oropharynx cancer
DOID:5507,clear cell ependymoma,DOID:4844,benign ependymoma
CL:0000116,pioneer neuron,CL:0000540,neuron
HP:0009413,Enlarged epiphyses of the 3rd finger,HP:0009320,Abnormality of the epiphyses of the 3rd finger
NCBITaxon:766,Rickettsiales,NCBITaxon:28211,Alphaproteobacteria
UBERON:0010337,mandibular process mesenchyme from head mesenchyme,UBERON:0006905,mandibular process mesenchyme
UBERON:4300023,interolateral plate,UBERON:0008907,dermal bone
HP:0100116,Irregular epiphysis of the middle phalanx of the 2nd toe,HP:0100089,Abnormality of the epiphysis of the middle phalanx of the 2nd toe
UBERON:0008573,lateral crico-arytenoid,UBERON:0010932,crico-arytenoid muscle
HP:0008002,Abnormality of macular pigmentation,HP:0001103,Abnormality of the macula
UBERON:0015100,distal tarsal cartilage,UBERON:0010885,hindlimb cartilage element
UBERON:0001528,radio-ulnar joint,UBERON:0003839,forelimb joint
UBERON:0004355,podocyte foot process,UBERON:0004120,mesoderm-derived structure
DOID:11934,head and neck cancer,DOID:0050686,organ system cancer
UBERON:0001883,olfactory tubercle,UBERON:0004732,segmental subdivision of nervous system
HP:0009990,Duplication of the proximal phalanx of the 5th finger,HP:0009150,Abnormality of the proximal phalanx of the 5th finger
HP:0100370,Aplasia/Hypoplasia of the distal phalanx of the 4th toe,HP:0010185,Aplasia/Hypoplasia of the distal phalanges of the toes
HP:0100647,Graves disease,HP:0011784,Thyrotoxicosis with diffuse goiter
DOID:5307,urethra clear cell adenocarcinoma,DOID:4910,urethra adenocarcinoma
HP:0004499,Chronic rhinitis due to narrow nasal airway,HP:0002257,Chronic rhinitis
UBERON:0001726,papilla of tongue,UBERON:0000064,organ part
UBERON:0003429,abdomen nerve,UBERON:0003825,nerve of abdominal segment
DOID:3565,meningioma,DOID:3620,central nervous system cancer
UBERON:0002322,periventricular nucleus,UBERON:0002308,nucleus of brain
UBERON:2002044,anterior limb of parapophysis 4,UBERON:0004530,bony projection
HP:0006694,Early progressive calcific cardiac valvular disease,HP:0005146,Cardiac valve calcification
CL:0000960,T3 B cell,CL:0000818,transitional stage B cell
UBERON:0010032,anterior part of tongue,UBERON:0010314,structure with developmental contribution from neural crest
UBERON:0009984,medial condyle of femur,UBERON:0009980,condyle of femur
HP:0100363,Aplasia of the phalanges of the 4th toe,HP:0010371,Aplasia/Hypoplasia of the phalanges of the 4th toe
CL:0000753,type 1 cone bipolar cell (sensu Mus),CL:0000750,OFF-bipolar cell
UBERON:3000628,ventral ramus of squamosal,UBERON:0004120,mesoderm-derived structure
DOID:13186,megaesophagus,DOID:6050,esophageal disease
HP:0003982,Absent ulna,HP:0009822,Aplasia involving forearm bones
UBERON:3010624,subarticular sesamoid,UBERON:0012357,digitopodium bone
UBERON:0014634,ventral nerve root of cervical spinal cord,UBERON:0002260,ventral root of spinal cord
UBERON:0002869,diffuse reticular nucleus,UBERON:0002680,regional part of metencephalon
DOID:12084,transient arthropathy,DOID:2092,transient arthritis
UBERON:0011598,coronoid bone,UBERON:0004768,bone of lower jaw
HP:0008823,Hypoplastic inferior pubic rami,HP:0003173,Hypoplastic pubic bones
DOID:8541,Sezary's disease,DOID:0060061,cutaneous T cell lymphoma
HP:0012519,Hypoplastic posterior communicating artery,HP:0012518,Abnormality of circle of Willis
HP:0000572,Visual loss,HP:0000505,Visual impairment
DOID:12689,acoustic neuroma,DOID:3192,neurilemmoma
UBERON:2002050,Schreckstoff,UBERON:0000470,cell part
HP:0100851,Abnormal emotion/affect behavior,HP:0000708,Behavioural/Psychiatric Abnormality
UBERON:2002108,buccal papilla,UBERON:0004121,ectoderm-derived structure
NCBITaxon:169455,Coelopellini,NCBITaxon:169449,Coelopinae
UBERON:0004368,Reichert's cartilage,UBERON:0005291,embryonic tissue
HP:0010064,Symphalangism affecting the phalanges of the hallux,HP:0010057,Abnormality of the phalanges of the hallux
UBERON:0005081,ureter ureteric bud,UBERON:0000084,ureteric bud
UBERON:0014524,electromotor division of oculomotor nuclear complex,UBERON:0010314,structure with developmental contribution from neural crest
DOID:3004,breast myoepithelial neoplasm,DOID:1612,breast cancer
UBERON:0011804,"feather bud, epidermal component",UBERON:0005153,epithelial bud
UBERON:0001429,pisiform,UBERON:0007997,sesamoid bone of manus
DOID:10205,axillary lipoma,DOID:0060097,thoracic benign neoplasm
HP:0012445,Morphological abnormality of the pyramidal tracts,HP:0002062,Abnormality of the pyramidal tracts
HP:0002265,Large fleshy ears,HP:0000400,Macrotia
UBERON:4000070,elasmoid scale,UBERON:0010314,structure with developmental contribution from neural crest
HP:0009983,Partial duplication of the proximal phalanx of the 4th finger,HP:0009974,Partial duplication of the phalanges of the 4th finger
CL:0002638,bronchioalveolar stem cell,CL:1000351,basal cell of epithelium of respiratory bronchiole
HP:0000567,Chorioretinal coloboma,HP:0000611,Choroid coloboma
HP:0007670,Abnormal vestibulo-ocular reflex,HP:0001751,Vestibular dysfunction
UBERON:0003325,mesenchyme of pinna,UBERON:0003104,mesenchyme
HP:0011465,Duodenal aganglionosis,HP:0011464,Aganglionosis of the small intestine
DOID:4371,Schnitzler syndrome,DOID:2916,hypersensitivity reaction type IV disease
DOID:7927,malignant type A thymoma,DOID:3279,spindle cell thymoma
UBERON:2001349,stratum opticum,UBERON:0004121,ectoderm-derived structure
DOID:13295,crater-like holes of optic disc,DOID:1393,visual pathway disease
UBERON:3010815,m. flexor indicis superficialis proprius,UBERON:0001630,muscle organ
HP:0005639,Hyperextensible hand joints,HP:0001382,Joint hypermobility
HP:0008438,Vertebral arch anomaly,HP:0003312,Abnormal form of the vertebral bodies
DOID:5505,papillary ependymoma,DOID:4844,benign ependymoma
DOID:663,scrotal angioma,DOID:471,skin hemangioma
HP:0003468,Abnormality of the vertebrae,HP:0000925,Abnormality of the vertebral column
HP:0000474,Thickened nuchal skin fold,HP:0000464,Abnormality of the neck
HP:0006710,Aplasia/Hypoplasia of the clavicles,HP:0006711,Aplasia/Hypoplasia involving bones of the thorax
DOID:8484,maple bark strippers' lung,DOID:2473,opportunistic mycosis
HP:0003361,Tryptophanuria,HP:0004365,Abnormality of tryptophan metabolism
HP:0001931,Hypochromic anemia,HP:0010972,Anemia of inadequate production
UBERON:0004790,skin mucous gland,UBERON:0000414,mucous gland
CL:1000453,epithelial cell of intermediate tubule,CL:1000909,kidney loop of henle epithelial cell
DOID:12055,sarcoid meningitis,DOID:9471,meningitis
UBERON:0013613,tooth cingulum,UBERON:0010314,structure with developmental contribution from neural crest
DOID:7266,familiar fallopian tube carcinoma,DOID:1963,fallopian tube carcinoma
UBERON:0009590,mesenchyme of interdigital region between pedal digits 1 and 2,UBERON:0009596,mesenchyme of interdigital region between digits 1 and 2
UBERON:0004613,mammalian cervical vertebra 4,UBERON:0002413,cervical vertebra
DOID:0060153,topographical agnosia,DOID:0060155,visual agnosia
CL:0000675,female gamete,CL:0000300,gamete
UBERON:0011206,hinge joint,UBERON:0000982,skeletal joint
UBERON:0006794,visual processing part of nervous system,UBERON:0011216,organ system subdivision
UBERON:2002161,ural centrum 4,UBERON:2002085,ural centrum
UBERON:0005841,cervical spinal cord dorsal column,UBERON:0006079,subdivision of spinal cord dorsal column
HP:0100544,Neoplasm of the heart,HP:0011793,Neoplasm by anatomical site
HP:0006315,Single median maxillary incisor,HP:0011064,Abnormal number of incisors
UBERON:0014694,posterior auricular artery,UBERON:0000077,mixed endoderm/mesoderm-derived structure
CL:1001005,glomerular capillary endothelial cell,CL:0002188,glomerular endothelial cell
DOID:12680,pseudobulbar palsy,DOID:936,brain disease
UBERON:0009675,facial VII nerve chorda tympani branch,UBERON:0001647,facial nerve
HP:0001722,High-output congestive heart failure,HP:0001635,Congestive heart failure
UBERON:4200177,supracondyle tubercle,UBERON:4100000,skeletal element projection
HP:0000732,Inflexible adherence to routines or rituals,HP:0100851,Abnormal emotion/affect behavior
UBERON:0012246,thyroid follicular lumen,UBERON:0000464,anatomical space
HP:0002804,Arthrogryposis multiplex congenita,HP:0002803,Congenital contracture
UBERON:0010264,hepatopancreas,UBERON:0003408,gland of gut
DOID:3261,Job's syndrome,DOID:2959,hyperimmunoglobulin syndrome
HP:0007885,Slowed horizontal saccades,HP:0000514,Slow saccadic eye movements
UBERON:0010750,prefrontal bone,UBERON:0003462,facial bone
HP:0000480,Retinal coloboma,HP:0000479,Abnormality of the retina
DOID:2678,adult mesoblastic nephroma,DOID:154,mixed cell type cancer
UBERON:0001253,lamina propria of ureter,UBERON:0006554,urinary system structure
UBERON:0007152,inferior sagittal sinus,UBERON:0003499,brain blood vessel
HP:0009330,Stippling of the epiphysis of the middle phalanx of the 3rd finger,HP:0009334,Abnormality of the epiphysis of the middle phalanx of the 3rd finger
UBERON:2001805,articular bone,UBERON:0002513,endochondral bone
HP:0009662,Abnormality of the epiphysis of the distal phalanx of the thumb,HP:0010243,Abnormality of the epiphyses of the distal phalanx of finger
HP:0100842,Septo-optic dysplasia,HP:0000609,Optic nerve hypoplasia
HP:0001285,Spastic tetraparesis,HP:0001257,Spasticity
HP:0012120,Methylmalonic aciduria,HP:0003215,Dicarboxylic aciduria
CL:0000706,choroid plexus epithelial cell,CL:0000627,transporting cell
UBERON:0002289,midbrain cerebral aqueduct,UBERON:0010314,structure with developmental contribution from neural crest
HP:0100181,Bracket epiphysis of the middle phalanx of the 4th toe,HP:0100095,Abnormality of the epiphysis of the middle phalanx of the 4th toe
HP:0009248,Abnormality of the epiphysis of the proximal phalanx of the 4th finger,HP:0009284,Abnormality of the proximal phalanx of the 4th finger
HP:0009300,Aplasia/Hypoplasia of the proximal phalanx of the 4th finger,HP:0009408,Aplasia/Hypoplasia of the phalanges of the 4th finger
DOID:2962,Cockayne syndrome,DOID:37,skin disease
HP:0004324,Increased body weight,HP:0004323,Abnormality of body weight
UBERON:2001653,pharyngobranchial 3 tooth,UBERON:0001091,calcareous tooth
DOID:0050678,Blau syndrome,DOID:0050736,autosomal dominant disease
DOID:13060,traumatic glaucoma,DOID:1686,glaucoma
CL:0000645,pituicyte,CL:0000127,astrocyte
UBERON:0013181,blowhole ligament,UBERON:0008845,nonskeletal ligament
UBERON:2000587,sphenotic,UBERON:0011164,neurocranium bone
