baseClass,baseLabel,superClass,superLabel
OMIM:614228,"Charcot-Marie-Tooth Disease, Axonal, Type 2o",DOID:0050539,Charcot-Marie-Tooth disease type 2
OMIM:187370,"Arthrogryposis, Distal, Type 10",DOID:0050646,distal arthrogryposis
OMIM:112700,"Brachydactyly, Type A3",DOID:0050581,brachydactyly
OMIM:614465,Joubert Syndrome 16,DOID:0050777,Joubert syndrome
OMIM:141500,"Migraine, Familial Hemiplegic, 1",DOID:0060178,familial hemiplegic migraine
OMIM:613502,"Agammaglobulinemia 4, Autosomal Recessive",DOID:2583,agammaglobulinemia
OMIM:614629,Keratoconus 7,DOID:10126,keratoconus
OMIM:109730,Aortic Valve Disease 1,DOID:1712,aortic valve stenosis
OMIM:605909,"Parkinson Disease 6, Autosomal Recessive Early-Onset",DOID:14330,Parkinson's disease
OMIM:604804,"Microcephaly 3, Primary, Autosomal Recessive",DOID:10907,microcephaly
OMIM:610852,"Ciliary Dyskinesia, Primary, 6",DOID:9562,primary ciliary dyskinesia
OMIM:177700,"Glaucoma 1, Open Angle, P",DOID:1067,open-angle glaucoma
OMIM:151400,"Leukemia, Chronic Lymphocytic",DOID:1040,chronic lymphocytic leukemia
OMIM:614196,"Nephrotic Syndrome, Type 6",DOID:1184,nephrotic syndrome
OMIM:175100,Familial Adenomatous Polyposis 1,DOID:0050424,familial adenomatous polyposis
OMIM:612529,"Amelogenesis Imperfecta, Hypomaturation Type, Iia2",DOID:2187,amelogenesis imperfecta
OMIM:305390,"Exudative Vitreoretinopathy 2, X-Linked",DOID:0050535,exudative vitreoretinopathy
OMIM:608751,"Cardiomyopathy, Familial Hypertrophic, 8",DOID:11984,hypertrophic cardiomyopathy
OMIM:614844,Nephronophthisis 14,DOID:12712,nephronophthisis
OMIM:259440,"Osteogenesis Imperfecta, Type Ix",DOID:12347,osteogenesis imperfecta
OMIM:220290,"Deafness, Autosomal Recessive 1a",DOID:0050565,autosomal recessive nonsyndromic deafness
OMIM:224120,"Anemia, Congenital Dyserythropoietic, Type Ia",DOID:1338,congenital dyserythropoietic anemia
OMIM:614628,Keratoconus 8,DOID:10126,keratoconus
OMIM:608591,"Charcot-Marie-Tooth Disease, Axonal, Type 2g",DOID:0050539,Charcot-Marie-Tooth disease type 2
OMIM:600316,"Deafness, Autosomal Recessive 3",DOID:0050565,autosomal recessive nonsyndromic deafness
OMIM:610738,"Neutropenia, Severe Congenital, 3, Autosomal Recessive",DOID:0050590,severe congenital neutropenia
OMIM:604841,"Stickler Syndrome, Type Ii",DOID:0080046,Stickler syndrome
OMIM:613839,Megaloblastic Anemia Due To Dihydrofolate Reductase Deficiency,DOID:13382,megaloblastic anemia
OMIM:615300,Perrault Syndrome 4,DOID:0050857,Perrault syndrome
OMIM:277970,Wiskott-Aldrich Syndrome,DOID:9169,Wiskott-Aldrich syndrome
OMIM:600901,"Fanconi Anemia, Complementation Group E",DOID:13636,Fanconi's anemia
OMIM:611571,Otosclerosis 4,DOID:12185,otosclerosis
OMIM:270970,"Spherocytosis, Type 3",DOID:12971,hereditary spherocytosis
OMIM:240200,"Hypoadrenocorticism, Familial",DOID:13774,Addison's disease
OMIM:121201,"Seizures, Benign Familial Neonatal, 2",DOID:14264,benign neonatal seizures
OMIM:276950,Vacterl Association With Hydrocephalus,DOID:14679,VACTERL association
OMIM:137750,"Glaucoma 1, Open Angle, A",DOID:1067,open-angle glaucoma
OMIM:145000,Hyperparathyroidism 1,DOID:13543,hyperparathyroidism
OMIM:613500,"Agammaglobulinemia 2, Autosomal Recessive",DOID:2583,agammaglobulinemia
OMIM:130600,Elliptocytosis 2,DOID:2373,hereditary elliptocytosis
OMIM:608840,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Mental Retardation), Type B, 6",DOID:0050557,congenital muscular dystrophy
OMIM:301050,"Alport Syndrome, X-Linked",DOID:10983,Alport syndrome
OMIM:609456,"Muscular Dystrophy, Congenital, Merosin-Positive",DOID:0050557,congenital muscular dystrophy
OMIM:300558,"Mental Retardation, X-Linked 30",DOID:0050776,non-specific X-linked mental retardation
OMIM:613097,"Tooth Agenesis, Selective, 6",DOID:0050591,tooth agenesis
OMIM:613286,"Cardiomyopathy, Dilated, 1ff",DOID:12930,dilated cardiomyopathy
OMIM:278700,"Xeroderma Pigmentosum, Complementation Group A",DOID:0050427,xeroderma pigmentosum
OMIM:613678,Brachyolmia Type 2,DOID:0050690,brachyolmia
OMIM:605594,"Deafness, Autosomal Dominant 39, With Dentinogenesis Imperfecta 1",DOID:0050564,autosomal dominant nonsyndromic deafness
OMIM:603233,"Pseudohypoparathyroidism, Type Ib",DOID:4184,pseudohypoparathyroidism
OMIM:610629,Diamond-Blackfan Anemia 3,DOID:1339,Diamond-Blackfan anemia
DOID:4647,trilateral retinoblastoma,OMIM:180200,Retinoblastoma
OMIM:109543,"Leukemia, Chronic Lymphocytic, Susceptibility To, 2",DOID:1040,chronic lymphocytic leukemia
OMIM:612644,"Deafness, Autosomal Dominant 2b",DOID:0050564,autosomal dominant nonsyndromic deafness
OMIM:300537,"Heterotopia, Periventricular, Ehlers-Danlos Variant",DOID:0050454,periventricular nodular heterotopia
OMIM:607516,"Migraine With Or Without Aura, Susceptibility To, 6",DOID:0060178,familial hemiplegic migraine
OMIM:611572,Otosclerosis 7,DOID:12185,otosclerosis
OMIM:112500,"Brachydactyly, Type A1",DOID:0050581,brachydactyly
OMIM:133701,"Exostoses, Multiple, Type Ii",DOID:206,hereditary multiple exostoses
OMIM:607682,"Epilepsy, Idiopathic Generalized, Susceptibility To, 9",DOID:1827,idiopathic generalized epilepsy
OMIM:603965,Focal Segmental Glomerulosclerosis 2,DOID:1312,focal segmental glomerulosclerosis
OMIM:601847,"Cholestasis, Progressive Familial Intrahepatic, 2",DOID:1852,intrahepatic cholestasis
OMIM:104000,Alopecia Areata 1,DOID:986,alopecia areata
OMIM:118100,"Klippel-Feil Syndrome 1, Autosomal Dominant",DOID:10426,Klippel-Feil syndrome
OMIM:615636,Joubert Syndrome 21,DOID:0050777,Joubert syndrome
OMIM:606324,"Parkinson Disease 7, Autosomal Recessive Early-Onset",DOID:14330,Parkinson's disease
OMIM:608898,"Hemophagocytic Lymphohistiocytosis, Familial, 3",DOID:0050120,hemophagocytic lymphohistiocytosis
OMIM:502500,"Alzheimer Disease, Susceptibility To, Mitochondrial",DOID:10652,Alzheimer's disease
OMIM:267200,Renal Tubular Acidosis Iii,DOID:14219,renal tubular acidosis
OMIM:236670,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A, 1",DOID:0050560,Walker-Warburg syndrome
OMIM:613763,"Cataract 16, Multiple Types",DOID:0050537,posterior polar cataract
OMIM:615605,Fanconi Renotubular Syndrome 3,DOID:1062,Fanconi syndrome
OMIM:610188,Joubert Syndrome 5,DOID:0050777,Joubert syndrome
OMIM:250100,Metachromatic Leukodystrophy,DOID:10581,metachromatic leukodystrophy
OMIM:610759,Cornelia De Lange Syndrome 3,DOID:11725,Cornelia de Lange syndrome
OMIM:256300,"Nephrotic Syndrome, Type 1",DOID:1184,nephrotic syndrome
OMIM:257320,Lissencephaly 2,DOID:0050453,lissencephaly
OMIM:612643,"Deafness, Autosomal Dominant 3b",DOID:0050564,autosomal dominant nonsyndromic deafness
OMIM:151660,"Lipodystrophy, Familial Partial, Type 2",DOID:0050440,familial partial lipodystrophy
OMIM:133700,"Exostoses, Multiple, Type I",DOID:206,hereditary multiple exostoses
OMIM:613027,Glycogen Storage Disease Ixc,DOID:0050594,glycogen storage disease IX
OMIM:613252,"Cardiomyopathy, Dilated, 1ee",DOID:12930,dilated cardiomyopathy
OMIM:612900,"Cerebral Palsy, Spastic Quadriplegic, 2",DOID:10970,spastic quadriplegia
OMIM:608340,"Charcot-Marie-Tooth Disease, Recessive Intermediate A",DOID:0050543,Charcot-Marie-Tooth disease intermediate type
OMIM:613376,"Neuronopathy, Distal Hereditary Motor, Type Iic",DOID:0050582,distal hereditary motor neuropathy
OMIM:134600,Fanconi Renotubular Syndrome 1,DOID:1062,Fanconi syndrome
OMIM:610832,"Fanconi Anemia, Complementation Group N",DOID:13636,Fanconi's anemia
OMIM:614135,"Epiphyseal Dysplasia, Multiple, 6",DOID:12721,multiple epiphyseal dysplasia
OMIM:226000,Endocardial Fibroelastosis,DOID:12929,endocardial fibroelastosis
OMIM:306955,"Heterotaxy, Visceral, 1, X-Linked",DOID:0050545,visceral heterotaxy
OMIM:147421,Inclusion Body Myositis,DOID:3429,inclusion body myositis
OMIM:309583,"Mental Retardation, X-Linked, Syndromic, Snyder-Robinson Type",DOID:0050888,syndromic intellectual disability
OMIM:601154,"Cardiomyopathy, Dilated, 1e",DOID:12930,dilated cardiomyopathy
OMIM:257220,"Niemann-Pick Disease, Type C1",DOID:14504,Niemann-Pick disease
OMIM:614653,"Neuropathy, Hereditary Sensory And Autonomic, Type Vi",DOID:0050548,hereditary sensory neuropathy
OMIM:608716,"Microcephaly 5, Primary, Autosomal Recessive",DOID:10907,microcephaly
OMIM:602522,"Bartter Syndrome, Type 4a",DOID:445,Bartter disease
OMIM:612527,Diamond-Blackfan Anemia 4,DOID:1339,Diamond-Blackfan anemia
OMIM:256050,"Atelosteogenesis, Type Ii",DOID:0050648,atelosteogenesis
OMIM:612528,Diamond-Blackfan Anemia 5,DOID:1339,Diamond-Blackfan anemia
OMIM:601518,"Prostate Cancer, Hereditary, 1",DOID:10283,prostate cancer
OMIM:608644,"Ciliary Dyskinesia, Primary, 3",DOID:9562,primary ciliary dyskinesia
OMIM:612645,"Deafness, Autosomal Recessive 1b",DOID:0050565,autosomal recessive nonsyndromic deafness
OMIM:613823,Seckel Syndrome 5,DOID:0050569,Seckel syndrome
OMIM:609823,"Deafness, Autosomal Recessive 28",DOID:0050565,autosomal recessive nonsyndromic deafness
OMIM:614623,Keratoconus 6,DOID:10126,keratoconus
OMIM:607631,"Epilepsy, Juvenile Absence, Susceptibility To, 1",DOID:4890,juvenile myoclonic epilepsy
OMIM:104200,"Alport Syndrome, Autosomal Dominant",DOID:10983,Alport syndrome
OMIM:142945,Holoprosencephaly 3,DOID:4621,holoprosencephaly
OMIM:123100,Craniosynostosis 1,DOID:2340,craniosynostosis
OMIM:211980,Lung Cancer,DOID:1324,lung cancer
OMIM:615397,"Meckel Syndrome, Type 11",DOID:0050778,Meckel syndrome
OMIM:608908,Myopia 6,DOID:11830,myopia
OMIM:101000,"Neurofibromatosis, Type Ii",DOID:8712,neurofibromatosis
OMIM:613642,"Cardiomyopathy, Dilated, 1gg",DOID:12930,dilated cardiomyopathy
OMIM:115200,"Cardiomyopathy, Dilated, 1a",DOID:12930,dilated cardiomyopathy
OMIM:614820,Alternating Hemiplegia Of Childhood 2,DOID:0050635,alternating hemiplegia of childhood
OMIM:613702,"Klippel-Feil Syndrome 3, Autosomal Dominant",DOID:10426,Klippel-Feil syndrome
OMIM:254100,"Muscular Dystrophy, Congenital, With Rapid Progression",DOID:0050557,congenital muscular dystrophy
OMIM:202110,"Adrenal Hyperplasia, Congenital, Due To 17-Alpha-Hydroxylase Deficiency",DOID:0050811,congenital adrenal hyperplasia
OMIM:146520,Hypotrichosis 2,DOID:4535,hypotrichosis
OMIM:300770,"Surfactant Metabolism Dysfunction, Pulmonary, 4",DOID:12120,pulmonary alveolar proteinosis
OMIM:106600,"Tooth Agenesis, Selective, 1",DOID:0050591,tooth agenesis
OMIM:166220,"Osteogenesis Imperfecta, Type Iv",DOID:12347,osteogenesis imperfecta
OMIM:609800,"Generalized Epilepsy With Febrile Seizures Plus, Type 4",DOID:0060170,generalized epilepsy with febrile seizures plus
OMIM:613985,Beta-Thalassemia,DOID:12241,beta thalassemia
DOID:1455,geographic tongue,OMIM:137400,Geographic Tongue And Fissured Tongue
OMIM:614622,Keratoconus 5,DOID:10126,keratoconus
OMIM:601472,"Charcot-Marie-Tooth Disease, Axonal, Type 2d",DOID:0050539,Charcot-Marie-Tooth disease type 2
OMIM:614475,Atrial Septal Defect 9,DOID:1882,atrial heart septal defect
OMIM:607831,"Charcot-Marie-Tooth Disease, Axonal, Type 2k",DOID:0050539,Charcot-Marie-Tooth disease type 2
OMIM:612965,"46,Xy Sex Reversal 3",DOID:14448,46 XY gonadal dysgenesis
OMIM:615010,Aicardi-Goutieres Syndrome 6,DOID:0050629,Aicardi-Goutieres syndrome
OMIM:610189,Senior-Loken Syndrome 6,DOID:0050576,Senior-Loken syndrome
OMIM:613159,Nephronophthisis-Like Nephropathy 1,DOID:12712,nephronophthisis
OMIM:615219,"Hydrocephalus, Nonsyndromic, Autosomal Recessive 2",DOID:10908,hydrocephalus
OMIM:607855,"Muscular Dystrophy, Congenital Merosin-Deficient, 1a",DOID:0050557,congenital muscular dystrophy
OMIM:115196,"Cardiomyopathy, Familial Hypertrophic, 3",DOID:11984,hypertrophic cardiomyopathy
OMIM:259720,"Osteopetrosis, Autosomal Recessive 5",DOID:13533,osteopetrosis
OMIM:310300,"Emery-Dreifuss Muscular Dystrophy 1, X-Linked",DOID:11726,Emery-Dreifuss muscular dystrophy
OMIM:608762,"Epilepsy, Idiopathic Generalized, Susceptibility To, 3",DOID:1827,idiopathic generalized epilepsy
OMIM:610333,Aicardi-Goutieres Syndrome 4,DOID:0050629,Aicardi-Goutieres syndrome
OMIM:604145,"Cardiomyopathy, Dilated, 1g",DOID:12930,dilated cardiomyopathy
OMIM:144400,Moved To 143890,DOID:13810,familial hypercholesterolemia
OMIM:609583,Joubert Syndrome 4,DOID:0050777,Joubert syndrome
OMIM:114300,"Arthrogryposis, Distal, Type 3",DOID:0050646,distal arthrogryposis
OMIM:115195,"Cardiomyopathy, Familial Hypertrophic, 2",DOID:11984,hypertrophic cardiomyopathy
OMIM:188700,"Blount Disease, Infantile",DOID:14798,Blount's disease
OMIM:609053,"Fanconi Anemia, Complementation Group I",DOID:13636,Fanconi's anemia
OMIM:608895,"Macular Degeneration, Age-Related, 3",DOID:10871,age related macular degeneration
OMIM:168000,Paragangliomas 1,DOID:0050773,paraganglioma
OMIM:610698,"Macular Degeneration, Age-Related, 4",DOID:10871,age related macular degeneration
OMIM:600757,Orofacial Cleft 3,DOID:0050567,orofacial cleft
OMIM:613345,"Hypokalemic Periodic Paralysis, Type 2",DOID:14452,hypokalemic periodic paralysis
OMIM:304900,"Diabetes Insipidus, Neurohypophyseal Type",DOID:12388,neurohypophyseal diabetes insipidus
OMIM:215100,"Rhizomelic Chondrodysplasia Punctata, Type 1",DOID:2580,rhizomelic chondrodysplasia punctata
OMIM:259200,"Blount Disease, Adolescent",DOID:14798,Blount's disease
OMIM:615220,"Osteogenesis Imperfecta, Type Xv",DOID:12347,osteogenesis imperfecta
OMIM:607791,"Charcot-Marie-Tooth Disease, Dominant Intermediate D",DOID:0050543,Charcot-Marie-Tooth disease intermediate type
OMIM:611777,Brugada Syndrome 2,DOID:0050451,Brugada syndrome
OMIM:100050,"Aarskog Syndrome, Autosomal Dominant",DOID:6683,Aarskog-Scott syndrome
OMIM:614436,"Charcot-Marie-Tooth Disease, Axonal, Type 2p",DOID:0050539,Charcot-Marie-Tooth disease type 2
OMIM:614279,"46,Xy Sex Reversal 8",DOID:14448,46 XY gonadal dysgenesis
OMIM:187300,"Telangiectasia, Hereditary Hemorrhagic, Of Rendu, Osler, And Weber",DOID:1270,hereditary hemorrhagic telangiectasia
OMIM:600858,"Cardiomyopathy, Familial Hypertrophic, 6",DOID:11984,hypertrophic cardiomyopathy
OMIM:615185,"Charcot-Marie-Tooth Disease, Dominant Intermediate F",DOID:0050543,Charcot-Marie-Tooth disease intermediate type
OMIM:105250,"Amyloidosis, Primary Localized Cutaneous, 1",DOID:0050639,primary cutaneous amyloidosis
OMIM:125500,"Dentinogenesis Imperfecta, Shields Type Iii",DOID:4154,dentinogenesis imperfecta
OMIM:608837,Carney Complex Variant,DOID:0050471,Carney complex
OMIM:607641,"Neuronopathy, Distal Hereditary Motor, Type Viib",DOID:0050582,distal hereditary motor neuropathy
OMIM:119530,Orofacial Cleft 1,DOID:0050567,orofacial cleft
OMIM:118200,"Charcot-Marie-Tooth Disease, Demyelinating, Type 1b",DOID:0050538,Charcot-Marie-Tooth disease type 1
OMIM:162350,"Ceroid Lipofuscinosis, Neuronal, 4b, Autosomal Dominant",DOID:14503,neuronal ceroid lipofuscinosis
OMIM:609265,Li-Fraumeni Syndrome 2,DOID:3012,Li-Fraumeni syndrome
OMIM:246300,"Leprosy, Susceptibility To, 3",DOID:1024,leprosy
OMIM:613881,"Cardiomyopathy, Dilated, 1hh",DOID:12930,dilated cardiomyopathy
OMIM:300905,"Charcot-Marie-Tooth Disease, X-Linked Dominant, 6",DOID:0050542,Charcot-Marie-Tooth disease type X
OMIM:613091,Short-Rib Thoracic Dysplasia 3 With Or Without Polydactyly,DOID:0050592,asphyxiating thoracic dystrophy
OMIM:601067,"Usher Syndrome, Type Id",DOID:0050439,Usher syndrome
OMIM:613388,Fanconi Renotubular Syndrome 2,DOID:1062,Fanconi syndrome
OMIM:609260,"Charcot-Marie-Tooth Disease, Axonal, Type 2a2",DOID:0050539,Charcot-Marie-Tooth disease type 2
OMIM:604625,"Tooth Agenesis, Selective, 3",DOID:0050591,tooth agenesis
OMIM:612518,"Ciliary Dyskinesia, Primary, 10",DOID:9562,primary ciliary dyskinesia
OMIM:614120,Hydrolethalus Syndrome 2,DOID:0050779,hydrolethalus syndrome
OMIM:612650,"Ciliary Dyskinesia, Primary, 12",DOID:9562,primary ciliary dyskinesia
OMIM:612794,Atrial Septal Defect 5,DOID:1882,atrial heart septal defect
OMIM:277580,"Waardenburg Syndrome, Type 4a",DOID:9258,Waardenburg's syndrome
OMIM:614370,"Surfactant Metabolism Dysfunction, Pulmonary, 5",DOID:12120,pulmonary alveolar proteinosis
OMIM:207410,Antley-Bixler Syndrome Without Genital Anomalies Or Disordered Steroidogenesis,DOID:0050462,Antley-Bixler syndrome
OMIM:193510,"Waardenburg Syndrome, Type 2a",DOID:9258,Waardenburg's syndrome
OMIM:500003,"Striatonigral Degeneration, Infantile, Mitochondrial",DOID:4751,striatonigral degeneration
OMIM:613310,Exudative Vitreoretinopathy 5,DOID:0050535,exudative vitreoretinopathy
OMIM:252900,"Mucopolysaccharidosis, Type Iiia",DOID:12801,mucopolysaccharidosis III
OMIM:186200,"Syndactyly, Type Iv",DOID:11193,syndactyly
OMIM:611548,Premature Ovarian Failure 5,DOID:5426,premature ovarian failure
OMIM:614202,"Mental Retardation, Autosomal Recessive 15",DOID:0050889,non-syndromic intellectual disability
OMIM:265120,"Surfactant Metabolism Dysfunction, Pulmonary, 1",DOID:12120,pulmonary alveolar proteinosis
OMIM:614116,"Neuropathy, Hereditary Sensory, Type Ie",DOID:0050548,hereditary sensory neuropathy
OMIM:201300,"Neuropathy, Hereditary Sensory And Autonomic, Type Iia",DOID:0050548,hereditary sensory neuropathy
OMIM:609909,"Cardiomyopathy, Dilated, 1p",DOID:12930,dilated cardiomyopathy
OMIM:192600,"Cardiomyopathy, Familial Hypertrophic, 1",DOID:11984,hypertrophic cardiomyopathy
OMIM:300000,"Opitz Gbbb Syndrome, X-Linked",DOID:0050780,Opitz-GBBB syndrome
OMIM:615436,"Aortic Aneurysm, Familial Thoracic 8",DOID:14004,thoracic aortic aneurysm
OMIM:614706,"Ceroid Lipofuscinosis, Neuronal, 11",DOID:14503,neuronal ceroid lipofuscinosis
OMIM:613885,"Meckel Syndrome, Type 8",DOID:0050778,Meckel syndrome
OMIM:203780,"Alport Syndrome, Autosomal Recessive",DOID:10983,Alport syndrome
OMIM:612555,"Breast-Ovarian Cancer, Familial, Susceptibility To, 2",DOID:5683,hereditary breast ovarian cancer
OMIM:142946,Holoprosencephaly 4,DOID:4621,holoprosencephaly
OMIM:600143,"Ceroid Lipofuscinosis, Neuronal, 8",DOID:14503,neuronal ceroid lipofuscinosis
OMIM:615523,"Corneal Dystrophy, Fuchs Endothelial, 8",DOID:11555,Fuchs' endothelial dystrophy
OMIM:314550,"Vesicoureteral Reflux, X-Linked",DOID:9620,vesicoureteral reflux
OMIM:191100,Tuberous Sclerosis 1,DOID:13515,tuberous sclerosis
OMIM:612526,"Lipodystrophy, Congenital Generalized, Type 3",DOID:0050585,congenital generalized lipodystrophy
OMIM:100600,Acanthosis Nigricans,DOID:3138,acanthosis nigricans
OMIM:614019,Lissencephaly 4,DOID:0050453,lissencephaly
OMIM:610618,"Angioedema, Hereditary, Type Iii",DOID:14735,hereditary angioedema
OMIM:269650,Secretory Component Deficiency,DOID:0060025,immunoglobulin alpha deficiency
OMIM:307700,"Hypoparathyroidism, X-Linked",DOID:11199,hypoparathyroidism
OMIM:300511,Premature Ovarian Failure 2a,DOID:5426,premature ovarian failure
OMIM:609529,Immunoglobulin A Deficiency 2,DOID:0060025,immunoglobulin alpha deficiency
OMIM:607499,"Bulimia Nervosa, Susceptibility To, 1",DOID:12129,bulimia nervosa
OMIM:300299,"Neutropenia, Severe Congenital, X-Linked",DOID:0050590,severe congenital neutropenia
OMIM:613119,Brugada Syndrome 6,DOID:0050451,Brugada syndrome
OMIM:613172,"Cardiomyopathy, Dilated, 1dd",DOID:12930,dilated cardiomyopathy
OMIM:614430,Atrioventricular Septal Defect 4,DOID:0050651,atrioventricular septal defect
OMIM:607731,"Charcot-Marie-Tooth Disease, Axonal, Type 2h",DOID:0050539,Charcot-Marie-Tooth disease type 2
OMIM:602485,"Hyperinsulinemic Hypoglycemia, Familial, 3",DOID:13317,hyperinsulinemic hypoglycemia
OMIM:613673,"Anemia, Congenital Dyserythropoietic, Type Iv",DOID:1338,congenital dyserythropoietic anemia
OMIM:614592,Bent Bone Dysplasia Syndrome,DOID:10591,pre-eclampsia
OMIM:615665,Joubert Syndrome 22,DOID:0050777,Joubert syndrome
OMIM:614700,"Immunodeficiency, Common Variable, 8, With Autoimmunity",DOID:12177,common variable immunodeficiency
OMIM:192350,Vater Association,DOID:14679,VACTERL association
OMIM:606943,"Usher Syndrome, Type Ig",DOID:0050439,Usher syndrome
OMIM:300510,Ovarian Dysgenesis 2,DOID:5426,premature ovarian failure
OMIM:611497,"Osteopetrosis, Autosomal Recessive 6",DOID:13533,osteopetrosis
OMIM:611726,"Epilepsy, Progressive Myoclonic 3, With Or Without Intracellular Inclusions",DOID:891,progressive myoclonus epilepsy
OMIM:606889,Alzheimer Disease 4,DOID:10652,Alzheimer's disease
OMIM:112800,"Brachydactyly, Type A4",DOID:0050581,brachydactyly
OMIM:615632,"Neuropathy, Hereditary Sensory, Type If",DOID:0050548,hereditary sensory neuropathy
OMIM:151100,Leopard Syndrome 1,DOID:14291,LEOPARD syndrome
OMIM:602347,"Cholestasis, Progressive Familial Intrahepatic, 3",DOID:1852,intrahepatic cholestasis
OMIM:615235,"Cardiomyopathy, Dilated, 1jj",DOID:12930,dilated cardiomyopathy
OMIM:600116,"Parkinson Disease 2, Autosomal Recessive Juvenile",DOID:14330,Parkinson's disease
OMIM:611879,"Cardiomyopathy, Dilated, 1z",DOID:12930,dilated cardiomyopathy
OMIM:193007,"Vertigo, Benign Recurrent",DOID:13941,benign paroxysmal positional nystagmus
OMIM:257200,"Niemann-Pick Disease, Type A",DOID:14504,Niemann-Pick disease
OMIM:612285,Joubert Syndrome 9,DOID:0050777,Joubert syndrome
OMIM:614819,Weill-Marchesani Syndrome 3,DOID:0050475,Weill-Marchesani syndrome
OMIM:246400,Letterer-Siwe Disease,DOID:2571,Langerhans-cell histiocytosis
DOID:5557,testicular germ cell cancer,OMIM:273300,Testicular Germ Cell Tumor
OMIM:615382,Nephronophthisis 16,DOID:12712,nephronophthisis
OMIM:241500,"Hypophosphatasia, Infantile",DOID:14213,hypophosphatasia
OMIM:266120,"Uridine 5-Prime Monophosphate Hydrolase Deficiency, Hemolytic Anemia Due To",DOID:583,hemolytic anemia
OMIM:162400,"Neuropathy, Hereditary Sensory And Autonomic, Type Ia",DOID:0050548,hereditary sensory neuropathy
OMIM:613820,Nephronophthisis 12,DOID:12712,nephronophthisis
OMIM:613108,"Candidiasis, Familial, 4",DOID:2058,chronic mucocutaneous candidiasis
OMIM:603467,"Fanconi Anemia, Complementation Group F",DOID:13636,Fanconi's anemia
OMIM:614753,Sotos Syndrome 2,DOID:14748,Sotos syndrome
OMIM:305700,"Spermatogenic Failure, X-Linked, 1",DOID:0050457,Sertoli cell-only syndrome
OMIM:611878,"Cardiomyopathy, Dilated, 1y",DOID:12930,dilated cardiomyopathy
OMIM:193900,White Sponge Nevus 1,DOID:0050448,hereditary mucosal leukokeratosis
OMIM:604827,"Epilepsy, Idiopathic Generalized, Susceptibility To, 7",DOID:1827,idiopathic generalized epilepsy
OMIM:608890,"Waardenburg Syndrome, Type 2d",DOID:9258,Waardenburg's syndrome
OMIM:601494,"Cardiomyopathy, Dilated, 1d",DOID:12930,dilated cardiomyopathy
