UBERON:0000002	# uterine cervix
UBERON:0004681	# vestibular system
UBERON:0004720	# cerebellar vermis
UBERON:0004766	# cranial bone
UBERON:0004886	# lung hilus
UBERON:0004904	# neuron projection bundle connecting eye with brain
UBERON:0004905	# articulation
UBERON:0004913	# hepatopancreatic ampulla
UBERON:0005057	# immune organ
UBERON:0005352	# spermatic cord
UBERON:0005396	# carotid artery segment
UBERON:0005409	# alimentary part of gastrointestinal system
UBERON:0005431	# anterior spinal artery
UBERON:0005456	# jugular foramen
UBERON:0005610	# iliac vein
UBERON:0006052	# digit 5
UBERON:0006059	# falx cerebri
UBERON:0006558	# lymphatic part of lymphoid system
UBERON:0006562	# pharynx
UBERON:0006589	# round ligament of uterus
UBERON:0006810	# olecranon
UBERON:0006956	# buccal mucosa
UBERON:0007329	# pancreatic duct
UBERON:0007616	# layer of synovial tissue
UBERON:0007650	# esophagogastric junction
UBERON:0007798	# vascular system
UBERON:0008230	# tibialis
UBERON:0008788	# posterior cranial fossa
UBERON:0008822	# posterior mediastinum
UBERON:0008883	# osteoid
UBERON:0008974	# apocrine gland
UBERON:0009853	# body of uterus
UBERON:0010011	# collection of basal ganglia
UBERON:0010145	# paraurethral gland
UBERON:0010167	# beard
UBERON:0010185	# rete ovarii
UBERON:0010391	# parametrium
UBERON:0010743	# meningeal cluster
UBERON:0010996	# articular cartilage of joint
UBERON:0011374	# prepuce
UBERON:0011818	# superficial fascia
UBERON:0011826	# vestibular gland
UBERON:0012303	# ureteral orifice
UBERON:0012332	# broad ligament of uterus
UBERON:0012336	# perianal skin
UBERON:0012337	# cauda equina
UBERON:0014385	# aryepiglottic fold
UBERON:0014908	# cerebellopontine angle
UBERON:0015215	# median arcuate ligament
UBERON:0016410	# male breast
UBERON:0016435	# chest wall
UBERON:0016490	# auditory system
UBERON:0016525	# frontal lobe
UBERON:0018707	# bladder organ
UBERON:0022276	# splenic flexure of colon
UBERON:0022277	# hepatic flexure of colon
UBERON:2000364	# hypural
UBERON:2005036	# supraintestinal artery
UBERON:0001675	# trigeminal ganglion
UBERON:0000941	# cranial nerve II
UBERON:0004867	# orbital cavity
UBERON:0010230	# eyeball of camera-type eye
UBERON:0000965	# lens of camera-type eye
UBERON:0001352	# external acoustic meatus
UBERON:0001893	# cerebrum
UBERON:0000949	# endocrine system
UBERON:0001690	# ear
UBERON:0000341	# throat
UBERON:0004122	# genitourinary system
UBERON:0000916	# abdomen
UBERON:0000956	# cerebral cortex
UBERON:0001179	# peritoneal cavity
UBERON:0007375	# roof of mouth
UBERON:0001826	# nasal cavity mucosa
UBERON:0000055	# vessel
UBERON:0004983	# mucosa of vagina
UBERON:0000114	# lung connective tissue
UBERON:0036068	# subglottis
UBERON:0036263	# supraglottic part of larynx
UBERON:0002402	# pleural cavity
UBERON:0001898	# hypothalamus
UBERON:0002076	# cuticle of hair
UBERON:0008337	# inguinal part of abdomen
UBERON:0002356	# perineum
UBERON:0001366	# parietal peritoneum
UBERON:0000925	# endoderm
UBERON:0000926	# mesoderm
UBERON:0000924	# ectoderm
UBERON:0009842	# glandular acinus
UBERON:0036262	# uterine ligament
UBERON:0000487	# simple squamous epithelium
UBERON:0000006	# islet of Langerhans
UBERON:0002099	# cardiac septum
UBERON:0002085	# interatrial septum
UBERON:0002094	# interventricular septum
UBERON:0005989	# atrioventricular septum
UBERON:0001194	# splenic artery
UBERON:0001533	# subclavian artery
UBERON:0004449	# cerebral artery
UBERON:0013411	# cranial cavity
UBERON:0001620	# central retinal artery
UBERON:0001673	# central retinal vein
UBERON:0001013	# adipose tissue
UBERON:0002299	# alveolus of lung
UBERON:0004670	# ependyma
UBERON:0004088	# orbital region
UBERON:0003843	# dental epithelium
UBERON:0014930	# perivascular space
UBERON:0015189	# perineural vascular plexus
UBERON:0001136	# mesothelium
UBERON:0001765	# mammary duct
UBERON:0002027	# stratum corneum of epidermis
UBERON:0016446	# hair of head
UBERON:0010163	# eyebrow
UBERON:0001702	# eyelash
UBERON:0001051	# hypopharynx
UBERON:0000978	# leg
UBERON:0001465	# knee
UBERON:0001463	# thumb
UBERON:0001862	# vestibular labyrinth
UBERON:0001437	# epiphysis
UBERON:0001438	# metaphysis
UBERON:0001066	# intervertebral disk
UBERON:0011136	# ligament of vertebral column
UBERON:0001270	# bony pelvis
