HP:0000023	# Inguinal hernia
HP:0002069	# Generalized tonic-clonic seizures
HP:0002093	# Respiratory insufficiency
HP:0002098	# Respiratory distress
HP:0002099	# Asthma
HP:0002102	# Pleuritis
HP:0002113	# Pulmonary infiltrates
HP:0002121	# Absence seizures
HP:0002149	# Hyperuricemia
HP:0002156	# Homocystinuria
HP:0002164	# Nail dysplasia
HP:0002209	# Sparse scalp hair
HP:0002257	# Chronic rhinitis
HP:0002344	# Progressive neurologic deterioration
HP:0002503	# Spinocerebellar tract degeneration
HP:0002584	# Intestinal bleeding
HP:0002607	# Bowel incontinence
HP:0002617	# Dilatation
HP:0002650	# Scoliosis
HP:0002651	# Spondyloepimetaphyseal dysplasia
HP:0002653	# Bone pain
HP:0002721	# Immunodeficiency
HP:0002797	# Osteolysis
HP:0002812	# Coxa vara
HP:0002835	# Aspiration
HP:0002912	# Methylmalonic acidemia
HP:0002960	# Autoimmunity
HP:0002970	# Genu varum
HP:0002983	# Micromelia
HP:0003027	# Mesomelia
HP:0003125	# Reduced factor VIII activity
HP:0003187	# Breast hypoplasia
HP:0003202	# Skeletal muscle atrophy
HP:0003231	# Hypertyrosinemia
HP:0003249	# Genital ulcers
HP:0003307	# Hyperlordosis
HP:0003355	# Aminoaciduria
HP:0003474	# Sensory impairment
HP:0003510	# Severe short stature
HP:0003521	# Disproportionate short-trunk short stature
HP:0003552	# Muscle stiffness
HP:0003560	# Muscular dystrophy
HP:0004313	# Decreased antibody level in blood
HP:0004420	# Arterial thrombosis
HP:0004430	# Severe combined immunodeficiency
HP:0004431	# Complement deficiency
HP:0004566	# Pear-shaped vertebrae
HP:0004789	# Lactose intolerance
HP:0005132	# Pericardial constriction
HP:0005541	# Congenital agranulocytosis
HP:0005832	# Dysharmonic delayed bone age
HP:0006530	# Interstitial pulmonary abnormality
HP:0006685	# Endocardial fibrosis
HP:0007313	# Cerebral degeneration
HP:0007858	# Chorioretinal lacunae
HP:0008064	# Ichthyosis
HP:0008070	# Sparse hair
HP:0008734	# Decreased testicular size
HP:0008873	# Disproportionate short-limb short stature
HP:0008905	# Rhizomelia
HP:0009763	# Limb pain
HP:0009797	# Cholesteatoma
HP:0010442	# Polydactyly
HP:0010864	# Intellectual disability, severe
HP:0010884	# Acromelia
HP:0011001	# Increased bone mineral density
HP:0011002	# Osteopetrosis
HP:0011110	# Tonsillitis
HP:0011220	# Prominent forehead
HP:0100021	# Cerebral palsy
HP:0100034	# Motor tics
HP:0100035	# Phonic tics
HP:0100255	# Metaphyseal dysplasia
HP:0100324	# Scleroderma
HP:0100502	# Vitamin B12 deficiency
HP:0100699	# Scarring
HP:0100774	# Hyperostosis
HP:0100806	# Sepsis
HP:0003674	# Onset
HP:0003581	# Adult onset
HP:0011462	# Young adult onset
HP:0003584	# Late onset
HP:0003596	# Middle age onset
HP:0410280	# Pediatric onset
HP:0011463	# Childhood onset
HP:0003621	# Juvenile onset
HP:0003593	# Infantile onset
HP:0030674	# Antenatal onset
HP:0011461	# Fetal onset
HP:0011460	# Embryonal onset
HP:0003577	# Congenital onset
HP:0003623	# Neonatal onset
HP:0000505	# Visual impairment
HP:0000609	# Optic nerve hypoplasia
HP:0000612	# Iris coloboma
HP:0000588	# Optic nerve coloboma
HP:0001272	# Cerebellar atrophy
HP:0006817	# Aplasia/Hypoplasia of the cerebellar vermis
HP:0000639	# Nystagmus
HP:0001252	# Hypotonia
HP:0001251	# Ataxia
HP:0007431	# Congenital ichthyosiform erythroderma
HP:0001257	# Spasticity
HP:0001382	# Joint hypermobility
HP:0000974	# Hyperextensible skin
HP:0031158	# Widened atrophic scar
HP:0000488	# Retinopathy
HP:0000563	# Keratoconus
HP:0000256	# Macrocephaly
HP:0000321	# Square face
HP:0002007	# Frontal bossing
HP:0011800	# Midface retrusion
HP:0000343	# Long philtrum
HP:0002579	# Gastrointestinal dysmotility
HP:0004326	# Cachexia
HP:0009830	# Peripheral neuropathy
HP:0003756	# Skeletal myopathy
HP:0000580	# Pigmentary retinopathy
HP:0100543	# Cognitive impairment
HP:0000280	# Coarse facial features
HP:0000708	# Behavioral abnormality
