id	label	xrefs	anatomy_id	anatomy_label
DOID:5916	uterine corpus leiomyomatosis		UBERON:0009853	body of uterus
DOID:5915	uterus intravascular leiomyomatosis		UBERON:0001981	blood vessel
DOID:5915	uterus intravascular leiomyomatosis		UBERON:0009853	body of uterus
DOID:5917	uterine corpus diffuse leiomyomatosis			
DOID:7160	rectum leiomyoma			
DOID:7242	uterine corpus cellular leiomyoma		UBERON:0009853	body of uterus
DOID:7241	uterine corpus apoplectic leiomyoma			
DOID:255	hemangioma	ICDO:9120/0	UBERON:0007798	vascular system
DOID:0060688	arteriovenous malformations of the brain		UBERON:0000955	brain
DOID:0080895	rapidly involuting congenital hemangioma			
DOID:11294	arteriovenous malformation	ICDO:9123/0		
DOID:13081	hemangioma of subcutaneous tissue		UBERON:0011818	superficial fascia
DOID:14308	skin epithelioid hemangioma			
DOID:2517	intracranial structure hemangioma		UBERON:0013411	cranial cavity
DOID:2516	intracranial cavernous angioma			
DOID:254	hemangioma of intra-abdominal structure			
DOID:271	hemangioma of liver			
DOID:2725	capillary hemangioma	ICDO:9131/0	UBERON:0004088	orbital region
DOID:5806	stork bite			
DOID:275	gastric hemangioma		UBERON:0000945	stomach
DOID:277	chorioangioma		UBERON:0001987	placenta
DOID:467	venous hemangioma	ICDO:9122/0	UBERON:0001981	blood vessel
DOID:468	intramuscular hemangioma	ICDO:9132/0	UBERON:0002385	muscle tissue
DOID:469	deep angioma			
DOID:471	skin hemangioma			
DOID:4028	angioma serpiginosum			
DOID:470	verrucous keratotic hemangioma	ICDO:9142/0		
DOID:479	angiokeratoma	ICDO:9141/0		
DOID:5948	angiokeratoma of mibelli			
DOID:472	subglottic angioma		UBERON:0036068	subglottis
DOID:474	histiocytoid hemangioma			
DOID:482	hemangioma of peripheral nerve		UBERON:0000010	peripheral nervous system
DOID:486	glomeruloid hemangioma			
DOID:490	hemangioma of lung			
DOID:492	acquired hemangioma			
DOID:495	sclerosing hemangioma			
DOID:496	spindle cell hemangioma			
DOID:501	central nervous system hemangioma			
DOID:505	hobnail hemangioma			
DOID:5241	hemangioblastoma	ICDO:9161/1		
DOID:14175	von Hippel-Lindau disease			
DOID:5393	brain angioma		UBERON:0000955	brain
DOID:6621	cerebral angioma		UBERON:0001893	telencephalon
DOID:5766	pulmonary sclerosing hemangioma			
DOID:663	scrotal angioma		UBERON:0001300	scrotum
DOID:8274	synovial angioma		UBERON:0007616	layer of synovial tissue
DOID:8331	perineural angioma		UBERON:0015189	perineural vascular plexus
DOID:2602	chondroma	ICDO:9220/0		
DOID:0050898	phalanx chondroma		UBERON:0003221	phalanx
DOID:2601	juxtacortical chondroma			
DOID:3813	central nervous system chondroma		UBERON:0001017	central nervous system
DOID:2609	adenomyoma	ICDO:8932/0		
DOID:4993	atypical polypoid adenomyoma			
DOID:2615	papilloma	ICDO:8050/0		
DOID:139	squamous cell papilloma	ICDO:8052/0		
DOID:1626	breast duct papilloma			
DOID:7984	sclerosing breast papilloma			
DOID:8224	central breast papilloma			
DOID:8225	microscopic breast papilloma			
DOID:8227	atypical breast papilloma			
DOID:1627	intraductal papilloma	ICDO:8503/0		
DOID:2614	serous surface papilloma	ICDO:8461/0		
DOID:2626	choroid plexus papilloma	ICDO:9390/0		
DOID:2670	transitional papilloma			
DOID:4630	inverted transitional papilloma			
DOID:3120	gallbladder papillomatosis			
DOID:3177	verrucous papilloma	ICDO:8051/0		
DOID:3178	skin papilloma			
DOID:7380	squamous cell papilloma of skin		UBERON:0000014	zone of skin
DOID:3179	inverted papilloma			
DOID:3544	atypical choroid plexus papilloma	ICDO:9390/1		
DOID:5433	urinary tract papillary transitional cell benign neoplasm			
DOID:5432	bladder papillary transitional cell neoplasm			
DOID:6239	non-invasive bladder papillary urothelial neoplasm			
DOID:6933	bladder transitional cell papilloma			
DOID:6065	urinary tract non-invasive transitional cell neoplasm			
DOID:5468	biliary papillomatosis			
DOID:7752	extrahepatic biliary papillomatosis			
DOID:8230	intrahepatic biliary papillomatosis			
DOID:6059	nasal vestibule papilloma			
DOID:6118	renal pelvis inverted papilloma			
DOID:6562	ethmoid sinus inverted papilloma			
DOID:6932	urinary bladder inverted papilloma			
DOID:6934	urethra inverted papilloma		UBERON:0000057	urethra
DOID:6935	ureter inverted papilloma			
DOID:7678	sphenoid sinus inverted papilloma			
DOID:7868	maxillary sinus inverted papilloma			
DOID:8060	frontal sinus inverted papilloma			
DOID:9445	cervix squamous papilloma			
DOID:2649	chondroblastoma	ICDO:9230/1		
DOID:2683	adenofibroma	ICDO:9013/0		
DOID:2700	mucinous adenofibroma	ICDO:9015/0		
DOID:5475	uterine corpus adenofibroma		UBERON:0009853	body of uterus
DOID:5477	clear cell adenofibroma	ICDO:8313/0		
DOID:5478	fallopian tube adenofibroma			
DOID:8211	fallopian tube cystadenofibroma			
DOID:5479	papillary adenofibroma			
DOID:5482	cystadenofibroma			
DOID:5895	clear cell cystadenofibroma			
DOID:6468	mucinous cystadenofibroma			
DOID:6838	rete ovarii cystadenofibroma			
DOID:2883	prostatic adenoma		UBERON:0002367	prostate gland
DOID:3168	squamous cell neoplasm		UBERON:0000924	ectoderm
DOID:3168	squamous cell neoplasm		UBERON:0000925	endoderm
DOID:174	acanthoma			
DOID:4321	large cell acanthoma	ICDO:8072/0		
DOID:4322	pilar sheath acanthoma	ICDO:8104/0		
DOID:4323	epidermolytic acanthoma			
DOID:4324	acantholytic acanthoma			
DOID:6498	seborrheic keratosis			
DOID:11684	melanoacanthoma			
DOID:11685	inflamed seborrheic keratosis			
DOID:6944	vulvar seborrheic keratosis		UBERON:0000997	mammalian vulva
DOID:6943	vulvar inverted follicular keratosis			
DOID:6945	inverted follicular keratosis			
DOID:3301	gonadoblastoma	ICDO:9073/1		
DOID:3578	ovarian gonadoblastoma			
DOID:3579	testicular gonadoblastoma		UBERON:0000473	testis
DOID:3314	angiomyolipoma	ICDO:8860/0		
DOID:2645	benign mesothelioma		UBERON:0001136	mesothelium
DOID:2653	benign fibrous mesothelioma			
DOID:5884	benign intermediate mesothelioma			
DOID:746	adenomatoid tumor	ICDO:9054/0		
DOID:3318	epithelioid type angiomyolipoma			
DOID:3315	lipoma	ICDO:8850/0		
DOID:10183	endobronchial lipoma			
DOID:10184	spindle cell lipoma	ICDO:8857/0		
DOID:10187	esophageal lipoma		UBERON:0001043	esophagus
DOID:10188	skin lipoma			
DOID:10190	liver lipoma			
DOID:10192	pleomorphic lipoma	ICDO:8854/0		
DOID:10193	conventional lipoma			
DOID:10194	kidney lipoma			
DOID:10195	pleural lipoma		UBERON:0000977	pleura
DOID:10199	breast lipoma			
DOID:10200	chest wall lipoma		UBERON:0016435	chest wall
DOID:10201	gallbladder lipoma		UBERON:0002110	gallbladder
DOID:10203	external ear lipoma		UBERON:0001352	external acoustic meatus
DOID:10205	axillary lipoma			
DOID:10207	paratesticular lipoma			
DOID:10206	lipoma of spermatic cord		UBERON:0000079	male reproductive system
DOID:10206	lipoma of spermatic cord		UBERON:0005352	spermatic cord
DOID:10208	chondroid lipoma	ICDO:8862/0		
DOID:10209	extrahepatic bile duct lipoma		UBERON:0003703	extrahepatic bile duct
DOID:1975	thymus lipoma		UBERON:0002370	thymus
DOID:3616	angiolipoma	ICDO:8861/0		
DOID:3615	infiltrating angiolipoma			
DOID:3617	epidural spinal canal angiolipoma		UBERON:0002240	spinal cord
DOID:6285	heart lipoma		UBERON:0000948	heart
DOID:6284	epicardium lipoma		UBERON:0002348	epicardium
DOID:6293	central nervous system lipoma		UBERON:0001017	central nervous system
DOID:13743	spinal cord lipoma		UBERON:0002240	spinal cord
DOID:6291	cerebral hemisphere lipoma		UBERON:0001869	cerebral hemisphere
DOID:6291	cerebral hemisphere lipoma		UBERON:0001893	telencephalon
DOID:6294	corpus callosum lipoma		UBERON:0002336	corpus callosum
DOID:6607	nervous system hibernoma			
DOID:6460	large intestine lipoma		UBERON:0000059	large intestine
DOID:10655	lipoma of colon		UBERON:0001155	colon
DOID:6459	lipoma of the rectum		UBERON:0001052	rectum
DOID:6752	internal auditory canal lipoma			
DOID:7014	infiltrating lipoma			
DOID:7016	tendon sheath lipoma		UBERON:0000304	tendon sheath
DOID:7017	lumbosacral lipoma			
DOID:3892	insulinoma	ICDO:8151/3		
DOID:3896	hidradenoma	ICDO:8402/0		
DOID:2061	nodular hidradenoma			
DOID:5439	papillary hidradenoma	ICDO:8405/0		
DOID:5443	clear cell hidradenoma			
DOID:4658	benign mastocytoma			
DOID:5078	ganglioglioma	ICDO:9505/1	UBERON:0001017	central nervous system
DOID:0081259	desmoplastic infantile ganglioglioma / desmoplastic infantile astrocytoma	ICDO:9412/1		
DOID:5157	benign pleural mesothelioma		UBERON:0000977	pleura
DOID:5157	benign pleural mesothelioma		UBERON:0001136	mesothelium
DOID:5384	bile duct cystadenoma	ICDO:8161/0	UBERON:0002394	bile duct
DOID:6733	intrahepatic bile duct cystadenoma		UBERON:0003704	intrahepatic bile duct
DOID:8105	extrahepatic bile duct cystadenoma		UBERON:0003703	extrahepatic bile duct
DOID:5387	middle ear adenoma		UBERON:0001756	middle ear
DOID:5403	microcystic adenoma	ICDO:8202/0		
DOID:5724	seminal vesicle cystadenoma		UBERON:0000998	seminal vesicle
DOID:657	adenoma	ICDO:8140/0		
DOID:0050849	periampullary adenoma			
DOID:0050860	colorectal adenoma			
DOID:0050868	hepatocellular adenoma			
DOID:0111366	familial hepatic adenoma			
DOID:0050869	villous adenoma	ICDO:8261/0		
DOID:0050893	gallbladder adenoma			
DOID:0050910	cecum adenoma			
DOID:0050912	colon adenoma			
DOID:0050914	large intestine adenoma		UBERON:0000059	large intestine
DOID:0050915	rectum adenoma			
DOID:0050927	duodenum adenoma		UBERON:0002114	duodenum
DOID:1371	uterine corpus adenomatoid tumor		UBERON:0001136	mesothelium
DOID:1618	breast fibroadenoma			
DOID:2639	breast pericanalicular fibroadenoma			
DOID:2656	breast intracanalicular fibroadenoma			
DOID:7223	breast giant fibroadenoma			
DOID:1625	breast adenoma			
DOID:7538	breast ductal adenoma			
DOID:7539	pregnancy adenoma			
DOID:7540	breast apocrine adenoma			
DOID:2075	minor vestibular glands adenoma			
DOID:2616	Wolffian duct adenoma			
DOID:2634	cystadenoma	ICDO:8440/0		
DOID:2682	intracystic papillary adenoma	ICDO:8504/0		
DOID:2697	renal adenoma			
DOID:6257	chromophil adenoma of the kidney			
DOID:6258	type 1 papillary adenoma of the kidney			
DOID:6259	type 2 papillary adenoma of the kidney			
DOID:6404	metanephric adenoma	ICDO:8325/0		
DOID:2891	thyroid adenoma		UBERON:0002046	thyroid gland
DOID:6204	follicular adenoma	ICDO:8330/0		
DOID:6203	thyroid hyalinizing trabecular adenoma			
DOID:8102	fetal adenoma			
DOID:8162	thyroid Hurthle cell adenoma			
DOID:8292	atypical follicular adenoma	ICDO:8330/1		
DOID:8419	colloid adenoma			
DOID:3172	papillary adenoma	ICDO:8260/0		
DOID:3829	pituitary adenoma	ICDO:8272/0		
DOID:0112008	pituitary adenoma 5			
DOID:0112009	pituitary adenoma 1			
DOID:0112010	pituitary adenoma 3			
DOID:3828	chromophobe adenoma	ICDO:8270/0		
DOID:4542	basophil adenoma	ICDO:8300/0	CL:0000767	basophil
DOID:5392	acidophil adenoma	ICDO:8280/0	CL:0000771	eosinophil
DOID:5395	functioning pituitary adenoma			
DOID:5394	prolactinoma			
DOID:6255	growth hormone secreting pituitary adenoma			
DOID:0112007	growth hormone secreting pituitary adenoma 2			
DOID:6275	TSH producing pituitary tumor			
DOID:7004	ACTH-secreting pituitary adenoma		CL:0002309	corticotroph
DOID:5715	functionless pituitary adenoma			
DOID:7179	mixed eosinophil-basophil adenoma			
DOID:4147	gastrointestinal adenoma			
DOID:5196	fallopian tube adenomatoid tumor		UBERON:0001136	mesothelium
DOID:5381	bile duct adenoma	ICDO:8160/0	UBERON:0002394	bile duct
DOID:5437	intrahepatic bile duct adenoma		UBERON:0003704	intrahepatic bile duct
DOID:5438	extrahepatic bile duct adenoma		UBERON:0003703	extrahepatic bile duct
DOID:7503	extrahepatic bile duct papillary adenoma			
DOID:5382	Bartholin's gland adenoma		UBERON:0000460	major vestibular gland
DOID:5385	mixed cell adenoma	ICDO:8323/0		
DOID:5386	lung adenoma			
DOID:5390	clear cell adenoma	ICDO:8310/0		
DOID:5391	bronchus adenoma			
DOID:7030	bronchial mucus gland adenoma			
DOID:5398	lipoadenoma	ICDO:8324/0		
DOID:5401	water-clear cell adenoma	ICDO:8322/0		
DOID:5402	vaginal adenoma			
DOID:6613	vaginal villous adenoma			
DOID:8104	vaginal tubulovillous adenoma			
DOID:5427	urinary bladder villous adenoma		UBERON:0001255	urinary bladder
DOID:5446	eccrine papillary adenoma	ICDO:8408/0		
DOID:5643	urethral villous adenoma			
DOID:6483	rete testis adenoma		UBERON:0003959	rete testis
DOID:656	adrenal adenoma		UBERON:0002369	adrenal gland
DOID:0050891	adrenal cortical adenoma	ICDO:8370/0		
DOID:12028	Conn's syndrome			
DOID:7333	nephrogenic adenoma of urinary bladder		UBERON:0001255	urinary bladder
DOID:7334	nephrogenic adenoma			
DOID:8109	nephrogenic adenoma of the urethra		UBERON:0000057	urethra
DOID:745	epididymis adenomatoid tumor		UBERON:0001136	mesothelium
DOID:7608	parathyroid adenoma			
DOID:7607	chief cell adenoma	ICDO:8321/0		
DOID:7609	parathyroid transitional clear cell adenoma			
DOID:7610	mixed cell type adenoma of parathyroid			
DOID:7611	parathyroid oncocytic adenoma			
DOID:7839	infiltrating nipple syringomatous adenoma			
DOID:7851	pancreatic intraductal papillary-mucinous adenoma			
DOID:8003	alveoli adenoma		UBERON:0002299	alveolus of lung
DOID:6837	rete ovarii adenoma			
DOID:5725	rete ovarii cystadenoma			
DOID:0060085	organ system benign neoplasm			
DOID:0050621	respiratory system benign neoplasm		UBERON:0001004	respiratory system
DOID:1350	paranasal sinus benign neoplasm		UBERON:0001825	paranasal sinus
DOID:1358	maxillary sinus benign neoplasm		UBERON:0001764	maxillary sinus
DOID:8093	maxillary sinus Schneiderian papilloma			
DOID:1361	frontal sinus benign neoplasm		UBERON:0001760	frontal sinus
DOID:6054	frontal sinus Schneiderian papilloma			
DOID:1364	ethmoidal sinus benign neoplasm		UBERON:0002453	ethmoid sinus
DOID:6559	ethmoid sinus Schneiderian papilloma			
DOID:6854	ethmoid sinus ectopic meningioma			
DOID:6947	sphenoidal sinus benign neoplasm		UBERON:0001724	sphenoidal sinus
DOID:7679	sphenoid sinus Schneiderian papilloma			
DOID:2598	laryngeal benign neoplasm		UBERON:0001737	larynx
DOID:10069	subglottis benign neoplasm		UBERON:0036068	subglottis
DOID:10071	larynx squamous papilloma			
DOID:2597	glottis neoplasm			
DOID:5457	laryngeal neuroendocrine tumor			
DOID:8002	supraglottis neoplasm			
DOID:7105	epiglottis neoplasm			
DOID:3683	lung benign neoplasm		UBERON:0002048	lung
DOID:5364	pulmonary coin lesion			
DOID:5763	lung clear cell-sugar-tumor			
DOID:5767	hilar lung neoplasm			
DOID:3906	bronchial benign neoplasm		UBERON:0002185	bronchus
DOID:3906	bronchial benign neoplasm		UBERON:0002186	bronchiole
DOID:6564	neurilemmoma of the pleura		UBERON:0000977	pleura
DOID:9310	nasal cavity benign neoplasm		UBERON:0001707	nasal cavity
DOID:4633	nasal cavity inverting papilloma			
DOID:0050622	reproductive organ benign neoplasm		UBERON:0000990	reproductive system
DOID:0060086	female reproductive organ benign neoplasm		UBERON:0000474	female reproductive system
DOID:0060088	vestibular gland benign neoplasm		UBERON:0011826	vestibular gland
DOID:2068	Bartholin's gland benign neoplasm			
DOID:6518	Bartholin's gland adenomyoma		UBERON:0000460	major vestibular gland
DOID:0060095	uterine benign neoplasm		UBERON:0000995	uterus
DOID:0060110	cervical benign neoplasm		UBERON:0000002	uterine cervix
DOID:4995	cervical adenomyoma		UBERON:0000002	uterine cervix
DOID:8177	endocervical type cervical adenomyoma			
DOID:8178	endometrial type cervical adenomyoma			
DOID:8179	cervical atypical polypoid adenomyoma			
DOID:5476	cervical adenofibroma			
DOID:9442	cervical Mullerian papilloma			
DOID:0080365	endometrial hyperplasia			
DOID:13223	uterine fibroid			
DOID:13222	submucous uterine fibroid			
DOID:13560	subserous uterine fibroid			
DOID:13951	uterine corpus epithelioid leiomyoma		UBERON:0009853	body of uterus
DOID:13953	uterine corpus dissecting leiomyoma		UBERON:0009853	body of uterus
DOID:13955	uterus interstitial leiomyoma			
DOID:13956	uterine corpus myxoid leiomyoma		UBERON:0009853	body of uterus
DOID:13957	uterine corpus lipoleiomyoma		UBERON:0009853	body of uterus
DOID:1373	endometrial stromal nodule	ICDO:8930/0		
DOID:2691	myoma	ICDO:8895/0	UBERON:0000995	uterus
DOID:4994	adenomyoma of uterine corpus		UBERON:0009853	body of uterus
DOID:7878	uterine corpus atypical polypoid adenomyoma			
DOID:5726	uterine ligament papillary cystadenoma associated with von Hippel-Lindau disease			
DOID:0060109	vulvar benign neoplasm		UBERON:0000997	mammalian vulva
DOID:2060	vulvar nodular hidradenoma			
DOID:2064	vulvar syringoma			
DOID:2066	vulvar angiokeratoma			
DOID:2078	chondroid syringoma of the vulva		UBERON:0000997	mammalian vulva
DOID:2080	vulvar trichoepithelioma			
DOID:5043	vulvar granular cell tumor			
DOID:5142	vulvar leiomyoma			
DOID:0060111	fallopian tube benign neoplasm		UBERON:0003889	fallopian tube
DOID:3173	fallopian tube serous papilloma			
DOID:3705	fallopian tube mucinous tumor			
DOID:0060112	ovarian benign neoplasm		UBERON:0000992	ovary
DOID:2636	ovarian Brenner tumor			
DOID:3269	ovarian cystadenoma			
DOID:3267	mucinous ovarian cystadenoma			
DOID:7191	ovarian endometrioid cystadenoma			
DOID:5209	benign struma ovarii			
DOID:5474	ovarian serous adenofibroma			
DOID:7320	ovarian serous cystadenofibroma			
DOID:5480	ovarian endometrioid adenofibroma			
DOID:7411	ovarian endometrioid cystadenofibroma			
DOID:5897	ovarian clear cell adenofibroma			
DOID:5896	ovarian clear cell cystadenofibroma			
DOID:6211	mixed epithelial tumor of ovary			
DOID:6469	ovarian mucinous adenofibroma			
DOID:7013	ovarian mucinous cystadenofibroma			
DOID:7880	luteoma	ICDO:8610/0		
DOID:0060114	vaginal benign neoplasm		UBERON:0000996	vagina
DOID:133	vaginal Mullerian papilloma			
DOID:135	benign vaginal carcinosarcoma			
DOID:6505	vaginal spindle cell epithelioma			
DOID:137	vaginal squamous papilloma			
DOID:4895	rete ovarii benign neoplasm		UBERON:0010185	rete ovarii
DOID:0060087	male reproductive organ benign neoplasm		UBERON:0000079	male reproductive system
DOID:11624	penile benign neoplasm		UBERON:0000989	penis
DOID:2885	benign prostate phyllodes tumor			
DOID:3855	seminal vesicle tumor			
DOID:7675	testicular fibroma			
DOID:7676	testicular thecoma			
DOID:0080368	sex cord-stromal benign neoplasm			
DOID:0080370	ovarian sex cord-stromal benign neoplasm			
DOID:0080371	testicular sex cord-stromal benign neoplasm			
DOID:5147	dartoic leiomyoma			
DOID:0050624	gastrointestinal system benign neoplasm		UBERON:0001007	digestive system
DOID:10087	gastric leiomyoma			
DOID:3117	hepatobiliary benign neoplasm		UBERON:0002423	hepatobiliary system
DOID:0050625	biliary tract benign neoplasm		UBERON:0001173	biliary tree
DOID:0080640	gallbladder benign neoplasm		UBERON:0002110	gallbladder
DOID:10022	ampulla of Vater benign neoplasm		UBERON:0004913	hepatopancreatic ampulla
DOID:4608	common bile duct neoplasm			
DOID:5469	biliary tract intraductal papillary mucinous neoplasm			
DOID:916	liver benign neoplasm		UBERON:0002107	liver
DOID:3317	hepatic angiomyolipoma			
DOID:907	liver fibroma			
DOID:917	liver leiomyoma			
DOID:3918	pancreatic cystadenoma		UBERON:0001264	pancreas
DOID:3917	pancreatic serous cystadenoma			
DOID:7235	pancreatic mucinous cystadenoma			
DOID:7735	pancreatic colloid cystadenoma			
DOID:4148	gastrointestinal neuroendocrine benign tumor			
DOID:4715	gastric neuroendocrine neoplasm			
DOID:7402	L-cell glucagon-like peptide producing tumor			
DOID:452	pleomorphic adenoma	ICDO:8940/0		
DOID:4610	intestinal benign neoplasm		UBERON:0000160	intestine
DOID:11240	appendiceal neoplasm			
DOID:1517	cecal benign neoplasm		UBERON:0001153	caecum
DOID:1984	rectal benign neoplasm		UBERON:0001052	rectum
DOID:235	colonic benign neoplasm		UBERON:0001155	colon
DOID:10657	colonic lymphangioma			
DOID:1896	sigmoid neoplasm			
DOID:2780	rectosigmoid junction neoplasm			
DOID:4118	colon neuroendocrine neoplasm			
DOID:4119	intestinal neuroendocrine benign tumor			
DOID:4551	anus benign neoplasm		UBERON:0001245	anus
DOID:4550	anal gland neoplasm			
DOID:5545	anal neuroendocrine tumor			
DOID:7505	small intestine benign neoplasm		UBERON:0002108	small intestine
DOID:10156	benign ileal neoplasm		UBERON:0002116	ileum
DOID:1737	duodenal benign neoplasm		UBERON:0002114	duodenum
DOID:3218	jejunal neoplasm			
DOID:4434	small intestine neuroendocrine neoplasm			
DOID:7532	squamous papillomatosis	ICDO:8060/0		
DOID:959	esophagus squamous cell papilloma		UBERON:0001043	esophagus
DOID:960	esophagus leiomyoma		UBERON:0001043	esophagus
DOID:0060089	endocrine organ benign neoplasm		UBERON:0002368	endocrine gland
DOID:0050771	pheochromocytoma	ICDO:8700/3		
DOID:0050773	paraganglioma	ICDO:8680/3		
DOID:0080781	benign exocrine pancreas neoplasm		UBERON:0000017	exocrine pancreas
DOID:0081248	pineocytoma	ICDO:9361/1	UBERON:0001905	pineal body
DOID:1786	adrenal rest tumor	ICDO:8671/0		
DOID:5389	oxyphilic adenoma	ICDO:8290/0		
DOID:60008	parathyroid gland benign neoplasm		UBERON:0001132	parathyroid gland
DOID:60009	pituitary gland benign neoplasm		UBERON:0000007	pituitary gland
DOID:5048	posterior pituitary gland neoplasm			
DOID:0081280	pituicytoma	ICDO:9432/1	UBERON:0002198	neurohypophysis
DOID:0081306	spindle cell oncocytoma	ICDO:8290/0		
DOID:5047	granular cell tumor of the sellar region		UBERON:0002198	neurohypophysis
DOID:0060091	cardiovascular organ benign neoplasm		UBERON:0004535	cardiovascular system
