cls,def,xrefs
DOID:11504,,CSP:2042-2001 CSP:2049-9000 SNOMEDCT_2010_1_31:277879009 NCI:C27033 UMLS_CUI:C0259749
DOID:13663,A purulent acute otitis media with no perforation of the tympanic membrane.,SNOMEDCT_2010_1_31:14948001 ICD9CM:382.00 UMLS_CUI:C0395861
DOID:13461,,UMLS_CUI:C0375381 ICD9CM:599.82
HP:0000933,,
HP:0006644,,
DOID:6018,,UMLS_CUI:C1332193 NCI:C27401
HP:0006858,,
HP:0007095,,
DOID:10149,A bone cancer that is manifested in the long bones of the lower limb.,SNOMEDCT_2010_1_31:187959005 ICD9CM:170.7 SNOMEDCT_2010_1_31:93871001 SNOMEDCT_2010_1_31:187963003 UMLS_CUI:C0153517
DOID:12139,A mood disorder that involves the presence of a low mood almost daily over a span of at least two years.,UMLS_CUI:C0013415 SNOMEDCT_2010_1_31:192384008 MSH:D019263 SNOMEDCT_2010_1_31:78667006 ICD9CM:300.4 NCI:C34562
HP:0006415,,
CL:1000854,,
HP:0003160,,
HP:0005264,,
DOID:10659,,UMLS_CUI:C1333087 NCI:C7042
UBERON:0007724,,
NCBITaxon:786,,
DOID:1602,,SNOMEDCT_2010_1_31:41174002 SNOMEDCT_2010_1_31:274737001 UMLS_CUI:C0157705 SNOMEDCT_2010_1_31:19471005 SNOMEDCT_2010_1_31:287688007 UMLS_CUI:C0154304 SNOMEDCT_2010_1_31:154836001 SNOMEDCT_2010_1_31:156318008 SNOMEDCT_2010_1_31:154838000 UMLS_CUI:C0024205 SNOMEDCT_2010_1_31:200696002 NCI:C26821 SNOMEDCT_2010_1_31:32035007 MSH:D008199
NCBITaxon:5204,,
HP:0000134,,
DOID:5749,,ICD9CM:424.3 SNOMEDCT_2010_1_31:76267008 UMLS_CUI:C0034087 SNOMEDCT_2010_1_31:195001000 NCI:C78579
UBERON:0002857,,
NCBITaxon:136,,
UBERON:0014729,,
HP:0009745,,
HP:0003851,,
UBERON:2000940,,
UBERON:0001614,,
DOID:12294,"A mood disorder that is characterized by mood reactivity (paradoxical anhedonia) and positivity, significant weight gain or increased appetite (""comfort eating""), excessive sleep or somnolence (hypersomnia), a sensation of heaviness in limbs known as leaden paralysis, and significant social impairment as a consequence of hypersensitivity to perceived interpersonal rejection.",ICD9CM:296.82 SNOMEDCT_2010_1_31:277538003 SNOMEDCT_2010_1_31:192371004 SNOMEDCT_2010_1_31:191659001 UMLS_CUI:C0154437
UBERON:0001612,,
HP:0003161,,
HP:0005263,,
HP:0001308,,
DOID:12228,,ICD9CM:197.5 SNOMEDCT_2010_1_31:188444005 UMLS_CUI:C0153681 SNOMEDCT_2010_1_31:188440001
UBERON:0007723,,
NCBITaxon:787,,
DOID:3507,A fibrosarcoma that is located_in the dermis laryer of the skin and that begins as a hard nodule and grows slowly.,MSH:C538219 MSH:D018223 SNOMEDCT_2010_1_31:134160009 UMLS_CUI:C0206647 SNOMEDCT_2010_1_31:76594008 SNOMEDCT_2010_1_31:276799004 SNOMEDCT_2010_1_31:302844005
HP:0000135,,
HP:0010841,,
NCBITaxon:137,,
UBERON:0002858,,
HP:0003852,,
HP:0009744,,
DOID:0050845,"A focal dystonia that is characterized as dystonia that affects the muscles of the head, face, and neck.",
UBERON:2000941,,
UBERON:0001613,,
DOID:2877,A sarcoma and malignant neoplasm of larynx that is located_in the larynx.,NCI:C6020 UMLS_CUI:C1334377
HP:0007097,,
UBERON:0001611,,
DOID:9235,,SNOMEDCT_2010_1_31:363401000 NCI:C3531 UMLS_CUI:C0153400 SNOMEDCT_2010_1_31:93978008 ICD9CM:148.1
HP:0006417,,
HP:0003162,,
DOID:11168,"A viral infectious disease that results_in infection located_in skin of vagina, cervix, uterus, anus, penis, scrotum, mouth, and throat, has_material_basis_in human papillomaviruses (types 6 and 11), which are transmitted_by direct contact with the skin during oral, genital, or anal sex with an infected partner. The infection has_symptom anogenital warts.",SNOMEDCT_2010_1_31:266198004 NCI:C2960 SNOMEDCT_2010_1_31:302812006 SNOMEDCT_2010_1_31:186688003 SNOMEDCT_2010_1_31:266113007 UMLS_CUI:C0009663 MSH:D003218 ICD9CM:078.11 UMLS_CUI:C0554632 SNOMEDCT_2010_1_31:240542006 SNOMEDCT_2010_1_31:154361008 SNOMEDCT_2010_1_31:154365004 SNOMEDCT_2010_1_31:22020001 SNOMEDCT_2010_1_31:123157002
DOID:3447,An anal carcinoma that originating in the cortex of the adrenal gland and derives_from epithelial cells of glandular origin.,UMLS_CUI:C1332257 NCI:C5600 SNOMEDCT_2010_1_31:423607006
HP:0005262,,
DOID:3351,,UMLS_CUI:C1332574 NCI:C6479
UBERON:3000118,,
UBERON:0007726,,
HP:0000132,,
UBERON:0006359,,
DOID:4249,"A prion disease characterized by adult onset of memory loss, dementia, ataxia, and pathologic deposition of amyloid-like plaques in the brain.",UMLS_CUI:C0017495 SNOMEDCT_2010_1_31:67155006 OMIM:137440 NCI:C84727 ICD9CM:046.71 MSH:D016098
NCBITaxon:784,,
DOID:5323,,UMLS_CUI:C1517125 NCI:C40102
DOID:2340,A synostosis that results_in premature fusion located_in skull.,OMIM:604757 OMIM:182212 SNOMEDCT_2010_1_31:205414007 NCI:C84655 OMIM:123100 UMLS_CUI:C0010278 MSH:D003398 SNOMEDCT_2010_1_31:57219006 SNOMEDCT_2010_1_31:205411004
HP:0009743,,
HP:0003853,,
HP:0007098,,
UBERON:0002859,,
UBERON:0014727,,
DOID:3163,A sarcoma that is located_in the skin or located_in tissues that line or cover internal organs and that contains long spindle-shaped cells.,UMLS_CUI:C0334230 SNOMEDCT_2010_1_31:88897007 NCI:C27091
UBERON:2001690,,
UBERON:0001610,,
HP:0007096,,
UBERON:0003490,,
HP:0006640,,
DOID:9234,,UMLS_CUI:C0154092 SNOMEDCT_2010_1_31:190185006 ICD9CM:233.9
UBERON:3000117,,
DOID:3352,,UMLS_CUI:C0740479 NCI:C8563
HP:0003163,,
HP:0005261,,
HP:0005487,,
HP:0011519,,
HP:0000133,,
UBERON:0007725,,
DOID:13276,"A mycoplasmal pneumonia that is caused by the bacterial species Mycoplasma pneumoniae. The symptoms include chest pain, chills, dry cough which is not bloody, excessive sweating, fever, headache and sore throat.",UMLS_CUI:C0032302 SNOMEDCT_2010_1_31:46970008 SNOMEDCT_2010_1_31:195894001 SNOMEDCT_2010_1_31:195895000 SNOMEDCT_2010_1_31:155554001 ICD9CM:483.0 MSH:D011019
UBERON:2001691,,
DOID:5324,,UMLS_CUI:C1517114 NCI:C40130
DOID:4491,A syndrome affecting returning military veterans and civilian workers of the Gulf War.,UMLS_CUI:C0282550 MSH:D018923 SNOMEDCT_2010_1_31:95877004
NCBITaxon:785,,
HP:0009742,,
DOID:404,"An abdominal tuberculosis that results_in infection located_in gastrointestinal tract. The infection has_symptom abdominal pain, has_symptom weight loss, has_symptom fever, has_symptom anorexia, has_symptom change in bowel habits, has_symptom nausea, and has_symptom vomiting.",SNOMEDCT_2010_1_31:154286002 SNOMEDCT_2010_1_31:240376003 UMLS_CUI:C0041312 MSH:D014385 SNOMEDCT_2010_1_31:186228005
HP:0003854,,
HP:0011518,,
HP:0005486,,
DOID:12223,,UMLS_CUI:C0158332 SNOMEDCT_2010_1_31:42812006 ICD9CM:727.2
DOID:6013,,UMLS_CUI:C1334652 NCI:C6441
NCBITaxon:782,,
HP:0003164,,
DOID:8499,,SNOMEDCT_2010_1_31:65194006 SNOMEDCT_2010_1_31:193686009 MSH:D009755 SNOMEDCT_2010_1_31:75390007 UMLS_CUI:C0028077 NCI:C34850 ICD9CM:368.60 SNOMEDCT_2010_1_31:193693008 SNOMEDCT_2010_1_31:155144006 NCI:C37997 ICD9CM:368.6
HP:0010844,,
UBERON:0003493,,
HP:0003855,,
UBERON:0001618,,
HP:0000130,,
DOID:5325,,UMLS_CUI:C0392475 OMIM:268300 SNOMEDCT_2010_1_31:48718006 MSH:C535687 NCI:C4681
DOID:10655,,UMLS_CUI:C0940607 NCI:C5493
CL:1000850,,
DOID:2582,,NCI:C84526 SNOMEDCT_2010_1_31:190954001 MSH:D020642 UMLS_CUI:C0268419 SNOMEDCT_2010_1_31:124202004 OMIM:614097 SNOMEDCT_2010_1_31:111393000 SNOMEDCT_2010_1_31:267454002
DOID:3354,,UMLS_CUI:C1332576
UBERON:0005609,,
HP:0003165,,
HP:0011517,,
DOID:12224,,UMLS_CUI:C0006690 SNOMEDCT_2010_1_31:18251006 ICD9CM:727.82
UBERON:0003492,,
HP:0010845,,
DOID:8498,,SNOMEDCT_2010_1_31:193689002 SNOMEDCT_2010_1_31:193687000 SNOMEDCT_2010_1_31:193688005 OMIM:258100 OMIM:613411 SNOMEDCT_2010_1_31:89208008 ICD9CM:368.61 UMLS_CUI:C1306122 MSH:C537743
HP:0003856,,
UBERON:0001617,,
HP:0000131,,
DOID:14433,"An Escherichia coli intestinal infectious disease that involves infection of the intestine caused by a serological subgroup of Escherichia coli called enterohemorrhagic Escherichia coli (EHEC), which cause hemorrhagic colitis or bloody diarrhea that can progress to hemolytic uremic syndrome. EHEC are considered to be moderately invasive and are characterized by the production of verotoxin or Shiga toxins. The infection results in copious bloody discharge.",SNOMEDCT_2010_1_31:240354007 ICD9CM:008.04 SNOMEDCT_2010_1_31:186133003 UMLS_CUI:C0343381
DOID:990,,SNOMEDCT_2010_1_31:46619002 SNOMEDCT_2010_1_31:204381004 SNOMEDCT_2010_1_31:204385008 ICD10CM:Q24.6 OMIM:234700 SNOMEDCT_2010_1_31:204382006 UMLS_CUI:C0149530 MSH:C535758 ICD9CM:746.86 SNOMEDCT_2010_1_31:156924006
UBERON:0006358,,
CL:1001517,,
NCBITaxon:783,,
HP:0001522,,
HP:0009748,,
DOID:5326,,UMLS_CUI:C0154809 SNOMEDCT_2010_1_31:3598000 ICD9CM:361.01
DOID:10656,,UMLS_CUI:C1333092 NCI:C5492
DOID:2581,,SNOMEDCT_2010_1_31:360507004 SNOMEDCT_2010_1_31:42778005 SNOMEDCT_2010_1_31:278715001 UMLS_CUI:C0008445 SNOMEDCT_2010_1_31:22932004 SNOMEDCT_2010_1_31:205486004 MSH:D002806 OMIM:MTHU006620 NCI:C84632
HP:0003166,,
HP:0005484,,
DOID:12225,,UMLS_CUI:C0878705 ICD9CM:727.83
UBERON:0005608,,
NCBITaxon:780,,
HP:0011516,,
HP:0006413,,
UBERON:0003495,,
UBERON:0006355,,
UBERON:0001616,,
CL:1001516,,
UBERON:0006569,,
DOID:10657,,UMLS_CUI:C1333094 NCI:C5500
DOID:5327,,SNOMEDCT_2010_1_31:193347002 SNOMEDCT_2010_1_31:42059000 SNOMEDCT_2010_1_31:155103005 NCI:C26874 ICD9CM:361.9 MSH:D012163 UMLS_CUI:C0035305 OMIM:312530
DOID:7332,"A gastrointestinal tuberculosis that involves formation of tuberculous ulcers located_in esophagus. The infection has_symptom dysphagia, has_symptom cough, has_symptom chest pain, has_symptom fever and has_symptom weight loss.",UMLS_CUI:C0152902 ICD9CM:017.8 SNOMEDCT_2010_1_31:15284007
DOID:9230,,SNOMEDCT_2010_1_31:156417004 SNOMEDCT_2010_1_31:274946003 ICD9CM:705.81 SNOMEDCT_2010_1_31:267866004 SNOMEDCT_2010_1_31:25560004 SNOMEDCT_2010_1_31:201200004 SNOMEDCT_2010_1_31:201198005 SNOMEDCT_2010_1_31:402567004 MSH:D011146 SNOMEDCT_2010_1_31:201199002 SNOMEDCT_2010_1_31:267865000 SNOMEDCT_2010_1_31:201202007 SNOMEDCT_2010_1_31:156416008 UMLS_CUI:C0032633
HP:0009747,,
UBERON:0007722,,
DOID:12226,,NCI:C3078 SNOMEDCT_2010_1_31:300228004 SNOMEDCT_2010_1_31:362966006 MSH:D006311 UMLS_CUI:C0260662 SNOMEDCT_2010_1_31:128540005 SNOMEDCT_2010_1_31:362989003
UBERON:0005607,,
NCBITaxon:781,,
HP:0003167,,
HP:0005483,,
HP:0011515,,
HP:0006414,,
DOID:5002,"A viral infectious disease that results_in breakdown of red blood cells in horses, has_material_basis_in Equine infectious anemia virus, which is transmitted_by horse fly bite, transmitted_by deer fly bite, transmitted_by contact with saliva, milk, and body secretions, and transmitted_by contaminated needles and surgical equipment. The infection has_symptom anemia, has_symptom weakness, has_symptom swelling of the lower abdomen and legs, has_symptom weak pulse, and has_symptom irregular heartbeat.",SNOMEDCT_2010_1_31:40124009 MSH:D004859 NCI:C84694 UMLS_CUI:C0014661
DOID:13469,,UMLS_CUI:C0343677 SNOMEDCT_2010_1_31:186852006 SNOMEDCT_2010_1_31:186850003 ICD9CM:091.3
HP:0003858,,
UBERON:0003494,,
DOID:3356,,UMLS_CUI:C0278511 NCI:C7780
HP:0010843,,
UBERON:0001615,,
UBERON:0006356,,
DOID:0050085,A subcutaneous mycosis that involves fungal infection of the subcutaneous tissue caused by members of the order Entomophthorales.,SNOMEDCT_2010_1_31:59277005 NCI:C77212 UMLS_CUI:C0043541 MSH:D020096 SNOMEDCT_2010_1_31:187496006 SNOMEDCT_2010_1_31:187098003 ICD9CM:117.7
HP:0001520,,
DOID:5328,,UMLS_CUI:C0154808 SNOMEDCT_2010_1_31:193318009 ICD9CM:361.00 SNOMEDCT_2010_1_31:56202001 SNOMEDCT_2010_1_31:193328000 ICD9CM:361.0
UBERON:0007721,,
HP:0009746,,
DOID:9008,A syndrome that occurs in humans with psoriasis who also experience symptoms similar to arthritis.,UMLS_CUI:C0003872 EFO:0003778 SNOMEDCT_2010_1_31:156370009 ICD9CM:696.0 NCI:C61277 SNOMEDCT_2010_1_31:33339001 SNOMEDCT_2010_1_31:200959009 MSH:D015535
HP:0001300,,
UBERON:2001471,,
UBERON:0005604,,
UBERON:0006175,,
HP:0009962,,
UBERON:0001609,,
UBERON:0013227,,
UBERON:0003484,,
HP:0010837,,
CL:0000082,,
UBERON:0005605,,
HP:0001301,,
UBERON:2001470,,
UBERON:0013229,,
DOID:775,,UMLS_CUI:C1335485 NCI:C9184 UMLS_CUI:C0281658
HP:0009963,,
UBERON:0003485,,
UBERON:0013228,,
HP:0003859,,
CL:0000081,,
HP:0010836,,
HP:0005482,,
CL:0000295,,
UBERON:0005606,,
UBERON:0005602,,
UBERON:0001607,,
UBERON:0006173,,
DOID:6999,,UMLS_CUI:C0854989 NCI:C5014
DOID:7706,"A Cytomegalovirus infectious disease that results_in infection located_in esophagus, has_material_basis_in Human herpesvirus 5 and has_symptom odynophagia, has_symptom nausea and vomiting, has_symptom fever, has_symptom diarrhea, and has_symptom hemoptysis.",UMLS_CUI:C0877119 NCI:C27218
HP:0009960,,
CL:0000084,,
HP:0010835,,
UBERON:2001472,,
HP:0001525,,
UBERON:0001608,,
UBERON:0006174,,
HP:0009961,,
UBERON:0007730,,
HP:0010834,,
UBERON:0013226,,
CL:0000083,,
UBERON:0003487,,
DOID:2124,,UMLS_CUI:C1334593 SNOMEDCT_2010_1_31:254935002 NCI:C5114 UMLS_CUI:C1527390
DOID:9017,,ICD9CM:202.24 SNOMEDCT_2010_1_31:95259004 UMLS_CUI:C0153813 SNOMEDCT_2010_1_31:188633006
HP:0007087,,
DOID:7177,An anal canal cancer that derives_from epithelial squamous cells.,UMLS_CUI:C1332262 NCI:C7469
HP:0009740,,
DOID:772,,UMLS_CUI:C1334734
DOID:5758,,UMLS_CUI:C0334492 MSH:C535700 SNOMEDCT_2010_1_31:89623007 NCI:C4268
UBERON:0010349,,
HP:0001304,,
HP:0009966,,
UBERON:0005600,,
HP:0010413,,
DOID:0050571,A congenital disorder of glycosylation that involves malfunctioning trimming/processing of the protein-bound oligosaccharide chain.,OMIM:611209 OMIM:607091 OMIM:608779 OMIM:613489 OMIM:606056 OMIM:603585 OMIM:212066 OMIM:266265 OMIM:613612 OMIM:611182
HP:0006408,,
HP:0005267,,
DOID:1607,,SNOMEDCT_2010_1_31:154692004 SNOMEDCT_2010_1_31:267384006 SNOMEDCT_2010_1_31:267476006 UMLS_CUI:C0020617 SNOMEDCT_2010_1_31:190428000 SNOMEDCT_2010_1_31:71898001 SNOMEDCT_2010_1_31:190430003 ICD9CM:251.0
UBERON:0003488,,
UBERON:0006171,,
DOID:14068,"A malaria that presents as a rare febrile complication of repeated malarial attacks characterized by intravascular haemolysis, haemoglobinuria and kidney failure, resulting from destruction of red blood cells caused by heavy parasitization with Plasmodium falciparum or Plasmodium vivax.",UMLS_CUI:C0005681 MSH:D001742 SNOMEDCT_2010_1_31:56625005 ICD9CM:084.8 NCI:C34426
UBERON:0013223,,
HP:0007086,,
UBERON:0006575,,
DOID:5757,,SNOMEDCT_2010_1_31:266654000 SNOMEDCT_2010_1_31:198201006 NCI:C26762 SNOMEDCT_2010_1_31:155980007 SNOMEDCT_2010_1_31:31354001 UMLS_CUI:C0014127
HP:0009741,,
HP:0010412,,
DOID:10437,,UMLS_CUI:C0153668 SNOMEDCT_2010_1_31:188392009 SNOMEDCT_2010_1_31:188380009 ICD9CM:196.0
DOID:9010,,UMLS_CUI:C0153719 SNOMEDCT_2010_1_31:188517003 ICD9CM:200.28
UBERON:0005601,,
HP:0009967,,
HP:0001305,,
HP:0006407,,
HP:0005268,,
UBERON:0003489,,
DOID:9225,,UMLS_CUI:C0153749 SNOMEDCT_2010_1_31:93548007 SNOMEDCT_2010_1_31:188549003 ICD9CM:201.26
DOID:0080018,An ischemic bone disease the has_material_basis_in nitrogen embolization located_in bone.,
CL:0000291,,
UBERON:0006172,,
UBERON:0013224,,
DOID:774,,NCI:C4365 UMLS_CUI:C0339556 SNOMEDCT_2010_1_31:232075002
UBERON:0006574,,
UBERON:0010347,,
UBERON:2000947,,
HP:0009964,,
HP:0007089,,
HP:0010411,,
DOID:9011,,UMLS_CUI:C0154069 ICD9CM:231.0 SNOMEDCT_2010_1_31:92634009 SNOMEDCT_2010_1_31:189261004 NCI:C9100
HP:0001302,,
DOID:2127,,UMLS_CUI:C1332606 NCI:C6284
HP:0005265,,
HP:0001528,,
CL:0000080,,
UBERON:0013221,,
HP:0010839,,
UBERON:2000946,,
HP:0009965,,
DOID:773,,NCI:C4586 UMLS_CUI:C0347019 SNOMEDCT_2010_1_31:94292003
