title	pmid	doi	scopus_eid	pub_date
GNOme, an ontology for glycan naming and subsumption	39921684	10.1007/s00216-025-05757-8	2-s2.0-85217982914	2025-04-01
GTO: A comprehensive gene therapy omnibus	39540438	10.1093/nar/gkae1051	2-s2.0-85214660292	2025-01-06
HERB 2.0: An updated database integrating clinical and experimental evidence for traditional Chinese medicine	39558177	10.1093/nar/gkae1037	2-s2.0-85214444798	2025-01-06
Integrated Metabolomic and Transcriptomic Analysis Reveals the Pharmacological Effects and Differential Mechanisms of Isoflavone Biosynthesis in Four Species of Glycyrrhiza	40141180	10.3390/ijms26062539	2-s2.0-105000862638	2025-03-01
MIO: An ontology for annotating and integrating medical knowledge in myocardial infarction to enhance clinical decision making		10.1016/j.compbiomed.2025.110107	2-s2.0-105001474462	2025-05-01
MarkerDB 2.0: A comprehensive molecular biomarker database for 2025	39535054	10.1093/nar/gkae1056	2-s2.0-85214677529	2025-01-06
MedGraphNet: Leveraging Multi-Relational Graph Neural Networks and Text Knowledge for Biomedical Predictions			2-s2.0-85216933889	2024-01-01
MedKG: enabling drug discovery through a unified biomedical knowledge graph		10.1007/s11030-025-11164-z	2-s2.0-105000202559	2025-01-01
Petagraph: A large-scale unifying knowledge graph framework for integrating biomolecular and biomedical data	39695169	10.1038/s41597-024-04070-w	2-s2.0-85212405900	2024-12-01
SPEED++: A Multilingual Event Extraction Framework for Epidemic Prediction and Preparedness		10.18653/v1/2024.emnlp-main.720	2-s2.0-85217820359	2024-01-01
Standardized pipelines support and facilitate integration of diverse datasets at the Rat Genome Database	39841812	10.1093/database/baae132	2-s2.0-85216608239	2025-01-01
The PLSDB 2025 update: Enhanced annotations and improved functionality for comprehensive plasmid research	39565221	10.1093/nar/gkae1095	2-s2.0-85214434992	2025-01-06
The TOXIN knowledge graph: supporting animal-free risk assessment of cosmetics	39879562	10.1093/database/baae121	2-s2.0-85216871520	2025-01-01
Unlocking biological insights from differentially expressed genes: Concepts, methods, and future perspectives		10.1016/j.jare.2024.12.004	2-s2.0-85212320059	2024-01-01
Updates implemented in version 4 of the GlyCosmos Glycoscience Portal	39690313	10.1007/s00216-024-05692-0	2-s2.0-85212254444	2025-02-01
VarGuideAtlas: a repository of variant interpretation guidelines	40067792	10.1093/database/baaf017	2-s2.0-105000103121	2025-01-01
Ontology for Intelligent Disease Diagnosis		10.1109/ICELTICs62730.2024.10776498	2-s2.0-85214666306	2024-01-01
Exploring the predictive values of SERP4 and FRZB in dilated cardiomyopathy based on an integrated analysis.	39425025	10.1186/s12872-024-04255-6		2024-10-18
GPACDA – circRNA-Disease Association Prediction with Generating Polynomials		10.1007/978-3-031-64629-4_3	2-s2.0-85202609567	2024-01-01
A best-match approach for gene set analyses in embedding spaces	39231608	10.1101/gr.279141.124	2-s2.0-85206217051	2024-09-01
An ensemble approach for circular RNA-disease association prediction using variational autoencoder and genetic algorithm	39215523	10.1142/S0219720024500185	2-s2.0-85202826382	2024-08-01
Data-driven drug treatment: enhancing clinical decision-making with SalpPSO-optimized GraphSAGE		10.1080/10255842.2024.2399012	2-s2.0-85204381130	2024-01-01
Disease Models for Rare Genetic Disorders		10.1007/978-981-99-9323-9_4	2-s2.0-85205342334	2024-01-01
Merging Biomedical Ontologies with BioSTransformers	39176907	10.3233/SHTI240526	2-s2.0-85202005093	2024-08-22
SiMHOMer: Siamese Models for Health Ontologies Merging and Validation Through Large Language Models		10.1007/978-3-031-64629-4_9	2-s2.0-85202640943	2024-01-01
Using Generative Large Language Models for Hierarchical Relationship Prediction in Medical Ontologies		10.1109/ICHI61247.2024.00040	2-s2.0-85203690166	2024-01-01
Ontologies related to livestock for the Global Burden of Animal Diseases programme: a review	39222110	10.20506/rst.43.3519	2-s2.0-85203112352	2024-08-01
CHNSCDA: circRNA-disease association prediction based on strongly correlated heterogeneous neighbor sampling		10.1007/s13042-024-02375-1	2-s2.0-85204289290	2024-01-01
Biomedical Applications of Precision Medicine in Neurodegenerative Diseases		10.1007/978-3-319-75922-7_55	2-s2.0-85205463402	2023-01-01
IGF1 and CXCR4 Respectively Related with Inhibited M1 Macrophage Polarization in Keloids		10.1097/SCS.0000000000010479	2-s2.0-85202027213	2024-01-01
Enhancing Large Language Models with Human Expertise for Disease Detection in Electronic Health Records		10.1109/ICDH62654.2024.00031	2-s2.0-85203801521	2024-01-01
Knowledge Graphs in Information Retrieval		10.34190/eckm.25.1.2876	2-s2.0-85206638453	2024-01-01
STNMDA: A novel model for predicting potential microbe-drug associations with structure-aware transformer		10.2174/0115748936272939231212102627	2-s2.0-85205982152	2024-01-01
microRNA-324 mediates bone homeostasis and the regulation of osteoblast and osteoclast differentiation and activity	39383985	10.1016/j.bone.2024.117273	2-s2.0-85206075504	2025-01-01
A Comprehensive Review of the Data and Knowledge Graphs Approaches in Bioinformatics<sup>⋆</sup>		10.2298/CSIS230530027G	2-s2.0-85201692797	2024-06-01
Bioinformatics Identification and Validation of Angiogenesis-Related Genes in Myocardial Ischemic Reperfusion Injury		10.31083/j.fbl2910347	2-s2.0-85205797801	2024-10-01
Disease Similarity and Disease Clustering		10.1007/978-3-031-67871-4_5	2-s2.0-85202609573	2024-01-01
Gene annotation: Resources for the heart		10.1016/B978-0-12-822951-4.00022-9	2-s2.0-85202851813	2024-01-01
Genetically and semantically aware homogeneous network for prediction and scoring of comorbidities	39418770	10.1016/j.compbiomed.2024.109252	2-s2.0-85206193274	2024-12-01
Integrative Graph-Based Framework for Predicting circRNA Drug Resistance Using Disease Contextualization and Deep Learning		10.1109/JBHI.2024.3457271	2-s2.0-85203793003	2024-01-01
Review of Ontology Construction and Applications		10.16353/j.cnki.1000-7490.2023.11.024	2-s2.0-85190459087	2023-11-01
A framework for integrating biomedical knowledge in Wikidata with open biological and biomedical ontologies and MeSH keywords.	39403518	10.1016/j.heliyon.2024.e38448		2024-09-27
Alzheimer's Disease Knowledge Graph Enhances Knowledge Discovery and Disease Prediction.	39005357	10.1101/2024.07.03.601339		2024-07-05
CBGDA: a manually curated resource for gene-disease associations based on genome-wide CRISPR.	39213392	10.1093/database/baae077		2024-08-30
Disease coverage of human genome-wide association studies and pharmaceutical research and development.	39379679	10.1038/s43856-024-00625-5		2024-10-08
Dissecting the Reduced Penetrance of Putative Loss-of-Function Variants in Population-Scale Biobanks.	39399029	10.1101/2024.09.23.24314008		2024-10-07
Improving dictionary-based named entity recognition with deep learning.	39230709	10.1093/bioinformatics/btae402		2024-09-01
Incorporating Tissue-Specific Gene Expression Data to Improve Chemical-Disease Inference of in Silico Toxicogenomics Methods.	39189172	10.3390/jox14030057		2024-07-31
Insights into a Machine Learning-Based Palmitoylation-Related Gene Model for Predicting the Prognosis and Treatment Response of Breast Cancer Patients.	39205467	10.1177/15330338241263434		2024-01-01
Integrating cellular experiments, single-cell sequencing, and machine learning to identify endoplasmic reticulum stress biomarkers in idiopathic pulmonary fibrosis.	39340293	10.1080/07853890.2024.2409352		2024-12-01
Integration of chromosome locations and functional aspects of enhancers and topologically associating domains in knowledge graphs enables versatile queries about gene regulation.	38967009	10.1093/nar/gkae566		2024-08-27
LDAGM: prediction lncRNA-disease asociations by graph convolutional auto-encoder and multilayer perceptron based on multi-view heterogeneous networks.	39407120	10.1186/s12859-024-05950-z		2024-10-15
Modelling cell type-specific lncRNA regulatory network in autism with Cycle.	39333906	10.1186/s12859-024-05933-0		2024-09-27
Self-assembled thin films as alternative surface textures in assistive aids with users who are blind.	39264329	10.1039/d4tb01646g		2024-10-09
Talking about diseases; developing a model of patient and public-prioritised disease phenotypes.	39349692	10.1038/s41746-024-01257-8		2024-09-30
The Anti-Inflammatory Effect of Lactococcus lactis-Ling-Zhi 8 on Ameliorating Atherosclerosis and Nonalcoholic Fatty Liver in High-Fat Diet Rabbits.	39457059	10.3390/ijms252011278		2024-10-20
ToxDAR: A Workflow Software for Analyzing Toxicologically Relevant Proteomic and Transcriptomic Data, from Data Preparation to Toxicological Mechanism Elucidation.	39273492	10.3390/ijms25179544		2024-09-02
Zero-shot evaluation of ChatGPT for food named-entity recognition and linking.	39290564	10.3389/fnut.2024.1429259		2024-08-13
simona: a comprehensive R package for semantic similarity analysis on bio-ontologies.	39285315	10.1186/s12864-024-10759-4		2024-09-16
Large language models for medicine: a survey		10.1007/s13042-024-02318-w	2-s2.0-85201433727	2024-01-01
Spatially resolved epigenome sequencing via Tn5 transposition and deterministic DNA barcoding in tissue		10.1038/s41596-024-01013-y	2-s2.0-85197386983	2024-01-01
XAI-Based Clinical Decision Support Systems: A Systematic Review		10.3390/app14156638	2-s2.0-85200871198	2024-08-01
COVID-19 Vaccination in Pregnancy: Pilot Study of Plasma MicroRNAs Associated with Inflammatory Cytokines after COVID-19 mRNA Vaccination		10.3390/vaccines12060658	2-s2.0-85197120114	2024-06-01
Network Pharmacology Analysis of the Potential Pharmacological Mechanism of a Sleep Cocktail	38927034	10.3390/biom14060630	2-s2.0-85197169376	2024-06-01
Bridging the Knowledge Gap: Improving BERT models for answering MCQs by using Ontology-generated synthetic MCQA Dataset			2-s2.0-85198462719	2024-05-12
Using clusterProfiler to characterize multiomics data		10.1038/s41596-024-01020-z	2-s2.0-85198833681	2024-01-01
A Method for Inferring Candidate Disease-Disease Associations		10.1007/978-3-031-63772-8_8	2-s2.0-85199563898	2024-01-01
Sodium-glucose cotransporter 2 inhibitors induce anti-inflammatory and anti-ferroptotic shift in epicardial adipose tissue of subjects with severe heart failure	38943140	10.1186/s12933-024-02298-9	2-s2.0-85197112388	2024-12-01
Altered tumor microenvironment heterogeneity of penile cancer during progression from non-lymphatic to lymphatic metastasis	39003681	10.1002/cam4.70025	2-s2.0-85198656112	2024-07-01
Concept2Text: an explainable multilingual rewriting of concepts into natural language			2-s2.0-85200126703	2024-01-01
Large Language Model-Based Natural Language Encoding Could Be All You Need for Drug Biomedical Association Prediction		10.1021/acs.analchem.4c01793	2-s2.0-85198997774	2024-01-01
Empowering standardization of cancer vaccines through ontology: enhanced modeling and data analysis	38890666	10.1186/s13326-024-00312-3	2-s2.0-85196203883	2024-12-01
Classify Alzheimer genes association using Naïve Bayes algorithm		10.1016/j.humgen.2024.201309	2-s2.0-85196785987	2024-09-01
A Survey of Deep Learning for Detecting miRNA- Disease Associations: Databases, Computational Methods, Challenges, and Future Directions	38194377	10.1109/TCBB.2024.3351752	2-s2.0-85182364126	2024-05-01
Event Detection from Social Media for Epidemic Prediction			2-s2.0-85198459237	2024-01-01
ICD-10 - ORPHA: An Interactive Complex Network Model for Brazilian Rare Diseases		10.1016/j.procs.2024.06.218	2-s2.0-85201321584	2024-01-01
TIN-X version 3: update with expanded dataset and modernized architecture for enhanced illumination of understudied targets		10.7717/peerj.17470	2-s2.0-85196971309	2024-01-01
The Immunopeptidomics Ontology (ImPO)	38857186	10.1093/database/baae014	2-s2.0-85195623282	2024-01-01
Towards a Knowledge-Based Approach for Digitalizing Integrated Care Pathways		10.1007/978-3-031-61688-4_8	2-s2.0-85200668868	2024-01-01
Knowledge-guided generative artificial intelligence for automated taxonomy learning from drug labels.	38787964	10.1093/jamia/ocae105		2024-09-01
An ontology-based knowledge graph for representing interactions involving RNA molecules.	39174566	10.1038/s41597-024-03673-7		2024-08-22
Functional implications of glycans and their curation: insights from the workshop held at the 16th Annual International Biocuration Conference in Padua, Italy.	39137905	10.1093/database/baae073		2024-08-13
The overview of the BioRED (Biomedical Relation Extraction Dataset) track at BioCreative VIII.	39114977	10.1093/database/baae069		2024-08-08
Leveraging integrative toxicogenomic approach towards development of stressor-centric adverse outcome pathway networks for plastic additives.	39097536	10.1007/s00204-024-03825-z		2024-08-03
Predicting lncRNA-Disease Associations Based on a Dual-Path Feature Extraction Network with Multiple Sources of Information Integration.	39157140	10.1021/acsomega.4c05365		2024-07-30
Multi-Omics Reveals the Effects of Spirulina platensis Powder Replacement of Fish Meal on Intestinal Metabolism and Stress in Zig-Zag Eel (Mastacembelus armatus).	39061919	10.3390/antiox13070851		2024-07-15
Quantifying the massive pleiotropy of microRNA: a human microRNA-disease causal association database generated with ChatGPT.	39026876	10.1101/2024.07.08.602488		2024-07-11
FCER1G as a novel immune-associated blood biomarker in cardiogenic stroke.	39071704	10.1016/j.heliyon.2024.e33846		2024-06-28
Crucial role of lncRNA NONHSAG037054.2 and GABPA, and their related functional networks, in ankylosing spondylitis.	38628657	10.3892/etm.2024.12525		2024-03-27
Comparative Analysis of Fusion Strategies for Imaging and Non-imaging Data - Use-case of Hospital Discharge Prediction.	38827051			2024-05-31
The O3 guidelines: open data, open code, and open infrastructure for sustainable curated scientific resources.	38811583	10.1038/s41597-024-03406-w		2024-05-29
Homeostasis imbalance process ontology: a study on COVID-19 infectious processes.	38778394	10.1186/s12911-024-02516-0		2024-05-22
Predicting gene disease associations with knowledge graph embeddings for diseases with curtailed information.	38745993	10.1093/nargab/lqae049		2024-05-14
RFX6 haploinsufficiency predisposes to diabetes through impaired beta cell function.	38743124	10.1007/s00125-024-06163-y		2024-05-14
DDCM: A Computational Strategy for Drug Repositioning Based on Support-Vector Regression Algorithm.	38791306	10.3390/ijms25105267		2024-05-12
A tree-based corpus annotated with Cyber-Syndrome, symptoms, and acupoints.	38730023	10.1038/s41597-024-03321-0		2024-05-10
Prototyping an Ontological Framework for Cellular Senescence Mechanisms: A Homeostasis Imbalance Perspective.	38729991	10.1038/s41597-024-03331-y		2024-05-10
Characterization of the genetic determinants of context-specific DNA methylation in primary monocytes.	38663408	10.1016/j.xgen.2024.100541		2024-05-08
Mouse Genome Informatics: an integrated knowledgebase system for the laboratory mouse.	38531069	10.1093/genetics/iyae031		2024-05-07
WormBase 2024: status and transitioning to Alliance infrastructure.	38573366	10.1093/genetics/iyae050		2024-05-07
NetMe 2.0: a web-based platform for extracting and modeling knowledge from biomedical literature as a labeled graph.	38597890	10.1093/bioinformatics/btae194		2024-05-02
Multi-omics characterization of macrophage polarization-related features in osteoarthritis based on a machine learning computational framework.	38774079	10.1016/j.heliyon.2024.e30335		2024-04-27
Identification of Age-Related Characteristic Genes Involved in Severe COVID-19 Infection Among Elderly Patients Using Machine Learning and Immune Cell Infiltration Analysis.	38656671	10.1007/s10528-024-10802-9		2024-04-24
The Alzheimer's Knowledge Base: A Knowledge Graph for Alzheimer Disease Research.	38635981	10.2196/46777		2024-04-18
Decoding the gene-disease associations in type 2 diabetes: A curated dataset for text mining-based classification.	38708311	10.1016/j.dib.2024.110418		2024-04-17
Integrated bioinformatics analysis and experimental animal models identify a robust biomarker and its correlation with the immune microenvironment in pulmonary arterial hypertension.	38660271	10.1016/j.heliyon.2024.e29587		2024-04-16
