id	label	subClassOf
"DOID:0040068"	"4-tert-butylphenol allergic contact dermatitis"	"allergic contact dermatitis"
"DOID:0040063"	"4-vinylcyclohexene dioxide respiratory allergy"	"respiratory allergy"
"DOID:0080656"	"45,X/46,XY mixed gonadal dysgenesis"	"mixed gonadal dysgenesis"
"DOID:14450"	"46 XX gonadal dysgenesis"	"gonadal dysgenesis"
"DOID:0111760"	"46,XX sex reversal"	"gonadal dysgenesis"
"DOID:0111761"	"46,XX sex reversal 1"	"46,XX sex reversal"
"DOID:0111763"	"46,XX sex reversal 2"	"46,XX sex reversal"
"DOID:0111762"	"46,XX sex reversal 3"	"46,XX sex reversal"
"DOID:0111764"	"46,XX sex reversal 4"	"46,XX sex reversal"
"DOID:0080943"	"46,XX sex reversal 5"	"46,XX sex reversal"
"DOID:14448"	"46,XY complete gonadal dysgenesis"	"gonadal dysgenesis"
"DOID:0051055"	"46,XY gonadal dysgenesis with minifascicular neuropathy"	"gonadal dysgenesis"
"DOID:0111778"	"46,XY sex reversal 1"	"46,XY complete gonadal dysgenesis"
"DOID:0111775"	"46,XY sex reversal 10"	"46,XY complete gonadal dysgenesis"
"DOID:0111777"	"46,XY sex reversal 2"	"46,XY complete gonadal dysgenesis"
"DOID:0111772"	"46,XY sex reversal 3"	"46,XY complete gonadal dysgenesis"
"DOID:0111771"	"46,XY sex reversal 4"	"46,XY complete gonadal dysgenesis"
"DOID:0111776"	"46,XY sex reversal 5"	"46,XY complete gonadal dysgenesis"
"DOID:0111769"	"46,XY sex reversal 6"	"46,XY complete gonadal dysgenesis"
"DOID:0111774"	"46,XY sex reversal 7"	"46,XY complete gonadal dysgenesis"
"DOID:0111773"	"46,XY sex reversal 8"	"46,XY complete gonadal dysgenesis"
"DOID:0111770"	"46,XY sex reversal 9"	"46,XY complete gonadal dysgenesis"
"DOID:0080926"	"7q11.23 duplication syndrome"	"chromosomal duplication syndrome"
"DOID:0081069"	"A53 diffuse large B-cell lymphoma"	"diffuse large B-cell lymphoma"
"DOID:0050600"	"ABCD syndrome"	"syndrome"
"DOID:0111622"	"ACTH-independent macronodular adrenal hyperplasia"	"primary hyperaldosteronism"
"DOID:0111623"	"ACTH-independent macronodular adrenal hyperplasia 1"	"ACTH-independent macronodular adrenal hyperplasia"
"DOID:0111624"	"ACTH-independent macronodular adrenal hyperplasia 2"	"ACTH-independent macronodular adrenal hyperplasia"
"DOID:7004"	"ACTH-secreting pituitary adenoma"	"functioning pituitary adenoma"
"DOID:0050601"	"ADULT syndrome"	"syndrome"
"DOID:0050712"	"AGAT deficiency"	"cerebral creatine deficiency syndrome"
"DOID:603"	"AIDS phobia"	"nosophobia"
"DOID:0080952"	"AMED syndrome"	"syndrome"
"DOID:0111860"	"AMME complex"	"syndrome"
"DOID:0070028"	"APP-related cerebral amyloid angiopathy"	"cerebral amyloid angiopathy"
"DOID:0050763"	"ARC syndrome"	"syndrome"
"DOID:6691"	"Aagenaes syndrome"	"syndrome"
"DOID:0111824"	"Aarskog syndrome"	"syndrome"
"DOID:0111826"	"Abruzzo-Erickson syndrome"	"syndrome"
"DOID:6686"	"Achard syndrome"	"syndrome"
"DOID:6687"	"Achenbach syndrome"	"skin disease"
"DOID:12857"	"Achilles bursitis"	"bursitis"
"DOID:3091"	"Acinetobacter infectious disease"	"opportunistic bacterial infectious disease"
"DOID:0060227"	"Adams-Oliver syndrome"	"syndrome"
"DOID:13774"	"Addison's disease"	"adrenal cortical hypofunction"
"DOID:11549"	"Adie syndrome"	"syndrome"
"DOID:11315"	"African histoplasmosis"	"histoplasmosis"
"DOID:0111033"	"African iron overload"	"hemochromatosis"
"DOID:0050035"	"African tick-bite fever"	"spotted fever"
"DOID:8461"	"Aicardi syndrome"	"syndrome"
"DOID:0050629"	"Aicardi-Goutieres syndrome"	"syndrome"
"DOID:9245"	"Alagille syndrome"	"liver disease"
"DOID:0050630"	"Aland Island eye disease"	"eye disease"
"DOID:4252"	"Alexander disease"	"leukodystrophy"
"DOID:0050308"	"Alkhumra hemorrhagic fever"	"viral infectious disease"
"DOID:0111555"	"Alkuraya-Kucinskas syndrome"	"syndrome"
"DOID:0050631"	"Allan-Herndon-Dudley syndrome"	"syndrome"
"DOID:0080122"	"Alpers-Huttenlocher syndrome"	"mitochondrial DNA depletion syndrome"
"DOID:10983"	"Alport syndrome"	"syndrome"
"DOID:0050473"	"Alstrom syndrome"	"syndrome"
"DOID:10652"	"Alzheimer's disease"	"tauopathy"
"DOID:0080348"	"Alzheimer's disease 1"	"Alzheimer's disease"
"DOID:0110043"	"Alzheimer's disease 10"	"Alzheimer's disease"
"DOID:0110044"	"Alzheimer's disease 11"	"Alzheimer's disease"
"DOID:0110045"	"Alzheimer's disease 12"	"Alzheimer's disease"
"DOID:0110046"	"Alzheimer's disease 13"	"Alzheimer's disease"
"DOID:0110047"	"Alzheimer's disease 14"	"Alzheimer's disease"
"DOID:0110048"	"Alzheimer's disease 15"	"Alzheimer's disease"
"DOID:0110036"	"Alzheimer's disease 16"	"Alzheimer's disease"
"DOID:0110049"	"Alzheimer's disease 17"	"Alzheimer's disease"
"DOID:0110050"	"Alzheimer's disease 18"	"Alzheimer's disease"
"DOID:0110051"	"Alzheimer's disease 19"	"Alzheimer's disease"
"DOID:0110035"	"Alzheimer's disease 2"	"Alzheimer's disease"
"DOID:0110042"	"Alzheimer's disease 3"	"Alzheimer's disease"
"DOID:0110040"	"Alzheimer's disease 4"	"Alzheimer's disease"
"DOID:0110037"	"Alzheimer's disease 5"	"Alzheimer's disease"
"DOID:0110038"	"Alzheimer's disease 6"	"Alzheimer's disease"
"DOID:0110039"	"Alzheimer's disease 7"	"Alzheimer's disease"
"DOID:0110041"	"Alzheimer's disease 8"	"Alzheimer's disease"
"DOID:0111364"	"Alzheimer's disease 9"	"Alzheimer's disease"
"DOID:0111060"	"Ambras type hypertrichosis universalis congenita"	"hypertrichosis"
"DOID:1759"	"American histoplasmosis"	"histoplasmosis"
"DOID:0050434"	"Andersen-Tawil syndrome"	"long QT syndrome"
"DOID:1932"	"Angelman syndrome"	"syndrome"
"DOID:11203"	"Angelucci's syndrome"	"allergic conjunctivitis"
"DOID:0081289"	"Antley-Bixler syndrome"	"craniosynostosis"
"DOID:0050462"	"Antley-Bixler syndrome with disordered steroidogenesis"	"Antley-Bixler syndrome"
"DOID:0081290"	"Antley-Bixler syndrome without disordered steroidogenesis"	"Antley-Bixler syndrome"
"DOID:0070062"	"Arboleda-Tham syndrome"	"autosomal dominant intellectual developmental disorder"
"DOID:3944"	"Arenaviridae infectious disease"	"viral infectious disease"
"DOID:0050194"	"Argentine hemorrhagic fever"	"viral infectious disease"
"DOID:14523"	"Argyll Robertson pupil"	"abnormal pupillary function"
"DOID:0050764"	"Armfield syndrome"	"syndromic X-linked intellectual disability"
"DOID:0050647"	"Arts syndrome"	"syndromic X-linked intellectual disability"
"DOID:0050608"	"Askin's tumor"	"Ewing sarcoma"
"DOID:0050432"	"Asperger syndrome"	"autism spectrum disorder"
"DOID:0050041"	"Astrakhan spotted fever"	"spotted fever"
"DOID:0050682"	"Athabaskan brainstem dysgenesis syndrome"	"brain disease"
"DOID:0060514"	"Atlantic cod allergy"	"fish allergy"
"DOID:0060515"	"Atlantic salmon allergy"	"fish allergy"
"DOID:14686"	"Axenfeld-Rieger syndrome"	"eye disease"
"DOID:0110120"	"Axenfeld-Rieger syndrome type 1"	"Axenfeld-Rieger syndrome"
"DOID:0110121"	"Axenfeld-Rieger syndrome type 2"	"Axenfeld-Rieger syndrome"
"DOID:0110122"	"Axenfeld-Rieger syndrome type 3"	"Axenfeld-Rieger syndrome"
"DOID:0111688"	"Ayme-Gripp syndrome"	"syndrome"
"DOID:0111964"	"B cell and dendritic cell deficiency"	"combined immunodeficiency"
"DOID:2115"	"B cell deficiency"	"primary immunodeficiency disease"
"DOID:0080638"	"B-cell acute lymphoblastic leukemia"	"acute lymphoblastic leukemia"
"DOID:0060592"	"B-cell adult acute lymphocytic leukemia"	"adult acute lymphocytic leukemia"
"DOID:707"	"B-cell lymphoma"	"non-Hodgkin lymphoma"
"DOID:0081041"	"B-cell prolymphocytic leukemia"	"prolymphocytic leukemia"
"DOID:0081412"	"B-lymphoblastic leukemia with DUX4 rearrangement"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0070623"	"B-lymphoblastic leukemia with MEF2D rearrangement"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0070624"	"B-lymphoblastic leukemia with MYC rearrangement"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0070625"	"B-lymphoblastic leukemia with NUTM1 rearrangement"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0081411"	"B-lymphoblastic leukemia with PAX5 p.P80R"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0070626"	"B-lymphoblastic leukemia with PAX5alt"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0070627"	"B-lymphoblastic leukemia with TCF3-HLF fusion"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0070628"	"B-lymphoblastic leukemia with ZNF384 rearrangement"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0080630"	"B-lymphoblastic leukemia/lymphoma"	"B-cell acute lymphoblastic leukemia"
"DOID:0080644"	"B-lymphoblastic leukemia/lymphoma MLL rearranged"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0080643"	"B-lymphoblastic leukemia/lymphoma with BCR-ABL1"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0080645"	"B-lymphoblastic leukemia/lymphoma with ETV6-RUNX1"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0080648"	"B-lymphoblastic leukemia/lymphoma with IGH::IL3 fusion"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0080649"	"B-lymphoblastic leukemia/lymphoma with TCF3-PBX1"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0080646"	"B-lymphoblastic leukemia/lymphoma with hyperdiploidy"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0080647"	"B-lymphoblastic leukemia/lymphoma with hypodiploidy"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0080651"	"B-lymphoblastic leukemia/lymphoma with iAMP21"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0080650"	"B-lymphoblastic leukemia/lymphoma, BCR-ABL1–like"	"B-lymphoblastic leukemia/lymphoma"
"DOID:0080725"	"BASAN syndrome"	"ectodermal dysplasia"
"DOID:0081403"	"BCOR ITD sarcoma"	"sarcoma with BCOR genetic alterations"
"DOID:0081404"	"BCOR-CCNB3 sarcoma"	"sarcoma with BCOR genetic alterations"
"DOID:0090106"	"BH4-deficient hyperphenylalaninemia A"	"tetrahydrobiopterin (BH4)-deficient hyperphenylalaninemia"
"DOID:0112225"	"BH4-deficient hyperphenylalaninemia B"	"tetrahydrobiopterin (BH4)-deficient hyperphenylalaninemia"
"DOID:0081130"	"BH4-deficient hyperphenylalaninemia C"	"tetrahydrobiopterin (BH4)-deficient hyperphenylalaninemia"
"DOID:0081131"	"BH4-deficient hyperphenylalaninemia D"	"tetrahydrobiopterin (BH4)-deficient hyperphenylalaninemia"
"DOID:0081064"	"BN2 diffuse large B-cell lymphoma"	"diffuse large B-cell lymphoma"
"DOID:6643"	"Baastrup's syndrome"	"spondyloarthropathy"
"DOID:0080893"	"Bainbridge-Ropers syndrome"	"syndrome"
"DOID:0050522"	"Balkan hemorrhagic fever"	"Hantavirus hemorrhagic fever with renal syndrome"
"DOID:3052"	"Balkan nephropathy"	"interstitial nephritis"
"DOID:0110963"	"Ballard syndrome"	"brachydactyly"
"DOID:0050654"	"Baller-Gerold syndrome"	"synostosis"
"DOID:0060215"	"Balo concentric sclerosis"	"multiple sclerosis"
"DOID:0050655"	"Bamforth-Lazarus syndrome"	"hypothyroidism"
"DOID:0050657"	"Bannayan-Riley-Ruvalcaba syndrome"	"Cowden syndrome"
"DOID:0060229"	"Baraitser-Winter syndrome"	"syndrome"
"DOID:0081112"	"Baraitser-Winter syndrome 1"	"Baraitser-Winter syndrome"
"DOID:0081113"	"Baraitser-Winter syndrome 2"	"Baraitser-Winter syndrome"
"DOID:0060549"	"Barber-Say syndrome"	"syndrome"
"DOID:1935"	"Bardet-Biedl syndrome"	"syndrome"
"DOID:0110123"	"Bardet-Biedl syndrome 1"	"Bardet-Biedl syndrome"
"DOID:0110132"	"Bardet-Biedl syndrome 10"	"Bardet-Biedl syndrome"
"DOID:0110133"	"Bardet-Biedl syndrome 11"	"Bardet-Biedl syndrome"
"DOID:0110134"	"Bardet-Biedl syndrome 12"	"Bardet-Biedl syndrome"
"DOID:0110135"	"Bardet-Biedl syndrome 13"	"Bardet-Biedl syndrome"
"DOID:0110136"	"Bardet-Biedl syndrome 14"	"Bardet-Biedl syndrome"
"DOID:0110137"	"Bardet-Biedl syndrome 15"	"Bardet-Biedl syndrome"
"DOID:0110138"	"Bardet-Biedl syndrome 16"	"Bardet-Biedl syndrome"
"DOID:0110139"	"Bardet-Biedl syndrome 17"	"Bardet-Biedl syndrome"
"DOID:0110140"	"Bardet-Biedl syndrome 18"	"Bardet-Biedl syndrome"
"DOID:0110141"	"Bardet-Biedl syndrome 19"	"Bardet-Biedl syndrome"
"DOID:0110124"	"Bardet-Biedl syndrome 2"	"Bardet-Biedl syndrome"
"DOID:0081009"	"Bardet-Biedl syndrome 20"	"Bardet-Biedl syndrome"
"DOID:0081010"	"Bardet-Biedl syndrome 21"	"Bardet-Biedl syndrome"
"DOID:0081011"	"Bardet-Biedl syndrome 22"	"Bardet-Biedl syndrome"
"DOID:0110125"	"Bardet-Biedl syndrome 3"	"Bardet-Biedl syndrome"
"DOID:0110126"	"Bardet-Biedl syndrome 4"	"Bardet-Biedl syndrome"
"DOID:0110127"	"Bardet-Biedl syndrome 5"	"Bardet-Biedl syndrome"
"DOID:0110128"	"Bardet-Biedl syndrome 6"	"Bardet-Biedl syndrome"
"DOID:0110129"	"Bardet-Biedl syndrome 7"	"Bardet-Biedl syndrome"
"DOID:0110130"	"Bardet-Biedl syndrome 8"	"Bardet-Biedl syndrome"
"DOID:0110131"	"Bardet-Biedl syndrome 9"	"Bardet-Biedl syndrome"
"DOID:0050517"	"Barmah Forest virus disease"	"viral infectious disease"
"DOID:6692"	"Barre-Lieou syndrome"	"syndrome"
"DOID:7941"	"Barrett's adenocarcinoma"	"esophagus adenocarcinoma"
"DOID:9206"	"Barrett's esophagus"	"esophageal disease"
"DOID:0050658"	"Bart-Pumphrey syndrome"	"syndrome"
"DOID:0050476"	"Barth syndrome"	"3-methylglutaconic aciduria"
"DOID:851"	"Bartholin's duct cyst"	"female reproductive system disease"
"DOID:6316"	"Bartholin's gland adenocarcinoma"	"Bartholin's gland carcinoma"
"DOID:4879"	"Bartholin's gland adenoid cystic carcinoma"	"Bartholin's gland carcinoma"
"DOID:5382"	"Bartholin's gland adenoma"	"Bartholin's gland benign neoplasm"
"DOID:6518"	"Bartholin's gland adenomyoma"	"Bartholin's gland benign neoplasm"
"DOID:5630"	"Bartholin's gland adenosquamous carcinoma"	"Bartholin's gland carcinoma"
"DOID:2068"	"Bartholin's gland benign neoplasm"	"vestibular gland benign neoplasm"
"DOID:60003"	"Bartholin's gland cancer"	"vulva cancer"
"DOID:3999"	"Bartholin's gland carcinoma"	"vulva carcinoma"
"DOID:60002"	"Bartholin's gland disease"	"female reproductive system disease"
"DOID:7140"	"Bartholin's gland small cell carcinoma"	"Bartholin's gland carcinoma"
"DOID:6961"	"Bartholin's gland squamous cell carcinoma"	"Bartholin's gland carcinoma"
"DOID:3998"	"Bartholin's gland transitional cell carcinoma"	"Bartholin's gland carcinoma"
"DOID:445"	"Bartter disease"	"renal tubular transport disease"
"DOID:0110142"	"Bartter disease type 1"	"Bartter disease"
"DOID:0110143"	"Bartter disease type 2"	"Bartter disease"
"DOID:0110144"	"Bartter disease type 3"	"Bartter disease"
"DOID:0110145"	"Bartter disease type 4a"	"Bartter disease"
"DOID:0110146"	"Bartter disease type 4b"	"Bartter disease"
"DOID:0110147"	"Bartter disease type 5"	"Bartter disease"
"DOID:0111838"	"Basilicata-Akhtar syndrome"	"syndromic X-linked intellectual disability"
"DOID:0050660"	"Beare-Stevenson cutis gyrata syndrome"	"syndrome"
"DOID:0081335"	"Becker disease"	"myotonia congenita"
"DOID:9883"	"Becker muscular dystrophy"	"muscular dystrophy"
"DOID:5572"	"Beckwith-Wiedemann syndrome"	"syndrome"
"DOID:9249"	"Beemer-Langer syndrome"	"syndrome"
"DOID:13241"	"Behcet's disease"	"vasculitis"
"DOID:1670"	"Behcet's syndrome arthropathy"	"arthropathy"
"DOID:0111580"	"Behr syndrome"	"nervous system disease"
"DOID:12506"	"Bell's palsy"	"facial paralysis"
"DOID:2217"	"Bernard-Soulier syndrome"	"blood coagulation disease"
"DOID:0111059"	"Bernard-Soulier syndrome type A2"	"Bernard-Soulier syndrome"
"DOID:0050663"	"Bethlem myopathy"	"congenital muscular dystrophy"
"DOID:0111367"	"Beukes hip dysplasia"	"osteochondrodysplasia"
"DOID:0050664"	"Bietti crystalline corneoretinal dystrophy"	"retinal degeneration"
"DOID:0080311"	"Billuart-type X-linked syndromic intellectual developmental disorder"	"syndromic X-linked intellectual disability"
"DOID:14683"	"Binder syndrome"	"nasal cavity disease"
"DOID:0050675"	"Birk-Barel syndrome"	"syndrome"
"DOID:0050676"	"Birt-Hogg-Dube syndrome"	"skin disease"
"DOID:0050677"	"Bjornstad syndrome"	"syndrome"
"DOID:0050678"	"Blau syndrome"	"syndrome"
"DOID:12164"	"Blessig's cysts"	"peripheral retinal degeneration"
"DOID:12305"	"Bloch-Sulzberger syndrome"	"pigmentation disease"
"DOID:2717"	"Bloom syndrome"	"syndrome"
"DOID:14798"	"Blount's disease"	"osteochondrodysplasia"
"DOID:0050195"	"Bolivian hemorrhagic fever"	"viral infectious disease"
"DOID:0050680"	"Boomerang dysplasia"	"osteochondrodysplasia"
"DOID:11750"	"Bordetella parapertussis whooping cough"	"pertussis"
"DOID:0050681"	"Borjeson-Forssman-Lehmann syndrome"	"syndromic X-linked intellectual disability"
"DOID:0070527"	"Borrelia miyamotoi disease"	"primary bacterial infectious disease"
"DOID:7039"	"Borst-Jadassohn intraepidermal carcinoma"	"skin carcinoma"
"DOID:0112226"	"Bosch-Boonstra-Schaaf optic atrophy syndrome"	"syndrome"
"DOID:0050683"	"Bothnia retinal dystrophy"	"fundus dystrophy"
"DOID:0111707"	"Bothnian type palmoplantar keratoderma"	"nonepidermolytic palmoplantar keratoderma"
"DOID:0111265"	"Boucher-Neuhauser syndrome"	"syndrome"
"DOID:0050684"	"Bowen-Conradi syndrome"	"syndrome"
"DOID:11552"	"Bowman's membrane folds or rupture"	"corneal disease"
"DOID:0050197"	"Brazilian hemorrhagic fever"	"viral infectious disease"
"DOID:11254"	"Brill-Zinsser disease"	"epidemic typhus"
"DOID:0050692"	"Brody myopathy"	"neuromuscular disease"
"DOID:0050693"	"Brooke-Spiegler syndrome"	"skin disease"
"DOID:10235"	"Brown's tendon sheath syndrome"	"mechanical strabismus"
"DOID:606"	"Brown-Sequard syndrome"	"paraplegia"
"DOID:0050694"	"Brown-Vialetto-Van Laere syndrome"	"syndrome"
"DOID:0080785"	"Brown-Vialetto-Van Laere syndrome 1"	"Brown-Vialetto-Van Laere syndrome"
"DOID:0080786"	"Brown-Vialetto-Van Laere syndrome 2"	"Brown-Vialetto-Van Laere syndrome"
"DOID:14457"	"Brucella abortus brucellosis"	"brucellosis"
"DOID:14019"	"Brucella canis brucellosis"	"brucellosis"
"DOID:14456"	"Brucella melitensis brucellosis"	"brucellosis"
"DOID:11076"	"Brucella suis brucellosis"	"brucellosis"
"DOID:0060231"	"Bruck syndrome"	"syndrome"
"DOID:0050451"	"Brugada syndrome"	"heart conduction disease"
"DOID:0110218"	"Brugada syndrome 1"	"Brugada syndrome"
"DOID:0110219"	"Brugada syndrome 2"	"Brugada syndrome"
"DOID:0110220"	"Brugada syndrome 3"	"Brugada syndrome"
"DOID:0110221"	"Brugada syndrome 4"	"Brugada syndrome"
"DOID:0110222"	"Brugada syndrome 5"	"Brugada syndrome"
"DOID:0110223"	"Brugada syndrome 6"	"Brugada syndrome"
"DOID:0110224"	"Brugada syndrome 7"	"Brugada syndrome"
"DOID:0110225"	"Brugada syndrome 8"	"Brugada syndrome"
"DOID:0110226"	"Brugada syndrome 9"	"Brugada syndrome"
"DOID:0060693"	"Brunner Syndrome"	"amino acid metabolic disorder"
"DOID:0051010"	"Bryant-Li-Bhoj neurodevelopmental syndrome"	"autosomal dominant intellectual developmental disorder"
"DOID:0051011"	"Bryant-Li-Bhoj neurodevelopmental syndrome 1"	"Bryant-Li-Bhoj neurodevelopmental syndrome"
"DOID:0051012"	"Bryant-Li-Bhoj neurodevelopmental syndrome 2"	"Bryant-Li-Bhoj neurodevelopmental syndrome"
"DOID:11512"	"Budd-Chiari syndrome"	"hepatic vascular disease"
"DOID:8584"	"Burkitt lymphoma"	"mature B-cell neoplasm"
"DOID:0080695"	"Burn-McKeown syndrome"	"syndrome"
"DOID:0050456"	"Buruli ulcer disease"	"primary bacterial infectious disease"
"DOID:0111536"	"Buschke-Ollendorff syndrome"	"syndrome"
"DOID:0111581"	"C syndrome"	"syndrome"
"DOID:3199"	"C-P angle neurinoma"	"cerebellopontine angle tumor"
"DOID:0060002"	"C1 inhibitor deficiency"	"complement deficiency"
"DOID:13945"	"CADASIL"	"leukodystrophy"
"DOID:0111035"	"CADASIL 1"	"CADASIL"
"DOID:0111036"	"CADASIL 2"	"CADASIL"
"DOID:0080205"	"CAKUT"	"urinary system disease"
"DOID:0080206"	"CAKUT1"	"CAKUT"
"DOID:0080207"	"CAKUT2"	"CAKUT"
"DOID:0060016"	"CD3delta deficiency"	"severe combined immunodeficiency"
"DOID:0060017"	"CD3epsilon deficiency"	"severe combined immunodeficiency"
"DOID:0060018"	"CD3gamma deficiency"	"severe combined immunodeficiency"
"DOID:0060007"	"CD3zeta deficiency"	"severe combined immunodeficiency"
"DOID:0060022"	"CD40 ligand deficiency"	"combined T cell and B cell immunodeficiency"
"DOID:0060014"	"CD45 deficiency"	"severe combined immunodeficiency"
"DOID:0060337"	"CEDNIK syndrome"	"syndrome"
"DOID:0050834"	"CHARGE syndrome"	"syndrome"
"DOID:0111822"	"CHILD syndrome"	"syndrome"
"DOID:0112152"	"CHIME syndrome"	"syndrome"
"DOID:0081250"	"CIC-rearranged sarcoma"	"EWSR1-negative small round cell tumor"
"DOID:0090029"	"CINCA Syndrome"	"autoimmune disease"
"DOID:0111898"	"CK syndrome"	"lipid metabolism disorder"
"DOID:0080351"	"CLOVES syndrome"	"syndrome"
"DOID:0080906"	"CNS neuroblastoma with FOXR2 activation"	"central nervous system neuroblastoma"
"DOID:0111589"	"COACH syndrome"	"syndrome"
"DOID:0111274"	"CODAS syndrome"	"syndrome"
"DOID:0080600"	"COVID-19"	"Coronavirus infectious disease"
"DOID:0081377"	"COX deficiency, benign infantile mitochondrial myopathy"	"cytochrome-c oxidase deficiency disease"
"DOID:0050713"	"COX deficiency, infantile mitochondrial myopathy"	"cytochrome-c oxidase deficiency disease"
"DOID:0060218"	"CREST syndrome"	"syndrome"
"DOID:0070343"	"CSF1R-related brain malformation and osteopetrosis"	"neuroaxonal dystrophy"
"DOID:0070027"	"CST3-related cerebral amyloid angiopathy"	"cerebral amyloid angiopathy"
"DOID:4257"	"Caffey disease"	"bone inflammation disease"
"DOID:4997"	"Camurati-Engelmann disease"	"osteosclerosis"
"DOID:3613"	"Canavan disease"	"leukodystrophy"
"DOID:6680"	"Capgras syndrome"	"delusional disorder"
"DOID:10326"	"Caplan's syndrome"	"pneumoconiosis"
"DOID:0080194"	"Carey-Fineman-Ziter syndrome"	"syndrome"
"DOID:0061115"	"Carey-Fineman-Ziter syndrome 1"	"Carey-Fineman-Ziter syndrome"
"DOID:0061116"	"Carey-Fineman-Ziter syndrome 2"	"Carey-Fineman-Ziter syndrome"
"DOID:0050471"	"Carney complex"	"syndrome"
"DOID:0080533"	"Carney-Stratakis syndrome"	"syndrome"
"DOID:0050876"	"Caroli disease"	"bile duct disease"
"DOID:0081394"	"Caroli syndrome"	"syndrome"
"DOID:0060234"	"Carpenter syndrome"	"acrocephalosyndactylia"
"DOID:0061098"	"Carpenter syndrome 1"	"Carpenter syndrome"
"DOID:0061099"	"Carpenter syndrome 2"	"Carpenter syndrome"
"DOID:0050398"	"Carrion's disease"	"bartonellosis"
"DOID:0090128"	"Carvajal syndrome"	"Naxos disease"
"DOID:0111157"	"Castleman disease"	"lymphoproliferative syndrome"
"DOID:0081122"	"Catel Manzke syndrome"	"bone disease"
"DOID:11577"	"Cauda equina syndrome"	"peripheral nervous system disease"
"DOID:0060694"	"Cayman type cerebellar ataxia"	"autosomal recessive cerebellar ataxia"
"DOID:0090015"	"Cenani-Lenz syndactyly syndrome"	"dysostosis"
"DOID:12140"	"Chagas disease"	"trypanosomiasis"
"DOID:0050729"	"Chanarin-Dorfman syndrome"	"lipid storage disease"
"DOID:11554"	"Chandler syndrome"	"corneal dystrophy"
