disease_id	disease_label	symptom_id	symptom_label
DOID:0050150	Pontiac fever	SYMP:0000504	headache
DOID:0050150	Pontiac fever	SYMP:0000613	fever
DOID:0050152	aspiration pneumonia	SYMP:0000493	dysphagia
DOID:0050152	aspiration pneumonia	SYMP:0000603	tachypnea
DOID:0050157	cryptogenic organizing pneumonia	SYMP:0000061	inflammation
DOID:0050157	cryptogenic organizing pneumonia	SYMP:0000178	weight loss
DOID:0050157	cryptogenic organizing pneumonia	SYMP:0000614	cough
DOID:0050159	lymphoid interstitial pneumonia	SYMP:0000614	cough
DOID:0050160	inhalation anthrax	SYMP:0000187	tiredness
DOID:0050160	inhalation anthrax	SYMP:0000614	cough
DOID:0050160	inhalation anthrax	SYMP:0000879	low-grade fever
DOID:0050160	inhalation anthrax	SYMP:0019153	dyspnea
DOID:0050160	inhalation anthrax	SYMP:0020031	chest discomfort
DOID:0050160	inhalation anthrax	SYMP:0020055	pharynx inflammation
DOID:0050174	Kunjin encephalitis	SYMP:0000016	confusion
DOID:0050174	Kunjin encephalitis	SYMP:0000075	lethargy
DOID:0050174	Kunjin encephalitis	SYMP:0000504	headache
DOID:0050174	Kunjin encephalitis	SYMP:0000613	fever
DOID:0050175	tick-borne encephalitis	SYMP:0000016	confusion
DOID:0050175	tick-borne encephalitis	SYMP:0000024	drowsiness
DOID:0050175	tick-borne encephalitis	SYMP:0000030	paralysis
DOID:0050175	tick-borne encephalitis	SYMP:0000765	sensory disturbance
DOID:0050179	Powassan encephalitis	SYMP:0000016	confusion
DOID:0050179	Powassan encephalitis	SYMP:0000024	drowsiness
DOID:0050179	Powassan encephalitis	SYMP:0000030	paralysis
DOID:0050179	Powassan encephalitis	SYMP:0000124	seizure
DOID:0050179	Powassan encephalitis	SYMP:0000162	tremor
DOID:0050179	Powassan encephalitis	SYMP:0000383	stiff neck
DOID:0050179	Powassan encephalitis	SYMP:0000504	headache
DOID:0050179	Powassan encephalitis	SYMP:0000605	coma
DOID:0050179	Powassan encephalitis	SYMP:0000613	fever
DOID:0050179	Powassan encephalitis	SYMP:0019145	vomiting
DOID:0050185	erythema multiforme	SYMP:0000900	allergic reaction
DOID:0050192	Nipah virus encephalitis	SYMP:0000023	disorientation
DOID:0050192	Nipah virus encephalitis	SYMP:0000024	drowsiness
DOID:0050192	Nipah virus encephalitis	SYMP:0000482	alteration of consciousness
DOID:0050192	Nipah virus encephalitis	SYMP:0000605	coma
DOID:0050192	Nipah virus encephalitis	SYMP:0000610	dizziness
DOID:0050194	Argentine hemorrhagic fever	SYMP:0000114	thrombocytopenia
DOID:0050194	Argentine hemorrhagic fever	SYMP:0000613	fever
DOID:0050194	Argentine hemorrhagic fever	SYMP:0019176	malaise
DOID:0050194	Argentine hemorrhagic fever	SYMP:0019177	fatigue
DOID:0050194	Argentine hemorrhagic fever	SYMP:0020060	low white blood cell count
DOID:0050195	Bolivian hemorrhagic fever	SYMP:0000007	bleeding
DOID:0050195	Bolivian hemorrhagic fever	SYMP:0000064	joint pain
DOID:0050195	Bolivian hemorrhagic fever	SYMP:0000504	headache
DOID:0050195	Bolivian hemorrhagic fever	SYMP:0000613	fever
DOID:0050195	Bolivian hemorrhagic fever	SYMP:0000739	bronchopulmonary bleeding
DOID:0050195	Bolivian hemorrhagic fever	SYMP:0000867	gastrointestinal bleeding
DOID:0050195	Bolivian hemorrhagic fever	SYMP:0019177	fatigue
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0000007	bleeding
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0000177	weakness
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0000323	melena
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0000448	epistaxis
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0000458	nausea
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0000460	hepatomegaly
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0000504	headache
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0000523	anorexia
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0000596	convulsion
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0000613	fever
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0000742	gum bleeding
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0000756	menorrhagia
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0019145	vomiting
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0019147	hematemesis
DOID:0050196	Venezuelan hemorrhagic fever	SYMP:0020055	pharynx inflammation
DOID:0050197	Brazilian hemorrhagic fever	SYMP:0000007	bleeding
DOID:0050197	Brazilian hemorrhagic fever	SYMP:0000446	bloodshot eye
DOID:0050197	Brazilian hemorrhagic fever	SYMP:0000610	dizziness
DOID:0050197	Brazilian hemorrhagic fever	SYMP:0000613	fever
DOID:0050197	Brazilian hemorrhagic fever	SYMP:0019177	fatigue
DOID:0050198	Chapare hemorrhagic fever	SYMP:0000007	bleeding
DOID:0050198	Chapare hemorrhagic fever	SYMP:0000064	joint pain
DOID:0050198	Chapare hemorrhagic fever	SYMP:0000450	shock
DOID:0050198	Chapare hemorrhagic fever	SYMP:0000504	headache
DOID:0050198	Chapare hemorrhagic fever	SYMP:0019145	vomiting
DOID:0050198	Chapare hemorrhagic fever	SYMP:0019161	muscle pain
DOID:0050199	Whitewater Arroyo hemorrhagic fever	SYMP:0000041	hemorrhage
DOID:0050199	Whitewater Arroyo hemorrhagic fever	SYMP:0000504	headache
DOID:0050199	Whitewater Arroyo hemorrhagic fever	SYMP:0000613	fever
DOID:0050200	Korean hemorrhagic fever	SYMP:0000006	backache
DOID:0050200	Korean hemorrhagic fever	SYMP:0000059	hypotension
DOID:0050200	Korean hemorrhagic fever	SYMP:0000446	bloodshot eye
DOID:0050200	Korean hemorrhagic fever	SYMP:0000450	shock
DOID:0050200	Korean hemorrhagic fever	SYMP:0000457	abdominal pain
DOID:0050200	Korean hemorrhagic fever	SYMP:0000458	nausea
DOID:0050200	Korean hemorrhagic fever	SYMP:0000487	rash
DOID:0050200	Korean hemorrhagic fever	SYMP:0000504	headache
DOID:0050200	Korean hemorrhagic fever	SYMP:0000511	flushing
DOID:0050200	Korean hemorrhagic fever	SYMP:0000613	fever
DOID:0050200	Korean hemorrhagic fever	SYMP:0000692	low blood pressure
DOID:0050200	Korean hemorrhagic fever	SYMP:0019174	chills
DOID:0050201	nephropathia epidemica	SYMP:0000006	backache
DOID:0050201	nephropathia epidemica	SYMP:0000041	hemorrhage
DOID:0050201	nephropathia epidemica	SYMP:0000457	abdominal pain
DOID:0050201	nephropathia epidemica	SYMP:0000458	nausea
DOID:0050201	nephropathia epidemica	SYMP:0000504	headache
DOID:0050201	nephropathia epidemica	SYMP:0000731	renal failure
DOID:0050201	nephropathia epidemica	SYMP:0019145	vomiting
DOID:0050202	lujo hemorrhagic fever	SYMP:0000007	bleeding
DOID:0050204	Epstein-Barr virus hepatitis	SYMP:0000125	liver inflammation
DOID:0050204	Epstein-Barr virus hepatitis	SYMP:0000457	abdominal pain
DOID:0050204	Epstein-Barr virus hepatitis	SYMP:0000458	nausea
DOID:0050204	Epstein-Barr virus hepatitis	SYMP:0000504	headache
DOID:0050204	Epstein-Barr virus hepatitis	SYMP:0000539	jaundice
DOID:0050204	Epstein-Barr virus hepatitis	SYMP:0000613	fever
DOID:0050204	Epstein-Barr virus hepatitis	SYMP:0019177	fatigue
DOID:0050211	swine influenza	SYMP:0000075	lethargy
DOID:0050211	swine influenza	SYMP:0000372	rhinorrhea
DOID:0050211	swine influenza	SYMP:0000458	nausea
DOID:0050211	swine influenza	SYMP:0000570	diarrhea
DOID:0050211	swine influenza	SYMP:0000613	fever
DOID:0050211	swine influenza	SYMP:0000614	cough
DOID:0050211	swine influenza	SYMP:0019145	vomiting
DOID:0050211	swine influenza	SYMP:0020055	pharynx inflammation
DOID:0050242	primary amebic meningoencephalitis	SYMP:0000021	delirium
DOID:0050242	primary amebic meningoencephalitis	SYMP:0000124	seizure
DOID:0050242	primary amebic meningoencephalitis	SYMP:0000458	nausea
DOID:0050242	primary amebic meningoencephalitis	SYMP:0000504	headache
DOID:0050242	primary amebic meningoencephalitis	SYMP:0000605	coma
DOID:0050242	primary amebic meningoencephalitis	SYMP:0019145	vomiting
DOID:0050246	granulomatous amebic encephalitis	SYMP:0000504	headache
DOID:0050246	granulomatous amebic encephalitis	SYMP:0000682	altered mental status
DOID:0050251	coenurosis	SYMP:0019145	vomiting
DOID:0050253	mesocestoidiasis	SYMP:0000188	abdominal discomfort
DOID:0050253	mesocestoidiasis	SYMP:0000458	nausea
DOID:0050253	mesocestoidiasis	SYMP:0000570	diarrhea
DOID:0050253	mesocestoidiasis	SYMP:0019145	vomiting
DOID:0050254	acanthocephaliasis	SYMP:0000002	abdominal distention
DOID:0050254	acanthocephaliasis	SYMP:0000178	weight loss
DOID:0050254	acanthocephaliasis	SYMP:0000229	bloody stool
DOID:0050254	acanthocephaliasis	SYMP:0000245	decreased appetite
DOID:0050254	acanthocephaliasis	SYMP:0000457	abdominal pain
DOID:0050254	acanthocephaliasis	SYMP:0000458	nausea
DOID:0050254	acanthocephaliasis	SYMP:0000570	diarrhea
DOID:0050254	acanthocephaliasis	SYMP:0000613	fever
DOID:0050254	acanthocephaliasis	SYMP:0019145	vomiting
DOID:0050254	acanthocephaliasis	SYMP:0019180	constipation
DOID:0050259	baylisascariasis	SYMP:0000008	blindness
DOID:0050266	tungiasis	SYMP:0000092	skin lesion
DOID:0050266	tungiasis	SYMP:0000432	itching
DOID:0050269	Trichomonas vaginalis trichomoniasis	SYMP:0000504	headache
DOID:0050288	penicilliosis	SYMP:0000047	hepatosplenomegaly
DOID:0050288	penicilliosis	SYMP:0000092	skin lesion
DOID:0050288	penicilliosis	SYMP:0000178	weight loss
DOID:0050288	penicilliosis	SYMP:0000613	fever
DOID:0050289	fusariosis	SYMP:0000132	necrosis
DOID:0050308	Alkhurma hemorrhagic fever	SYMP:0000064	joint pain
DOID:0050308	Alkhurma hemorrhagic fever	SYMP:0000114	thrombocytopenia
DOID:0050308	Alkhurma hemorrhagic fever	SYMP:0000504	headache
DOID:0050308	Alkhurma hemorrhagic fever	SYMP:0019145	vomiting
DOID:0050308	Alkhurma hemorrhagic fever	SYMP:0019161	muscle pain
DOID:0050336	hypophosphatemia	SYMP:0020023	bone pain
DOID:0050352	foodborne botulism	SYMP:0000258	double vision
DOID:0050352	foodborne botulism	SYMP:0000414	dysarthria
DOID:0050352	foodborne botulism	SYMP:0000493	dysphagia
DOID:0050352	foodborne botulism	SYMP:0000704	dysphonia
DOID:0050352	foodborne botulism	SYMP:0020047	descending muscle paralysis
DOID:0050354	infant botulism	SYMP:0000075	lethargy
DOID:0050354	infant botulism	SYMP:0000094	muscle weakness
DOID:0050354	infant botulism	SYMP:0000369	ptosis
DOID:0050354	infant botulism	SYMP:0000493	dysphagia
DOID:0050354	infant botulism	SYMP:0019180	constipation
DOID:0050383	typhoidal tularemia	SYMP:0000178	weight loss
DOID:0050383	typhoidal tularemia	SYMP:0000613	fever
DOID:0050383	typhoidal tularemia	SYMP:0019174	chills
DOID:0050383	typhoidal tularemia	SYMP:0019176	malaise
DOID:0050433	fatal familial insomnia	SYMP:0000607	hallucination
DOID:0050434	Andersen-Tawil syndrome	SYMP:0000287	arrhythmia
DOID:0050444	infantile Refsum disease	SYMP:0000047	hepatosplenomegaly
DOID:0050456	Buruli ulcer disease	SYMP:0000092	skin lesion
DOID:0050456	Buruli ulcer disease	SYMP:0000132	necrosis
DOID:0050473	Alstrom syndrome	SYMP:0000008	blindness
DOID:0050474	Netherton syndrome	SYMP:0000061	inflammation
DOID:0050480	epidemic typhus	SYMP:0000021	delirium
DOID:0050480	epidemic typhus	SYMP:0000210	photophobia
DOID:0050480	epidemic typhus	SYMP:0000389	stupor
DOID:0050480	epidemic typhus	SYMP:0000487	rash
DOID:0050480	epidemic typhus	SYMP:0000614	cough
DOID:0050480	epidemic typhus	SYMP:0000882	high fever
DOID:0050480	epidemic typhus	SYMP:0019174	chills
DOID:0050481	endemic typhus	SYMP:0000458	nausea
DOID:0050481	endemic typhus	SYMP:0000487	rash
DOID:0050481	endemic typhus	SYMP:0000504	headache
DOID:0050481	endemic typhus	SYMP:0000613	fever
DOID:0050481	endemic typhus	SYMP:0000614	cough
DOID:0050481	endemic typhus	SYMP:0019145	vomiting
DOID:0050481	endemic typhus	SYMP:0019174	chills
DOID:0050484	aneruptive fever	SYMP:0000504	headache
DOID:0050484	aneruptive fever	SYMP:0000613	fever
DOID:0050485	sennetsu fever	SYMP:0000006	backache
DOID:0050485	sennetsu fever	SYMP:0000047	hepatosplenomegaly
DOID:0050485	sennetsu fever	SYMP:0000504	headache
DOID:0050485	sennetsu fever	SYMP:0000521	enlargement of lymph nodes
DOID:0050485	sennetsu fever	SYMP:0000523	anorexia
DOID:0050485	sennetsu fever	SYMP:0000613	fever
DOID:0050485	sennetsu fever	SYMP:0019142	lymphadenopathy
DOID:0050485	sennetsu fever	SYMP:0019174	chills
DOID:0050485	sennetsu fever	SYMP:0019176	malaise
DOID:0050485	sennetsu fever	SYMP:0019177	fatigue
DOID:0050486	exanthem	SYMP:0000487	rash
DOID:0050488	early congenital syphilis	SYMP:0000047	hepatosplenomegaly
DOID:0050488	early congenital syphilis	SYMP:0000051	hydrocephalus
DOID:0050488	early congenital syphilis	SYMP:0000092	skin lesion
DOID:0050488	early congenital syphilis	SYMP:0000124	seizure
DOID:0050488	early congenital syphilis	SYMP:0000465	failure to thrive
DOID:0050488	early congenital syphilis	SYMP:0000521	enlargement of lymph nodes
DOID:0050488	early congenital syphilis	SYMP:0019142	lymphadenopathy
DOID:0050488	early congenital syphilis	SYMP:0019173	meningitis
DOID:0050490	parenchymatous neurosyphilis	SYMP:0000075	lethargy
DOID:0050490	parenchymatous neurosyphilis	SYMP:0000504	headache
DOID:0050490	parenchymatous neurosyphilis	SYMP:0000571	insomnia
DOID:0050490	parenchymatous neurosyphilis	SYMP:0000654	irritability
DOID:0050490	parenchymatous neurosyphilis	SYMP:0019177	fatigue
DOID:0050490	parenchymatous neurosyphilis	SYMP:0020029	concentration difficulty
DOID:0050491	meningovascular neurosyphilis	SYMP:0000030	paralysis
DOID:0050491	meningovascular neurosyphilis	SYMP:0000094	muscle weakness
DOID:0050491	meningovascular neurosyphilis	SYMP:0000383	stiff neck
DOID:0050491	meningovascular neurosyphilis	SYMP:0000492	urinary incontinence
DOID:0050491	meningovascular neurosyphilis	SYMP:0000504	headache
DOID:0050491	meningovascular neurosyphilis	SYMP:0000543	memory loss
DOID:0050491	meningovascular neurosyphilis	SYMP:0000571	insomnia
DOID:0050491	meningovascular neurosyphilis	SYMP:0000610	dizziness
DOID:0050491	meningovascular neurosyphilis	SYMP:0000719	memory impairment
DOID:0050495	exanthema subitum	SYMP:0000882	high fever
DOID:0050513	spinal polio	SYMP:0000711	hind limb paralysis
DOID:0050513	spinal polio	SYMP:0000868	breathing problems
DOID:0050514	bulbospinal polio	SYMP:0000030	paralysis
DOID:0050514	bulbospinal polio	SYMP:0000493	dysphagia
DOID:0050514	bulbospinal polio	SYMP:0000711	hind limb paralysis
DOID:0050514	bulbospinal polio	SYMP:0000868	breathing problems
DOID:0050515	paralytic poliomyelitis	SYMP:0000285	flaccid paralysis
DOID:0050516	O'nyong'nyong fever	SYMP:0000064	joint pain
DOID:0050516	O'nyong'nyong fever	SYMP:0000487	rash
DOID:0050516	O'nyong'nyong fever	SYMP:0000613	fever
DOID:0050516	O'nyong'nyong fever	SYMP:0019155	lymphadenitis
DOID:0050517	Barmah Forest virus disease	SYMP:0000064	joint pain
DOID:0050517	Barmah Forest virus disease	SYMP:0000487	rash
DOID:0050517	Barmah Forest virus disease	SYMP:0000613	fever
DOID:0050518	Ross River fever	SYMP:0000064	joint pain
DOID:0050518	Ross River fever	SYMP:0000487	rash
DOID:0050518	Ross River fever	SYMP:0000613	fever
DOID:0050521	Oropouche fever	SYMP:0000064	joint pain
DOID:0050521	Oropouche fever	SYMP:0000504	headache
DOID:0050521	Oropouche fever	SYMP:0000523	anorexia
DOID:0050521	Oropouche fever	SYMP:0000613	fever
DOID:0050521	Oropouche fever	SYMP:0019145	vomiting
DOID:0050521	Oropouche fever	SYMP:0019161	muscle pain
DOID:0050521	Oropouche fever	SYMP:0019174	chills
DOID:0050522	Balkan hemorrhagic fever	SYMP:0000367	proteinuria
DOID:0050522	Balkan hemorrhagic fever	SYMP:0000504	headache
DOID:0050522	Balkan hemorrhagic fever	SYMP:0000511	flushing
DOID:0050522	Balkan hemorrhagic fever	SYMP:0000613	fever
DOID:0050522	Balkan hemorrhagic fever	SYMP:0000731	renal failure
DOID:0050522	Balkan hemorrhagic fever	SYMP:0000760	petechiae
DOID:0050522	Balkan hemorrhagic fever	SYMP:0019161	muscle pain
DOID:0050526	Gamstorp-Wohlfart syndrome	SYMP:0000363	progressive weakness
DOID:0050529	adult spinal muscular atrophy	SYMP:0000094	muscle weakness
DOID:0050529	adult spinal muscular atrophy	SYMP:0000363	progressive weakness
DOID:0050530	intermediate spinal muscular atrophy	SYMP:0000094	muscle weakness
DOID:0050530	intermediate spinal muscular atrophy	SYMP:0000363	progressive weakness
DOID:0050535	exudative vitreoretinopathy	SYMP:0000041	hemorrhage
DOID:0050549	Saldino-Noonan syndrome	SYMP:0000292	heart failure
DOID:0050557	congenital muscular dystrophy	SYMP:0000094	muscle weakness
DOID:0050557	congenital muscular dystrophy	SYMP:0000363	progressive weakness
DOID:0050558	Ullrich congenital muscular dystrophy	SYMP:0000094	muscle weakness
DOID:0050559	Fukuyama congenital muscular dystrophy	SYMP:0000094	muscle weakness
DOID:0050579	glycogen storage disease XV	SYMP:0000094	muscle weakness
DOID:0050588	muscular dystrophy-dystroglycanopathy type B1	SYMP:0000094	muscle weakness
DOID:0050597	intestinal schistosomiasis	SYMP:0000047	hepatosplenomegaly
DOID:0050597	intestinal schistosomiasis	SYMP:0000421	hematochezia
DOID:0050597	intestinal schistosomiasis	SYMP:0000457	abdominal pain
DOID:0050597	intestinal schistosomiasis	SYMP:0000570	diarrhea
DOID:0050597	intestinal schistosomiasis	SYMP:0000613	fever
DOID:0050597	intestinal schistosomiasis	SYMP:0000614	cough
DOID:0050597	intestinal schistosomiasis	SYMP:0000639	rectorrhagia
DOID:0050637	Finnish type amyloidosis	SYMP:0000283	facial paralysis
DOID:0050650	familial atrial fibrillation	SYMP:0000226	atrial fibrillation
DOID:0050659	biotin-responsive basal ganglia disease	SYMP:0000005	ataxia
DOID:0050659	biotin-responsive basal ganglia disease	SYMP:0000016	confusion
DOID:0050659	biotin-responsive basal ganglia disease	SYMP:0000124	seizure
DOID:0050659	biotin-responsive basal ganglia disease	SYMP:0000493	dysphagia
DOID:0050710	3-methylcrotonyl-CoA carboxylase deficiency	SYMP:0000075	lethargy
DOID:0050710	3-methylcrotonyl-CoA carboxylase deficiency	SYMP:0000355	poor feeding
DOID:0050710	3-methylcrotonyl-CoA carboxylase deficiency	SYMP:0000570	diarrhea
DOID:0050710	3-methylcrotonyl-CoA carboxylase deficiency	SYMP:0019145	vomiting
DOID:0050725	tyrosinemia type II	SYMP:0000314	keratitis
DOID:0050759	myotonic dystrophy type 2	SYMP:0000094	muscle weakness
DOID:0050760	X-linked myopathy with excessive autophagy	SYMP:0000094	muscle weakness
DOID:0050760	X-linked myopathy with excessive autophagy	SYMP:0000363	progressive weakness
DOID:0050771	pheochromocytoma	SYMP:0020064	high blood pressure
DOID:0050774	rapadilino syndrome	SYMP:0000570	diarrhea
DOID:0050793	short QT syndrome	SYMP:0000287	arrhythmia
DOID:0050796	achalasia microcephaly syndrome	SYMP:0019145	vomiting
DOID:0050827	rheumatic heart disease	SYMP:0000061	inflammation
DOID:0050859	hemorrhagic cystitis	SYMP:0000041	hemorrhage
DOID:0050862	pyometritis	SYMP:0000061	inflammation
DOID:0050880	Koolen de Vries syndrome	SYMP:0000094	muscle weakness
DOID:0050881	inclusion body myopathy with Paget disease of bone and frontotemporal dementia	SYMP:0000094	muscle weakness
DOID:0050881	inclusion body myopathy with Paget disease of bone and frontotemporal dementia	SYMP:0000363	progressive weakness
DOID:0050886	Troyer syndrome	SYMP:0000094	muscle weakness
DOID:0050886	Troyer syndrome	SYMP:0000363	progressive weakness
DOID:0050947	hereditary hypophosphatemic rickets with hypercalciuria	SYMP:0000094	muscle weakness
DOID:0050977	spinocerebellar ataxia type 28	SYMP:0000369	ptosis
DOID:0050995	episodic ataxia type 7	SYMP:0000094	muscle weakness
DOID:0050996	episodic ataxia type 8	SYMP:0000094	muscle weakness
DOID:0060000	infective endocarditis	SYMP:0000061	inflammation
DOID:0060010	Omenn syndrome	SYMP:0000047	hepatosplenomegaly
DOID:0060010	Omenn syndrome	SYMP:0000570	diarrhea
DOID:0060020	reticular dysgenesis	SYMP:0000086	lymphopenia
DOID:0060031	autoimmune disease of gastrointestinal tract	SYMP:0000309	loss of appetite
DOID:0060036	intrinsic cardiomyopathy	SYMP:0000094	muscle weakness
DOID:0060041	autism spectrum disorder	SYMP:0019187	repetitive behavior
DOID:0060057	gluten allergy	SYMP:0000570	diarrhea
DOID:0060068	nonbacterial thrombotic endocarditis	SYMP:0000262	endocarditis
DOID:0060178	familial hemiplegic migraine	SYMP:0000016	confusion
DOID:0060178	familial hemiplegic migraine	SYMP:0000024	drowsiness
DOID:0060178	familial hemiplegic migraine	SYMP:0000094	muscle weakness
DOID:0060178	familial hemiplegic migraine	SYMP:0000293	hemiparesis
DOID:0060179	Renpenning syndrome	SYMP:0000568	short stature
DOID:0060188	jejunoileitis	SYMP:0000001	abdominal cramp
DOID:0060188	jejunoileitis	SYMP:0000457	abdominal pain
DOID:0060188	jejunoileitis	SYMP:0000570	diarrhea
DOID:0060188	jejunoileitis	SYMP:0000689	cramp
DOID:0060189	ileitis	SYMP:0000178	weight loss
DOID:0060189	ileitis	SYMP:0000546	right lower quadrant abdominal pain
DOID:0060189	ileitis	SYMP:0000570	diarrhea
DOID:0060190	ileocolitis	SYMP:0000061	inflammation
DOID:0060190	ileocolitis	SYMP:0000178	weight loss
DOID:0060190	ileocolitis	SYMP:0000546	right lower quadrant abdominal pain
DOID:0060190	ileocolitis	SYMP:0000570	diarrhea
DOID:0060191	gastroduodenal Crohn's disease	SYMP:0000061	inflammation
DOID:0060191	gastroduodenal Crohn's disease	SYMP:0000178	weight loss
DOID:0060191	gastroduodenal Crohn's disease	SYMP:0000309	loss of appetite
DOID:0060191	gastroduodenal Crohn's disease	SYMP:0000458	nausea
DOID:0060191	gastroduodenal Crohn's disease	SYMP:0019145	vomiting
