ID	LABEL	SubClass Of [ANON]
DOID:0040056	chromium allergic contact dermatitis	'has allergic trigger' some 'chromium atom'
DOID:0040057	benzoic acid allergic contact dermatitis	'has allergic trigger' some 'benzoic acid'
DOID:0040058	1,4-phenylenediamine allergic contact dermatitis	'has allergic trigger' some 1,4-phenylenediamine
DOID:0040059	potassium dichromate allergic contact dermatitis	'has allergic trigger' some 'potassium dichromate'
DOID:0040060	ketoprofen photoallergic dermatitis	'has allergic trigger' some (ketoprofen and ('has role' some drug))
DOID:0040061	remazole black respiratory allergy	'has allergic trigger' some 'remazole black-GR'
DOID:0040062	chloramine T respiratory allergy	'has allergic trigger' some 'chloramine T'
DOID:0040063	4-vinylcyclohexene dioxide respiratory allergy	'has allergic trigger' some '4-vinylcyclohexene dioxide'
DOID:0040064	carvone allergic contact dermatitis	'has allergic trigger' some (-)-carvone
DOID:0040065	quinidine allergy	'has allergic trigger' some quinidine
DOID:0040066	melphalan allergy	'has allergic trigger' some melphalan
DOID:0040067	neomycin sulfate allergic contact dermatitis	'has allergic trigger' some ('neomycin sulfate' and ('has role' some drug))
DOID:0040068	4-tert-butylphenol allergic contact dermatitis	'has allergic trigger' some 4-tert-butylphenol
DOID:0040069	1-chloro-2,4-dinitrobenzene allergic contact dermatitis	'has allergic trigger' some 1-chloro-2,4-dinitrobenzene
DOID:0040070	co-trimoxazole allergy	'has allergic trigger' some co-trimoxazole
DOID:0040071	sodium aurothiomalate allergy	'has allergic trigger' some 'sodium aurothiomalate'
DOID:0040072	parthenolide allergic contact dermatitis	'has allergic trigger' some parthenolide
DOID:0040073	disodium cromoglycate allergy	'has allergic trigger' some 'disodium cromoglycate'
DOID:0040074	formaldehyde allergic contact dermatitis	'has allergic trigger' some formaldehyde
DOID:0040075	benzo[d]isothiazol-3-one allergic contact dermatitis	'has allergic trigger' some benzo[d]isothiazol-3-one
DOID:0040076	phthalyl group allergy	'has allergic trigger' some 'phthalyl group'
DOID:0040077	alcuronium bromide allergy	'has allergic trigger' some 'alcuronium bromide'
DOID:0040078	gallamine allergy	'has allergic trigger' some gallamine
DOID:0040079	2,4-dinitrophenyl allergic contact dermatitis	'has allergic trigger' some '2,4-dinitrophenyl group'
DOID:0040080	patent blue V allergy	'has allergic trigger' some 'patent blue V'
DOID:0040081	acid anhydride respiratory allergy	'has allergic trigger' some 'acid anhydride'
DOID:0040082	oxirane allergy	'has allergic trigger' some oxirane
DOID:0040083	Chlamydia pneumonia	'has material basis in' some 'Chlamydia pneumoniae'
DOID:0040084	Streptococcus pneumonia	'has material basis in' some 'Streptococcus pneumoniae'
DOID:0040086	Polyomavirus-associated nephropathy	'disease has location' some kidney|'has material basis in' some 'Betapolyomavirus hominis'
DOID:0040087	autoimmune peripheral neuropathy	'disease has location' some 'peripheral nervous system'
DOID:0040088	autoimmune uveitis	'disease has location' some uvea
DOID:0040089	autoimmune optic neuritis	'disease has location' some 'neuron projection bundle connecting eye with brain'
DOID:0040090	autoimmune gastritis	'disease has location' some stomach
DOID:0040091	autoimmune pancreatitis	'disease has location' some pancreas
DOID:0040092	juvenile ankylosing spondylitis	'disease has location' some 'sacro-iliac joint'|'disease has location' some 'vertebral column'|'existence starts during' some 'Young adult onset'
DOID:0040093	drug-induced lupus erythematosus	'has material basis in' some ('chemical entity' and ('has role' some drug))
DOID:0040094	autoimmune glomerulonephritis	'disease has location' some 'renal glomerulus'
DOID:0040095	autoimmune cardiomyopathy	'disease has location' some heart
DOID:0040096	autoimmune atherosclerosis	'disease has location' some 'blood vessel'
DOID:0040097	autoimmune vasculitis	'disease has location' some 'blood vessel'
DOID:0040098	pemphigus gestationis	'disease has location' some 'skin of body'
DOID:0040101	N,N'-diphenylthiourea allergic contact dermatitis	'has allergic trigger' some N,N'-diphenylthiourea
DOID:0040102	N,N'-diethylthiourea allergic contact dermatitis	'has allergic trigger' some N,N'-diethylthiourea
DOID:0040103	cefotiam allergy	'has allergic trigger' some cefotiam
DOID:0040104	toluene 2,4-diisocyanate allergic asthma	'has allergic trigger' some 'toluene 2,4-diisocyanate'
DOID:0050004	seminal vesicle acute gonorrhea	'has symptom' some backache
DOID:0050012	chikungunya	'has material basis in' some 'Chikungunya virus'|'has symptom' some 'joint pain'|'has symptom' some 'maculopapular rash'|'has symptom' some fever
DOID:0050025	human granulocytic anaplasmosis	'has material basis in' some 'Amblyomma americanum'|'has symptom' some fatigue|'has symptom' some fever|'has symptom' some headache|'has symptom' some rash|'transmitted by' some 'tick borne transmission'
DOID:0050026	human monocytic ehrlichiosis	'has material basis in' some 'Ehrlichia chaffeensis'|'has symptom' some fatigue|'has symptom' some fever|'has symptom' some headache|'has symptom' some rash|'transmitted by' some 'vehicle-borne ingestion transmission'|'transmitted by' some ('Ixodes pacificus' or 'Ixodes ricinus' or 'Ixodes scapularis')
DOID:0050035	African tick-bite fever	'has material basis in' some 'Rickettsia africae'|'has symptom' some 'maculopapular rash'|'has symptom' some eschar|'has symptom' some fever|'transmitted by' some 'Amblyomma hebraeum'|'transmitted by' some 'Amblyomma variegatum'|'transmitted by' some 'tick borne transmission'
DOID:0050041	Astrakhan spotted fever	'has material basis in' some 'Rickettsia conorii'|'has symptom' some 'maculopapular rash'|'has symptom' some eschar|'has symptom' some fever|'transmitted by' some 'tick borne transmission'|'transmitted by' some ('Rhipicephalus pumilio' or 'Rhipicephalus sanguineus')
DOID:0050042	Indian tick typhus	'has material basis in' some 'Rickettsia conorii'|'has symptom' some 'maculopapular rash'|'has symptom' some eschar|'has symptom' some fever|'transmitted by' some 'Rhipicephalus sanguineus'|'transmitted by' some 'tick borne transmission'
DOID:0050043	Israeli tick typhus	'has material basis in' some 'Rickettsia conorii'|'has symptom' some 'maculopapular rash'|'has symptom' some eschar|'has symptom' some fever|'transmitted by' some 'Rhipicephalus sanguineus'|'transmitted by' some 'tick borne transmission'
DOID:0050046	Far Eastern spotted fever	'has material basis in' some 'Rickettsia conorii subsp. heilongjiangensis'|'has symptom' some 'maculopapular rash'|'has symptom' some eschar|'has symptom' some fever|'transmitted by' some 'Haemaphysalis concinna'|'transmitted by' some 'tick borne transmission'
DOID:0050047	Flinders Island spotted fever	'has material basis in' some 'Rickettsia honei'|'has symptom' some eschar|'has symptom' some lymphadenopathy|'transmitted by' some 'Amblyomma cajennense'|'transmitted by' some 'tick borne transmission'
DOID:0050050	Japanese spotted fever	'has material basis in' some 'Rickettsia japonica'|'has symptom' some eschar|'has symptom' some fever|'transmitted by' some 'Haemaphysalis flava'|'transmitted by' some 'tick borne transmission'|'transmitted by' some Dermacentor
DOID:0050051	Rickettsia parkeri spotted fever	'has material basis in' some 'Rickettsia parkeri'|'has symptom' some eschar|'has symptom' some fever|'has symptom' some headache|'has symptom' some rash|'transmitted by' some 'Amblyomma maculatum'|'transmitted by' some 'tick borne transmission'
DOID:0050052	Rocky Mountain spotted fever	'has material basis in' some 'Rickettsia rickettsii'|'has symptom' some 'abdominal pain'|'has symptom' some 'maculopapular rash'|'has symptom' some 'papular rash'|'has symptom' some fever|'has symptom' some headache|'transmitted by' some 'Dermacentor andersoni'|'transmitted by' some 'Dermacentor variabilis'|'transmitted by' some 'tick borne transmission'
DOID:0050059	oropharyngeal anthrax	'has symptom' some 'loss of appetite'|'has symptom' some 'severe diarrhea'|'has symptom' some diarrhea|'has symptom' some hematemesis|'has symptom' some vomiting
DOID:0050061	erysipeloid	'has material basis in' some 'Erysipelothrix rhusiopathiae'|'transmitted by' some 'contact transmission'
DOID:0050072	adiaspiromycosis	'disease has location' some ('zone of skin' or lung)|'has material basis in' some ('Chrysosporium parvum' or 'Emmonsia crescens')
DOID:0050073	invasive aspergillosis	'disease has feature' some pneumonia|'disease has location' some lung|'has material basis in' some Aspergillus|'has symptom' some hemorrhage
DOID:0050096	tinea barbae	'disease has location' some 'stratum corneum of epidermis'|'disease has location' some 'zone of skin'|'has material basis in' some ('Trichophyton mentagrophytes' or 'Trichophyton verrucosum')
DOID:0050097	ectothrix infectious disease	'disease has location' some 'cuticle of hair'|'disease has location' some 'strand of hair'|'has material basis in' some ('Trichophyton verrucosum' or 'Trichophyton equinum')
DOID:0050105	endothrix infectious disease	'disease has location' some 'cuticle of hair'|'disease has location' some 'strand of hair'|'has material basis in' some Ascomycota
DOID:0050116	tinea imbricata	'has material basis in' some 'Trichophyton concentricum'
DOID:0050118	La Crosse encephalitis	'disease has location' some brain|'has material basis in' some 'La Crosse virus'|'has symptom' some coma|'has symptom' some fever|'has symptom' some headache|'has symptom' some paralysis|'has symptom' some seizure|'transmitted by' some 'Ochlerotatus triseriatus'
DOID:0050120	hemophagocytic lymphohistiocytosis	'has symptom' some 'enlargement of lymph nodes'|'has symptom' some hepatosplenomegaly|'has symptom' some lymphadenopathy
DOID:0050125	dengue shock syndrome	'has material basis in' some 'Dengue virus'|'has symptom' some 'gum bleeding'|'has symptom' some 'nasal bleeding'|'has symptom' some bleeding|'has symptom' some epistaxis|'has symptom' some hypotension|'has symptom' some shock
DOID:0050127	sinusitis	'has symptom' some congestion|'has symptom' some cough|'has symptom' some fatigue|'has symptom' some fever|'has symptom' some weakness
DOID:0050129	secretory diarrhea	'has symptom' some diarrhea
DOID:0050130	osmotic diarrhea	'has symptom' some constipation|'has symptom' some diarrhea
DOID:0050131	motility-related diarrhea	'has symptom' some diarrhea
DOID:0050132	inflammatory diarrhea	'has symptom' some diarrhea
DOID:0050133	superficial mycosis	'has material basis in' some Fungi
DOID:0050134	cutaneous mycosis	'has material basis in' some Fungi
DOID:0050135	subcutaneous mycosis	'disease has location' some ('zone of skin' or hypodermis)|'has material basis in' some Fungi
DOID:0050140	acute diarrhea	'has symptom' some diarrhea
DOID:0050141	intestinal botulism	'transmitted by' some 'vehicle-borne ingestion transmission'
DOID:0050143	asymptomatic dengue	'has material basis in' some 'Dengue virus'
DOID:0050145	adenoiditis	'has symptom' some 'swelling symptom'|'has symptom' some dysphagia|'has symptom' some pain
DOID:0050150	Pontiac fever	'has symptom' some fever|'has symptom' some headache|'transmitted by' some 'droplet spread transmission'
DOID:0050152	aspiration pneumonia	'has symptom' some dysphagia|'has symptom' some tachypnea
DOID:0050153	pulmonary aspergilloma	'disease has location' some lung|'has material basis in' some Aspergillus
DOID:0050156	idiopathic pulmonary fibrosis	'has material basis in' some 'autosomal dominant inheritance'|'has material basis in' some ('Abnormal pulmonary interstitial morphology' and ('has material basis in' some Scarring) and ('disease has location' some lung))
DOID:0050157	cryptogenic organizing pneumonia	'has symptom' some 'weight loss'|'has symptom' some cough|'has symptom' some inflammation
DOID:0050159	lymphoid interstitial pneumonia	'has symptom' some cough
DOID:0050160	inhalation anthrax	'has symptom' some 'chest discomfort'|'has symptom' some 'low-grade fever'|'has symptom' some 'pharynx inflammation'|'has symptom' some cough|'has symptom' some dyspnea|'has symptom' some tiredness
DOID:0050166	tuberculous salpingitis	'disease has location' some 'fallopian tube'
DOID:0050174	Kunjin encephalitis	'has material basis in' some 'Kunjin virus'|'has symptom' some confusion|'has symptom' some fever|'has symptom' some headache|'has symptom' some lethargy|'transmitted by' some 'Culex annulirostris'
DOID:0050175	tick-borne encephalitis	'has material basis in' some 'Tick-borne encephalitis virus'|'has symptom' some 'sensory disturbance'|'has symptom' some confusion|'has symptom' some drowsiness|'has symptom' some paralysis|'transmitted by' some Ixodes
DOID:0050179	Powassan encephalitis	'has material basis in' some 'Powassan virus'|'has symptom' some 'stiff neck'|'has symptom' some coma|'has symptom' some confusion|'has symptom' some drowsiness|'has symptom' some fever|'has symptom' some headache|'has symptom' some paralysis|'has symptom' some seizure|'has symptom' some tremor|'has symptom' some vomiting|('transmitted by' some Dermacentor) or ('transmitted by' some Ixodes)
DOID:0050185	erythema multiforme	'has symptom' some 'allergic reaction'
DOID:0050192	Nipah virus encephalitis	'has symptom' some 'alteration of consciousness'|'has symptom' some coma|'has symptom' some disorientation|'has symptom' some dizziness|'has symptom' some drowsiness
DOID:0050194	Argentine hemorrhagic fever	'has material basis in' some 'Mammarenavirus juninense'|'has symptom' some 'low white blood cell count'|'has symptom' some fatigue|'has symptom' some fever|'has symptom' some malaise|'has symptom' some thrombocytopenia|'transmitted by' some 'Calomys musculinus'
DOID:0050195	Bolivian hemorrhagic fever	'has material basis in' some 'Mammarenavirus machupoense'|'has symptom' some 'bronchopulmonary bleeding'|'has symptom' some 'gastrointestinal bleeding'|'has symptom' some 'joint pain'|'has symptom' some bleeding|'has symptom' some fatigue|'has symptom' some fever|'has symptom' some headache|'transmitted by' some 'Calomys callosus'
DOID:0050196	Venezuelan hemorrhagic fever	'has material basis in' some 'Mammarenavirus guanaritoense'|'has symptom' some 'gum bleeding'|'has symptom' some 'pharynx inflammation'|'has symptom' some anorexia|'has symptom' some bleeding|'has symptom' some convulsion|'has symptom' some epistaxis|'has symptom' some fever|'has symptom' some headache|'has symptom' some hematemesis|'has symptom' some hepatomegaly|'has symptom' some melena|'has symptom' some menorrhagia|'has symptom' some nausea|'has symptom' some vomiting|'has symptom' some weakness|'transmitted by' some ('Sigmodon alstoni' or 'Zygodontomys brevicauda')
DOID:0050197	Brazilian hemorrhagic fever	'has material basis in' some 'Mammarenavirus brazilense'|'has symptom' some 'bloodshot eye'|'has symptom' some bleeding|'has symptom' some dizziness|'has symptom' some fatigue|'has symptom' some fever
DOID:0050198	Chapare hemorrhagic fever	'has material basis in' some 'Mammarenavirus chapareense'|'has symptom' some 'joint pain'|'has symptom' some 'muscle pain'|'has symptom' some bleeding|'has symptom' some headache|'has symptom' some shock|'has symptom' some vomiting
DOID:0050199	Whitewater Arroyo hemorrhagic fever	'has material basis in' some 'Mammarenavirus whitewaterense'|'has symptom' some fever|'has symptom' some headache|'has symptom' some hemorrhage|'transmitted by' some 'Neotoma albigula'
DOID:0050200	Korean hemorrhagic fever	'has symptom' some 'abdominal pain'|'has symptom' some 'bloodshot eye'|'has symptom' some 'low blood pressure'|'has symptom' some backache|'has symptom' some chills|'has symptom' some fever|'has symptom' some flushing|'has symptom' some headache|'has symptom' some hypotension|'has symptom' some nausea|'has symptom' some rash|'has symptom' some shock|'transmitted by' some ('Rattus norvegicus' or 'Apodemus agrarius')
DOID:0050201	nephropathia epidemica	'has material basis in' some 'Orthohantavirus puumalaense'|'has symptom' some 'abdominal pain'|'has symptom' some 'renal failure'|'has symptom' some backache|'has symptom' some headache|'has symptom' some hemorrhage|'has symptom' some nausea|'has symptom' some vomiting|'transmitted by' some 'Myodes glareolus'
DOID:0050202	lujo hemorrhagic fever	'has symptom' some bleeding
DOID:0050204	Epstein-Barr virus hepatitis	'has material basis in' some 'human gammaherpesvirus 4'|'has symptom' some 'abdominal pain'|'has symptom' some 'liver inflammation'|'has symptom' some fatigue|'has symptom' some fever|'has symptom' some headache|'has symptom' some jaundice|'has symptom' some nausea
DOID:0050211	swine influenza	'has symptom' some 'pharynx inflammation'|'has symptom' some cough|'has symptom' some diarrhea|'has symptom' some fever|'has symptom' some lethargy|'has symptom' some nausea|'has symptom' some rhinorrhea|'has symptom' some vomiting|('has material basis in' some 'Influenza A virus') or ('has material basis in' some 'Influenza C virus')
DOID:0050214	Lambert-Eaton myasthenic syndrome	'has phenotype' some 'Abnormal circulating immunoglobulin concentration'
DOID:0050218	polycystic echinococcosis	'disease has location' some liver
DOID:0050242	primary amebic meningoencephalitis	'has symptom' some coma|'has symptom' some delirium|'has symptom' some headache|'has symptom' some nausea|'has symptom' some seizure|'has symptom' some vomiting
DOID:0050246	granulomatous amebic encephalitis	'disease has location' some brain|'has symptom' some 'altered mental status'|'has symptom' some headache
DOID:0050250	philophthalmiasis	'disease has location' some eye
DOID:0050251	coenurosis	'has symptom' some vomiting|('disease has location' some 'zone of skin') and ('disease has location' some 'central nervous system')
DOID:0050253	mesocestoidiasis	'has symptom' some 'abdominal discomfort'|'has symptom' some diarrhea|'has symptom' some nausea|'has symptom' some vomiting
DOID:0050254	acanthocephaliasis	'has symptom' some 'abdominal distention'|'has symptom' some 'abdominal pain'|'has symptom' some 'bloody stool'|'has symptom' some 'decreased appetite'|'has symptom' some 'weight loss'|'has symptom' some constipation|'has symptom' some diarrhea|'has symptom' some fever|'has symptom' some nausea|'has symptom' some vomiting
DOID:0050256	angiostrongyliasis	'has material basis in' some Angiostrongylus|('disease has location' some intestine) and ('disease has location' some eye) and ('disease has location' some 'central nervous system')
DOID:0050259	baylisascariasis	'has symptom' some blindness|('disease has location' some intestine) and ('disease has location' some brain) and ('disease has location' some eye) and ('disease has location' some 'spinal cord')
DOID:0050260	dioctophymiasis	('disease has location' some 'zone of skin') and ('disease has location' some kidney)
DOID:0050266	tungiasis	'has symptom' some 'skin lesion'|'has symptom' some itching
DOID:0050268	ophthalmomyiasis	'disease has location' some eye
DOID:0050269	Trichomonas vaginalis trichomoniasis	'has material basis in' some 'Trichomonas vaginalis'|'has symptom' some 'relapsing fever'|'has symptom' some headache|'transmitted by' some 'contact transmission'|('disease has location' some 'uterine cervix') and ('disease has location' some urethra) and ('disease has location' some vagina) and ('disease has location' some 'mammalian vulva')
DOID:0050270	Trichomonas tenax trichomoniasis	'disease has location' some 'oral cavity'|'has material basis in' some 'Trichomonas tenax'|'transmitted by' some 'droplet spread transmission'|'transmitted by' some 'vehicle-borne fomite transmission'
DOID:0050288	penicilliosis	'has material basis in' some 'Talaromyces marneffei'|'has symptom' some 'skin lesion'|'has symptom' some 'weight loss'|'has symptom' some anemia|'has symptom' some fever|'has symptom' some hepatosplenomegaly
DOID:0050289	fusariosis	'has symptom' some necrosis
DOID:0050290	trichosporonosis	'has material basis in' some Trichosporon
DOID:0050292	primary systemic mycosis	'has material basis in' some Fungi
DOID:0050308	Alkhumra hemorrhagic fever	'has material basis in' some 'Alkhumra hemorrhagic fever virus'|'has symptom' some 'joint pain'|'has symptom' some 'muscle pain'|'has symptom' some headache|'has symptom' some thrombocytopenia|'has symptom' some vomiting|'transmitted by' some 'Ornithodoros savignyi'
DOID:0050328	congenital hypothyroidism	'disease has basis in' some 'Abnormality of prenatal development or birth'
DOID:0050331	lacrimoauriculodentodigital syndrome 1	'has material basis in' some 'autosomal dominant inheritance'
DOID:0050335	bradyopsia	'has material basis in' some 'autosomal recessive inheritance'
DOID:0050336	hypophosphatemia	'disease has feature' some hypophosphatemia|'disease has feature' some osteoarthritis|'has symptom' some 'bone pain'
DOID:0050352	foodborne botulism	'has symptom' some 'descending muscle paralysis'|'has symptom' some 'double vision'|'has symptom' some dysarthria|'has symptom' some dysphagia|'has symptom' some dysphonia|'transmitted by' some 'vehicle-borne ingestion transmission'
DOID:0050353	wound botulism	'transmitted by' some 'contact transmission'
DOID:0050354	infant botulism	'has symptom' some 'muscle weakness'|'has symptom' some constipation|'has symptom' some dysphagia|'has symptom' some lethargy|'has symptom' some ptosis|'transmitted by' some 'vehicle-borne ingestion transmission'
DOID:0050383	typhoidal tularemia	'has symptom' some 'weight loss'|'has symptom' some chills|'has symptom' some fever|'has symptom' some malaise
DOID:0050398	Carrion's disease	'has material basis in' some 'Bartonella bacilliformis'
DOID:0050424	familial adenomatous polyposis	'has material basis in' some 'autosomal inheritance'
DOID:0050427	xeroderma pigmentosum	'has material basis in' some 'autosomal recessive inheritance'
DOID:0050429	Hailey-Hailey disease	'disease has location' some 'axilla skin'|'disease has location' some 'inguinal region skin'|'has material basis in' some 'autosomal dominant inheritance'
DOID:0050430	multiple endocrine neoplasia type 2A	'has material basis in' some 'autosomal dominant inheritance'
DOID:0050433	fatal familial insomnia	'has symptom' some hallucination
DOID:0050434	Andersen-Tawil syndrome	'has material basis in' some 'autosomal dominant inheritance'|'has symptom' some arrhythmia
DOID:0050436	mulibrey nanism	'has material basis in' some 'autosomal recessive inheritance'
DOID:0050437	Danon disease	'has material basis in' some 'X-linked dominant inheritance'
DOID:0050438	Frasier syndrome	'has material basis in' some 'autosomal dominant inheritance'
DOID:0050439	Usher syndrome	'has material basis in' some 'autosomal recessive inheritance'
DOID:0050440	familial partial lipodystrophy	'disease has location' some 'adipose tissue'
DOID:0050441	mucosulfatidosis	'has material basis in' some 'autosomal recessive inheritance'
DOID:0050444	infantile Refsum disease	'has symptom' some hepatosplenomegaly
DOID:0050445	X-linked hypophosphatemic rickets	'has material basis in' some 'X-linked dominant inheritance'
DOID:0050449	pachyonychia congenita	'has material basis in' some 'autosomal dominant inheritance'
DOID:0050450	Gitelman syndrome	'has material basis in' some 'autosomal recessive inheritance'
DOID:0050451	Brugada syndrome	'disease has basis in' some gene
DOID:0050452	mevalonic aciduria	'disease has basis in' some structural_variant
DOID:0050453	lissencephaly	'disease has location' some 'cerebral cortex'
DOID:0050456	Buruli ulcer disease	'has material basis in' some 'Mycobacterium ulcerans'|'has symptom' some 'skin lesion'|'has symptom' some necrosis|'transmitted by' some 'vector-borne transmission'
DOID:0050458	juvenile myelomonocytic leukemia	'existence starts during' some 'Young adult onset'
DOID:0050461	aspartylglucosaminuria	'disease has basis in' some structural_variant
DOID:0050462	Antley-Bixler syndrome with disordered steroidogenesis	'disease has basis in' some symptom|'has material basis in' some 'autosomal recessive inheritance'
DOID:0050463	campomelic dysplasia	'disease has location' some femur|'disease has location' some tibia|'has material basis in' some 'autosomal dominant inheritance'
DOID:0050466	Loeys-Dietz syndrome	'has material basis in' some 'autosomal dominant inheritance'
DOID:0050467	erythrokeratodermia variabilis	'disease has basis in' some gene
DOID:0050468	yellow nail syndrome	('disease has location' some 'zone of skin') and ('disease has location' some nail)
DOID:0050469	Costello syndrome	'has material basis in' some 'autosomal dominant inheritance'
DOID:0050470	Donohue syndrome	'has material basis in' some 'autosomal recessive inheritance'
DOID:0050471	Carney complex	'has material basis in' some 'autosomal dominant inheritance'
DOID:0050472	monilethrix	'has material basis in' some 'autosomal dominant inheritance'
DOID:0050473	Alstrom syndrome	'has material basis in' some 'autosomal recessive inheritance'|'has symptom' some blindness
DOID:0050474	Netherton syndrome	'has material basis in' some 'autosomal recessive inheritance'|'has symptom' some inflammation
DOID:0050475	Weill-Marchesani syndrome	'has material basis in' some 'autosomal inheritance'
DOID:0050476	Barth syndrome	'has material basis in' some 'X-linked recessive inheritance'
DOID:0050480	epidemic typhus	'has material basis in' some 'Rickettsia prowazekii'|'has symptom' some 'high fever'|'has symptom' some chills|'has symptom' some cough|'has symptom' some delirium|'has symptom' some photophobia|'has symptom' some rash|'has symptom' some stupor|'transmitted by' some 'Pediculus humanus corporis'|'transmitted by' some 'insect borne transmission'
DOID:0050481	endemic typhus	'has material basis in' some ('Rickettsia felis' or 'Rickettsia typhi')|'has symptom' some chills|'has symptom' some cough|'has symptom' some fever|'has symptom' some headache|'has symptom' some nausea|'has symptom' some rash|'has symptom' some vomiting|'transmitted by' some 'Xenopsylla cheopis'|'transmitted by' some 'flea borne transmission'
DOID:0050484	aneruptive fever	'has material basis in' some 'Rickettsia helvetica'|'has symptom' some fever|'has symptom' some headache|'transmitted by' some 'tick borne transmission'|'transmitted by' some Ixodes
DOID:0050485	sennetsu fever	'has material basis in' some 'Neorickettsia sennetsu'|'has symptom' some 'enlargement of lymph nodes'|'has symptom' some anorexia|'has symptom' some backache|'has symptom' some chills|'has symptom' some fatigue|'has symptom' some fever|'has symptom' some headache|'has symptom' some hepatosplenomegaly|'has symptom' some lymphadenopathy|'has symptom' some malaise|'transmitted by' some 'vehicle-borne ingestion transmission'
DOID:0050486	exanthem	'has symptom' some rash
DOID:0050487	bacterial exanthem	'has material basis in' some Bacteria
