ID	LABEL	Equivalent Class
DOID:0050710	3-methylcrotonyl-CoA carboxylase deficiency	'amino acid metabolic disorder' and ('disease has location' some 'muscle tissue')
DOID:0050725	tyrosinemia type II	'amino acid metabolic disorder' and ('disease has location' some 'zone of skin') and ('disease has location' some liver)
DOID:0050735	X-linked monogenic disease	disease and ('has material basis in' some 'X-linked inheritance')
DOID:0050736	autosomal dominant disease	disease and ('has material basis in' some 'autosomal dominant inheritance')
DOID:0050737	autosomal recessive disease	disease and ('has material basis in' some 'autosomal recessive inheritance')
DOID:0050738	Y-linked monogenic disease	disease and ('has material basis in' some 'Y-linked inheritance')
DOID:0050739	autosomal genetic disease	disease and ('has material basis in' some 'autosomal inheritance')
DOID:0050824	sinoatrial node disease	disease and ('disease has location' some 'sinoatrial node')
DOID:0050825	endocardium disease	disease and ('disease has location' some endocardium)
DOID:0050826	tricuspid valve disease	disease and ('disease has location' some 'tricuspid valve')
DOID:0050828	artery disease	'vascular disease' and ('disease has location' some artery)
DOID:0050829	pericardium disease	disease and ('disease has location' some pericardium)
DOID:0050836	focal dystonia	dystonia and ('disease has location' some 'muscle organ')
DOID:0050894	ameloblastoma	'benign neoplasm' and (('derives from' some 'epithelial cell') and ('disease has location' some 'dental epithelium'))
DOID:0050899	brain stem medulloblastoma	medulloblastoma and ('disease has location' some brainstem)
DOID:0050904	salivary gland carcinoma	cancer and ('derives from' some 'epithelial cell') and ('disease has location' some 'saliva-secreting gland')
DOID:0060004	autoimmune disease of central nervous system	'autoimmune disease' and ('disease has location' some 'central nervous system')
DOID:0060005	autoimmune disease of endocrine system	'autoimmune disease' and ('disease has location' some 'endocrine system')
DOID:0060029	autoimmune disease of exocrine system	'autoimmune disease' and ('disease has location' some 'exocrine system')
DOID:0060030	autoimmune disease of eyes, ear, nose and throat	'autoimmune disease' and ('disease has location' some 'sensory system')
DOID:0060031	autoimmune disease of gastrointestinal tract	'autoimmune disease' and ('disease has location' some 'digestive system')
DOID:0060032	autoimmune disease of musculoskeletal system	'autoimmune disease' and ('disease has location' some 'musculoskeletal system')
DOID:0060033	autoimmune disease of peripheral nervous system	'autoimmune disease' and ('disease has location' some 'peripheral nervous system')
DOID:0060039	autoimmune disease of skin and connective tissue	'autoimmune disease' and ('disease has location' some ('zone of skin' and 'connective tissue'))
DOID:0060049	autoimmune disease of urogenital tract	'autoimmune disease' and ('disease has location' some 'genitourinary system')
DOID:0060050	autoimmune disease of blood	'autoimmune disease' and ('disease has location' some blood)
DOID:0060051	autoimmune disease of cardiovascular system	'autoimmune disease' and ('disease has location' some 'cardiovascular system')
DOID:0060058	lymphoma	cancer and ('has material basis in' some lymphocyte)
DOID:0060073	lymphatic system cancer	cancer and ('disease has location' some 'lymphoid tissue')
DOID:0060082	breast benign neoplasm	'benign neoplasm' and ('disease has location' some breast)
DOID:0060083	immune system cancer	cancer and ('disease has location' some 'immune system')
DOID:0060084	cell type benign neoplasm	'benign neoplasm' and ('derives from' some cell)
DOID:0060086	female reproductive organ benign neoplasm	'benign neoplasm' and ('disease has location' some 'female reproductive system')
DOID:0060087	male reproductive organ benign neoplasm	'benign neoplasm' and ('disease has location' some 'male reproductive system')
DOID:0060088	vestibular gland benign neoplasm	'benign neoplasm' and ('disease has location' some 'vestibular gland')
DOID:0060089	endocrine organ benign neoplasm	'benign neoplasm' and ('disease has location' some 'endocrine gland')
DOID:0060090	central nervous system benign neoplasm	'benign neoplasm' and ('disease has location' some 'central nervous system')
DOID:0060091	cardiovascular organ benign neoplasm	'benign neoplasm' and ('disease has location' some 'cardiovascular system')
DOID:0060092	immune system organ benign neoplasm	'benign neoplasm' and ('disease has location' some 'immune organ')
DOID:0060094	bone benign neoplasm	'benign neoplasm' and ('disease has location' some 'bone element')
DOID:0060095	uterine benign neoplasm	'benign neoplasm' and ('disease has location' some uterus)
DOID:0060096	sensory organ benign neoplasm	'benign neoplasm' and ('disease has location' some 'sensory system')
DOID:0060097	thoracic benign neoplasm	'benign neoplasm' and ('disease has location' some 'thoracic segment of trunk')
DOID:0060099	musculoskeletal system benign neoplasm	'benign neoplasm' and ('disease has location' some 'musculoskeletal system')
DOID:0060100	musculoskeletal system cancer	cancer and ('disease has location' some 'musculoskeletal system')
DOID:0060102	cartilage cancer	cancer and ('disease has location' some 'cartilage tissue')
DOID:0060106	brain meningioma	meningioma and ('disease has location' some brain)
DOID:0060109	vulvar benign neoplasm	'benign neoplasm' and ('disease has location' some 'mammalian vulva')
DOID:0060110	cervical benign neoplasm	'benign neoplasm' and ('disease has location' some 'uterine cervix')
DOID:0060111	fallopian tube benign neoplasm	'benign neoplasm' and ('disease has location' some 'fallopian tube')
DOID:0060112	ovarian benign neoplasm	'benign neoplasm' and ('disease has location' some ovary)
DOID:0060114	vaginal benign neoplasm	'benign neoplasm' and ('disease has location' some vagina)
DOID:0060115	nervous system benign neoplasm	'benign neoplasm' and ('disease has location' some 'nervous system')
DOID:0060116	sensory system cancer	cancer and ('disease has location' some 'sensory system')
DOID:0060117	peritoneal benign neoplasm	'benign neoplasm' and ('disease has location' some peritoneum)
DOID:0060118	thoracic disease	disease and ('disease has location' some 'thoracic segment of trunk')
DOID:0060119	pharynx cancer	cancer and ('disease has location' some pharynx)
DOID:0060121	integumentary system benign neoplasm	'benign neoplasm' and ('disease has location' some 'integumental system')
DOID:0060122	integumentary system cancer	cancer and ('disease has location' some 'integumental system')
DOID:0060123	connective tissue benign neoplasm	'benign neoplasm' and ('disease has location' some 'connective tissue')
DOID:0060262	gallbladder disease	disease and ('disease has location' some gallbladder)
DOID:0060388	chromosomal deletion syndrome	disease and ('has material basis in' some deletion) and ('has material basis in' some chromosome)
DOID:0060429	chromosomal duplication syndrome	disease and ('has material basis in' some chromosome) and ('has material basis in' some duplication)
DOID:0060496	respiratory allergy	'allergic disease' and ('disease has location' some 'respiratory tract')
DOID:0060500	drug allergy	'allergic disease' and ('has allergic trigger' some ('chemical entity' and ('has role' some drug)))
DOID:0060501	metal allergy	disease and ('has allergic trigger' some ('metal cation' or 'metal atom' or 'alkali metal salt'))
DOID:0060564	spinal disease	disease and ('disease has location' some 'vertebral column')
DOID:0060570	cardiac tuberculosis	tuberculosis and ('disease has location' some heart)
DOID:0070003	blastoma	cancer and ('derives from' some 'non-terminally differentiated cell')
DOID:0070620	ring chromosome syndrome	disease and ('has material basis in' some ring_chromosome)
DOID:0080000	muscular disease	disease and ('disease has location' some 'muscle tissue')
DOID:0080001	bone disease	disease and ('disease has location' some 'bone element')
DOID:0080009	X-linked dominant disease	disease and ('has material basis in' some 'X-linked dominant inheritance')
DOID:0080012	X-linked recessive disease	disease and ('has material basis in' some 'X-linked recessive inheritance')
DOID:0080014	chromosomal disease	disease and ('has material basis in' some chromosome_structure_variation)
DOID:0080015	physical disorder	disease and ('disease has basis in' some 'Abnormality of prenatal development or birth')
DOID:0080189	malignant hemangioma	cancer and ('derives from' some hemangioblast)
DOID:0080373	epididymis disease	disease and ('disease has location' some epididymis)
DOID:0080577	polygenic disease	disease and ('has material basis in' some 'polygenic inheritance')
DOID:0080578	digenic disease	disease and ('has material basis in' some 'digenic inheritance')
DOID:0080602	benign teratoma	'benign neoplasm' and (('derives from' some ectoderm) and ('derives from' some endoderm) and ('derives from' some mesoderm))
DOID:0080615	nephroma	'benign neoplasm' and (('disease has location' some cortex) and ('disease has location' some kidney))
DOID:0080616	kidney cortex disease	disease and (('disease has location' some cortex) and ('disease has location' some kidney))
DOID:0080617	lymph node benign neoplasm	'benign neoplasm' and ('disease has location' some 'lymph node')
DOID:0080619	auditory system benign neoplasm	'benign neoplasm' and ('disease has location' some 'auditory system')
DOID:0080640	gallbladder benign neoplasm	'benign neoplasm' and ('disease has location' some gallbladder)
DOID:0080712	gene duplication disease	disease and (('has material basis in' some gene) and ('has material basis in' some duplication))
DOID:0080781	benign exocrine pancreas neoplasm	'benign neoplasm' and ('disease has location' some 'exocrine pancreas')
DOID:0080829	low grade glioma	'benign neoplasm' and (('derives from' some 'glial cell') and ('disease has location' some brain) and ('disease has location' some 'spinal cord'))
DOID:0081312	T-cell non-Hodgkin lymphoma	lymphoma and ('has material basis in' some 'T cell')
DOID:0081332	progeroid syndrome	disease and ('has phenotype' some 'Prematurely aged appearance')
DOID:10020	ampulla of Vater cancer	cancer and ('disease has location' some 'hepatopancreatic ampulla')
DOID:10021	duodenum cancer	cancer and ('disease has location' some duodenum)
DOID:10022	ampulla of Vater benign neoplasm	'benign neoplasm' and ('disease has location' some 'hepatopancreatic ampulla')
DOID:10069	subglottis benign neoplasm	'benign neoplasm' and ('disease has location' some subglottis)
DOID:10124	corneal disease	disease and ('disease has location' some cornea)
DOID:10139	conjunctival degeneration	'eye degenerative disease' and ('disease has location' some conjunctiva)
DOID:10153	ileum cancer	cancer and ('disease has location' some ileum)
DOID:10154	small intestine cancer	cancer and ('disease has location' some 'small intestine')
DOID:10155	intestinal cancer	cancer and ('disease has location' some intestine)
DOID:10156	benign ileal neoplasm	'benign neoplasm' and ('disease has location' some ileum)
DOID:10223	dermatomyositis	myositis and ('disease has location' some 'zone of skin') and ('disease has location' some 'muscle tissue')
DOID:10283	prostate cancer	cancer and ('disease has location' some 'prostate gland')
DOID:10302	parotid disease	disease and ('disease has location' some 'parotid gland')
DOID:1035	aggressive NK-cell leukemia	leukemia and ('derives from' some 'natural killer cell')
DOID:10366	epididymis cancer	cancer and ('disease has location' some epididymis)
DOID:104	bacterial infectious disease	disease and ('has material basis in' some Bacteria)
DOID:10400	gonococcal seminal vesiculitis	gonorrhea and ('disease has location' some 'seminal vesicle')
DOID:10481	diaphragm disease	disease and ('disease has location' some diaphragm)
DOID:10488	imperforate anus	'physical disorder' and ('disease has location' some anus)
DOID:10534	stomach cancer	cancer and ('disease has location' some stomach)
DOID:10538	gastric fundus cancer	cancer and ('disease has location' some 'fundus of stomach')
DOID:10544	pylorus cancer	cancer and ('disease has location' some pylorus)
DOID:10547	pyloric antrum cancer	cancer and ('disease has location' some 'pyloric antrum')
DOID:10548	cardia cancer	cancer and ('disease has location' some 'cardia of stomach')
DOID:10619	lymph node cancer	cancer and ('disease has location' some 'lymph node')
DOID:1073	renal hypertension	hypertension and ('disease has location' some kidney)
DOID:10744	broad ligament malignant neoplasm	cancer and ('disease has location' some 'broad ligament of uterus')
DOID:10810	tibialis tendinitis	tendinitis and ('disease has location' some tibialis)
DOID:10811	nasal cavity cancer	cancer and ('disease has location' some 'nasal cavity')
DOID:10812	nasal cavity olfactory neuroblastoma	'olfactory neuroblastoma' and ('disease has location' some 'nasal cavity')
DOID:10846	angiodysplasia of intestine	angiodysplasia and ('disease has location' some intestine)
DOID:10854	salivary gland disease	disease and ('disease has location' some 'saliva-secreting gland')
DOID:10865	abducens nerve palsy	disease and ('disease has location' some 'abducens nerve')
DOID:10880	iliac vein thrombophlebitis	thrombophlebitis and ('disease has location' some 'iliac vein')
DOID:1091	tooth disease	disease and ('disease has location' some 'calcareous tooth')
DOID:10944	tongue disease	disease and ('disease has location' some tongue)
DOID:10964	cholesteatoma of middle ear	cholesteatoma and ('disease has location' some 'middle ear')
DOID:10991	basal ganglia cerebrovascular disease	'cerebrovascular disease' and ('disease has location' some 'collection of basal ganglia')
DOID:1100	ovarian disease	disease and ('disease has location' some ovary)
DOID:11054	urinary bladder cancer	cancer and ('disease has location' some 'urinary bladder')
DOID:1115	sarcoma	cancer and ('derives from' some 'embryonic cell (metazoa)')
DOID:112	esophageal varix	'vein disease' and ('disease has location' some esophagus)
DOID:11201	parathyroid gland disease	disease and ('disease has location' some 'parathyroid gland')
DOID:11223	small intestine diverticulitis	diverticulitis and ('disease has location' some 'small intestine')
DOID:11239	appendix cancer	cancer and ('disease has location' some 'vermiform appendix')
DOID:11266	Hantavirus hemorrhagic fever with renal syndrome	'viral infectious disease' and ('disease has location' some kidney)
DOID:11299	vertebral artery occlusion	'occlusion precerebral artery' and ('disease has location' some 'vertebral artery')
DOID:1138	spinal meningioma	meningioma and ('disease has location' some 'spinal cord')
DOID:11387	epidural abscess	disease and ('disease has location' some 'epidural space')
DOID:114	heart disease	disease and ('disease has location' some heart)
DOID:11424	fallopian tube endometriosis	endometriosis and ('disease has location' some 'fallopian tube')
DOID:11428	endometriosis of intestine	endometriosis and ('disease has location' some intestine)
DOID:11432	endometriosis of ovary	endometriosis and ('disease has location' some ovary)
DOID:11465	autonomic nervous system disease	disease and ('disease has location' some 'autonomic nervous system')
DOID:11472	subglottis cancer	cancer and ('disease has location' some subglottis)
DOID:11563	retinal vasculitis	vasculitis and ('disease has location' some retina)
DOID:11577	Cauda equina syndrome	syndrome and ('disease has location' some 'cauda equina')
DOID:116	pericardium cancer	cancer and ('disease has location' some pericardium)
DOID:11615	penile cancer	cancer and ('disease has location' some penis)
DOID:11624	penile benign neoplasm	'benign neoplasm' and ('disease has location' some penis)
DOID:11695	portal vein thrombosis	thrombosis and ('disease has location' some 'portal vein')
DOID:117	heart cancer	cancer and ('disease has location' some heart)
DOID:11746	parametrium malignant neoplasm	cancer and ('disease has location' some parametrium)
DOID:11748	round ligament malignant neoplasm	cancer and ('disease has location' some 'round ligament of uterus')
DOID:1176	bronchial disease	disease and ('disease has location' some bronchus) and ('disease has location' some bronchiole)
DOID:11809	bladder neck cancer	cancer and ('disease has location' some 'neck of urinary bladder')
DOID:11813	bladder trigone cancer	cancer and ('disease has location' some 'trigone of urinary bladder')
DOID:11817	urachus cancer	cancer and ('disease has location' some urachus)
DOID:11818	ureteric orifice cancer	cancer and ('disease has location' some 'ureteral orifice')
DOID:11819	ureter cancer	cancer and ('disease has location' some ureter)
DOID:11839	glans penis cancer	cancer and ('disease has location' some 'glans penis')
DOID:11847	coronary thrombosis	thrombosis and ('disease has location' some 'coronary artery')
DOID:11885	ureteral benign neoplasm	'benign neoplasm' and ('disease has location' some ureter)
DOID:11888	schwannoma of ureter	neurilemmoma and ('disease has location' some ureter)
DOID:119	vaginal cancer	cancer and ('disease has location' some vagina)
DOID:1192	peripheral nervous system neoplasm	cancer and ('disease has location' some 'peripheral nervous system')
DOID:11920	tracheal cancer	cancer and ('disease has location' some trachea)
DOID:11934	head and neck cancer	cancer and ('disease has location' some (head and neck))
DOID:120	female reproductive organ cancer	cancer and ('disease has location' some 'female reproductive system')
DOID:12016	frontal lobe neoplasm	cancer and ('disease has location' some 'frontal lobe')
DOID:1205	allergic disease	disease and ('has symptom' some 'allergic reaction')
DOID:12064	mediastinum neurofibroma	neurofibroma and ('disease has location' some mediastinum)
DOID:121	vaginal disease	disease and ('disease has location' some vagina)
DOID:12190	descending colon cancer	cancer and ('disease has location' some 'descending colon')
DOID:12191	splenic flexure cancer	cancer and ('disease has location' some 'splenic flexure of colon')
DOID:12192	sigmoid colon cancer	cancer and ('disease has location' some 'sigmoid colon')
DOID:1222	cartilage disease	disease and ('disease has location' some 'cartilage tissue')
DOID:12282	femoral vein thrombophlebitis	thrombophlebitis and ('disease has location' some 'femoral vein')
DOID:12365	malaria	'parasitic protozoa infectious disease' and ('has material basis in' some Plasmodium)
DOID:1237	corneal degeneration	'eye degenerative disease' and ('disease has location' some cornea)
DOID:12385	shigellosis	'bacterial infectious disease' and ('disease has location' some colon)
DOID:1243	labia minora cancer	cancer and ('disease has location' some 'labium minora')
DOID:1245	vulva cancer	cancer and ('disease has location' some 'mammalian vulva')
DOID:12491	Vagus nerve disease	disease and ('disease has location' some 'vagus nerve')
DOID:12528	lesion of sciatic nerve	disease and ('disease has location' some 'sciatic nerve')
DOID:12529	tibial nerve palsy	disease and ('disease has location' some 'tibial nerve')
DOID:12581	olecranon bursitis	bursitis and ('disease has location' some olecranon)
DOID:12657	vestibulocochlear nerve disease	disease and ('disease has location' some 'vestibulocochlear nerve')
DOID:12661	tooth ankylosis	ankylosis and ('disease has location' some 'calcareous tooth')
DOID:12662	paracoccidioidomycosis	'primary systemic mycosis' and ('disease has location' some ('zone of skin' or 'lymph node' or mucosa or 'bone element' or lung))
DOID:127	leiomyoma	'benign neoplasm' and ('derives from' some 'smooth muscle cell')
DOID:1271	capillary disease	'vascular disease' and ('disease has location' some capillary)
DOID:12759	choroid cancer	cancer and ('disease has location' some 'optic choroid')
DOID:1279	ocular motility disease	'cranial nerve disease' and ('disease has location' some eye)
DOID:1287	cardiovascular system disease	disease and ('disease has location' some 'cardiovascular system')
DOID:12897	submandibular gland disease	disease and ('disease has location' some 'submandibular gland')
DOID:12919	Plasmodium ovale malaria	malaria and ('has material basis in' some 'Plasmodium ovale')
DOID:12969	central nervous system leukemia	leukemia and ('disease has location' some 'central nervous system')
DOID:12978	Plasmodium vivax malaria	malaria and ('has material basis in' some 'Plasmodium vivax')
DOID:13095	vertebral artery insufficiency	syndrome and ('disease has location' some 'vertebral artery')
DOID:13145	benign renovascular hypertension	'benign secondary hypertension' and ('disease has location' some kidney)
DOID:13168	prepuce cancer	cancer and ('disease has location' some prepuce)
DOID:13169	spermatic cord cancer	cancer and ('disease has location' some 'spermatic cord')
DOID:1319	brain cancer	cancer and ('disease has location' some brain)
DOID:1324	lung cancer	cancer and ('disease has location' some lung)
DOID:1325	bronchus cancer	cancer and ('disease has location' some bronchus) and ('disease has location' some bronchiole)
DOID:13254	diverticulitis of colon	diverticulitis and ('disease has location' some colon)
DOID:13271	cutaneous porphyria	porphyria and ('disease has location' some 'zone of skin')
DOID:13348	laryngeal cartilage cancer	cancer and ('disease has location' some 'laryngeal cartilage')
DOID:13386	gastrointestinal anthrax	'anthrax disease' and ('disease has location' some 'digestive system')
DOID:13402	skin sarcoidosis	sarcoidosis and ('disease has location' some 'zone of skin')
DOID:13446	basilar artery occlusion	'occlusion precerebral artery' and ('disease has location' some 'basilar artery')
DOID:13476	supraglottis cancer	cancer and ('disease has location' some 'supraglottic part of larynx')
DOID:13499	jejunal cancer	cancer and ('disease has location' some jejunum)
DOID:1350	paranasal sinus benign neoplasm	'benign neoplasm' and ('disease has location' some 'paranasal sinus')
DOID:1352	paranasal sinus disease	disease and ('disease has location' some 'paranasal sinus')
DOID:1357	maxillary sinus cancer	cancer and ('disease has location' some 'maxillary sinus')
DOID:1358	maxillary sinus benign neoplasm	'benign neoplasm' and ('disease has location' some 'maxillary sinus')
DOID:1360	frontal sinus cancer	cancer and ('disease has location' some 'frontal sinus')
DOID:1361	frontal sinus benign neoplasm	'benign neoplasm' and ('disease has location' some 'frontal sinus')
DOID:1363	ethmoid sinus cancer	cancer and ('disease has location' some 'ethmoid sinus')
DOID:1364	ethmoidal sinus benign neoplasm	'benign neoplasm' and ('disease has location' some 'ethmoid sinus')
DOID:13730	malignant renovascular hypertension	'malignant secondary hypertension' and ('disease has location' some kidney)
DOID:13742	neurofibroma of spinal cord	neurofibroma and ('disease has location' some 'spinal cord')
DOID:1380	endometrial cancer	cancer and ('disease has location' some endometrium)
DOID:13814	hypoglossal nerve disease	disease and ('disease has location' some 'hypoglossal nerve')
DOID:13819	lymphogranuloma venereum	'granuloma inguinale' and ('disease has location' some lymph)
DOID:1383	sweat gland disease	disease and ('disease has location' some 'sweat gland')
DOID:13864	trochlear nerve disease	disease and ('disease has location' some 'trochlear nerve')
DOID:1393	visual pathway disease	disease and ('disease has location' some 'optic tract')
DOID:1400	lacrimal apparatus disease	disease and ('disease has location' some 'lacrimal apparatus')
DOID:14006	splenic artery aneurysm	'vascular disease' and ('disease has location' some 'splenic artery')
DOID:14059	paraurethral gland cancer	cancer and ('disease has location' some 'paraurethral gland')
DOID:14067	Plasmodium falciparum malaria	malaria and ('has material basis in' some 'Plasmodium falciparum')
DOID:14092	renal artery atheroma	atherosclerosis and ('disease has location' some 'renal artery')
DOID:14110	anus cancer	cancer and ('disease has location' some anus)
DOID:1417	choroid disease	disease and ('disease has location' some 'optic choroid')
DOID:14239	gastrointestinal tularemia	tularemia and ('disease has location' some 'digestive system')
DOID:1426	ureteral disease	disease and ('disease has location' some ureter)
DOID:1428	endocrine pancreas disease	disease and ('disease has location' some 'endocrine pancreas')
DOID:14384	parietal lobe neoplasm	cancer and ('disease has location' some 'parietal lobe')
DOID:14546	sphenoidal sinus cancer	cancer and ('disease has location' some 'sphenoidal sinus')
DOID:15	reproductive system disease	disease and ('disease has location' some 'reproductive system')
DOID:1517	cecal benign neoplasm	'benign neoplasm' and ('disease has location' some caecum)
DOID:1518	cecal disease	disease and ('disease has location' some caecum)
DOID:1521	cecum cancer	cancer and ('disease has location' some caecum)
DOID:1529	penile disease	disease and ('disease has location' some penis)
DOID:1532	pleural disease	disease and ('disease has location' some pleura)
DOID:154	mixed cell type cancer	cancer and ((('derives from' some 'ectodermal cell') and ('derives from' some 'mesodermal cell')) or (('derives from' some 'ectodermal cell') and ('derives from' some 'endodermal cell')) or (('derives from' some 'mesodermal cell') and ('derives from' some 'endodermal cell')))
DOID:1564	fungal infectious disease	disease and ('has material basis in' some Fungi)
DOID:1579	respiratory system disease	disease and ('disease has location' some 'respiratory system')
DOID:16	integumentary system disease	disease and ('disease has location' some 'integumental system')
DOID:1612	breast cancer	cancer and ('disease has location' some breast)
DOID:1614	male breast cancer	cancer and ('disease has location' some 'male breast')
DOID:1637	breast angiomatosis	'capillary disease' and ('disease has location' some breast)
DOID:1657	ventricular septal defect	'heart disease' and ('disease has location' some 'interventricular septum')
DOID:1681	heart septal defect	'heart disease' and ('disease has location' some 'cardiac septum')
DOID:17	musculoskeletal system disease	disease and ('disease has location' some 'musculoskeletal system')
DOID:170	endocrine gland cancer	cancer and ('disease has location' some 'endocrine gland')
DOID:1725	peritoneum cancer	cancer and ('disease has location' some peritoneum)
DOID:1727	retinal vein occlusion	'retinal vascular occlusion' and ('disease has location' some 'central retinal vein')
DOID:1737	duodenal benign neoplasm	'benign neoplasm' and ('disease has location' some duodenum)
DOID:1749	squamous cell carcinoma	cancer and ('derives from' some 'squamous epithelial cell')
DOID:175	vascular cancer	cancer and ('disease has location' some 'vascular system')
DOID:1756	facial nerve disease	disease and ('disease has location' some 'facial nerve')
DOID:176	cardiovascular cancer	cancer and ('disease has location' some 'cardiovascular system')
DOID:178	vascular disease	disease and ('disease has location' some 'vascular system')
DOID:1781	thyroid cancer	cancer and ('disease has location' some 'thyroid gland')
DOID:1785	pituitary cancer	cancer and ('disease has location' some 'pituitary gland')
DOID:1790	malignant mesothelioma	cancer and (('derives from' some 'epithelioid macrophage') and ('disease has location' some mesothelium))
DOID:1793	pancreatic cancer	cancer and ('disease has location' some pancreas)
DOID:1795	malignant exocrine pancreas neoplasm	cancer and ('disease has location' some 'exocrine pancreas')
DOID:1799	islet cell tumor	cancer and ('disease has location' some 'islet of Langerhans')
DOID:18	urinary system disease	disease and ('disease has location' some 'renal system')
DOID:184	bone cancer	cancer and ('disease has location' some 'bone element')
DOID:1862	jaw cancer	cancer and ('disease has location' some 'jaw skeleton')
DOID:1863	skull cancer	cancer and ('disease has location' some skull)
DOID:1882	atrial heart septal defect	'heart disease' and ('disease has location' some 'interatrial septum')
DOID:1891	optic nerve disease	disease and ('disease has location' some 'cranial nerve II')
DOID:1909	melanoma	cancer and ('derives from' some melanocyte)
DOID:1925	Coffin-Siris syndrome	syndrome and ('disease has location' some 'digit 5')
DOID:193	reproductive organ cancer	cancer and ('disease has location' some 'reproductive system')
DOID:1931	hypothalamic disease	disease and ('disease has location' some hypothalamus)
DOID:1962	fallopian tube disease	disease and ('disease has location' some 'fallopian tube')
DOID:1964	fallopian tube cancer	cancer and ('disease has location' some 'fallopian tube')
DOID:1965	fallopian tube leiomyosarcoma	leiomyosarcoma and ('disease has location' some 'fallopian tube')
DOID:1984	rectal benign neoplasm	'benign neoplasm' and ('disease has location' some rectum)
DOID:1993	rectum cancer	cancer and ('disease has location' some rectum)
DOID:201	connective tissue cancer	cancer and ('disease has location' some 'connective tissue')
DOID:2021	placenta cancer	cancer and ('disease has location' some placenta)
DOID:2059	vulvar disease	disease and ('disease has location' some 'mammalian vulva')
DOID:2095	sweat gland cancer	cancer and ('disease has location' some 'sweat gland')
DOID:2135	temporal lobe neoplasm	cancer and ('disease has location' some 'temporal lobe')
DOID:2163	nasal cavity disease	disease and ('disease has location' some 'nasal cavity')
DOID:2173	eyelid benign neoplasm	'benign neoplasm' and ('disease has location' some eyelid)
DOID:2174	ocular cancer	cancer and ('disease has location' some eye)
DOID:218	ascending colon cancer	cancer and ('disease has location' some 'ascending colon')
DOID:219	colon cancer	cancer and ('disease has location' some colon)
DOID:2218	blood platelet disease	disease and ('disease has location' some platelet)
DOID:222	perichondritis of auricle	'otitis externa' and ('disease has location' some pinna)
DOID:223	basilar artery insufficiency	syndrome and ('disease has location' some 'basilar artery')
DOID:225	syndrome	disease and ('disease has basis in' some symptom)
DOID:2253	cervix disease	disease and ('disease has location' some 'uterine cervix')
DOID:2256	osteochondrodysplasia	disease and ('has phenotype' some 'Skeletal dysplasia')
DOID:2277	gonadal disease	disease and ('disease has location' some gonad)
DOID:2286	capillary lymphangioma	lymphangioma and ('disease has location' some capillary)
DOID:229	female reproductive system disease	disease and ('disease has location' some 'female reproductive system')
DOID:231	motor neuron disease	disease and ('disease has location' some 'motor neuron')
DOID:2338	mandibular cancer	cancer and ('disease has location' some mandible)
DOID:235	colonic benign neoplasm	lymphangioma and ('disease has location' some colon)
DOID:2355	anemia	disease and ('has material basis in' some erythrocyte)
DOID:238	pupil disease	disease and ('disease has location' some pupil)
DOID:2388	renal artery disease	'vascular disease' and ('disease has location' some 'renal artery')
DOID:2394	ovarian cancer	cancer and ('disease has location' some ovary)
DOID:240	iris disease	disease and ('disease has location' some iris)
DOID:2401	clitoris cancer	cancer and ('disease has location' some clitoris)
