extClass,label
OMIM:613926,"Megalencephalic Leukoencephalopathy With Subcortical Cysts 2b, Remitting, With Or Without Mental Retardation"
OMIM:260660,Cousin Syndrome
OMIM:186770,"T-Cell Leukemia, Homeobox 1"
OMIM:615723,Premature Ovarian Failure 8
OMIM:153890,"Macular Dystrophy, Fenestrated Sheen Type"
OMIM:193240,Vocal Cord Paralysis And Ptosis
OMIM:222500,Diastematomyelia
OMIM:108985,Sveinsson Chorioretinal Atrophy
OMIM:112200,Blue Rubber Bleb Nevus
OMIM:251400,Microcolon
OMIM:218530,Craniosynostosis With Anomalies Of The Cranial Base And Digits
OMIM:131500,Epicanthus
OMIM:211900,"Tumoral Calcinosis, Hyperphosphatemic, Familial"
OMIM:211120,"Bone Dysplasia, Lethal, Holmgren Type"
OMIM:106260,Ankyloblepharon-Ectodermal Defects-Cleft Lip/Palate
OMIM:245050,Succinyl-Coa:3-Oxoacid Coa Transferase Deficiency
OMIM:140350,Hawkinsinuria
OMIM:179250,"Radial Hypoplasia, Triphalangeal Thumbs, Hypospadias, And Maxillary Diastema"
OMIM:239840,"Hypertrichosis, Congenital Anterior Cervical, With Peripheral Sensory And Motor Neuropathy"
OMIM:606721,"Partial Lipodystrophy, Congenital Cataracts, And Neurodegeneration Syndrome"
OMIM:615059,Hypotrichosis 11
OMIM:614946,Combined Oxidative Phosphorylation Deficiency 14
OMIM:259100,"Hypertrophic Osteoarthropathy, Primary, Autosomal Recessive, 1"
OMIM:615190,"Dyskeratosis Congenita, Autosomal Recessive, 5"
OMIM:102200,"Pituitary Adenoma, Growth Hormone-Secreting"
OMIM:603373,"Hyperthyroidism, Familial Gestational"
OMIM:226150,Enterocolitis
OMIM:270850,"Spastic Paresis, Glaucoma, And Mental Retardation"
OMIM:248910,"Cutaneous Mastocytosis, Conductive Hearing Loss And Microtia"
OMIM:300867,Kabuki Syndrome 2
OMIM:277730,Wernicke-Korsakoff Syndrome
OMIM:208900,Ataxia-Telangiectasia
OMIM:158500,"Muscular Atrophy, Ataxia, Retinitis Pigmentosa, And Diabetes Mellitus"
OMIM:615411,"Cortical Dysplasia, Complex, With Other Brain Malformations 3"
OMIM:223200,"Disorganization, Mouse, Homolog Of"
OMIM:306700,Hemophilia A
OMIM:610910,"Pulmonary Alveolar Proteinosis, Acquired"
OMIM:135150,Birt-Hogg-Dube Syndrome
OMIM:255995,Native American Myopathy
OMIM:124000,"Mitochondrial Complex Iii Deficiency, Nuclear Type 1"
OMIM:613068,Neurodegeneration Due To Cerebral Folate Transport Deficiency
OMIM:212090,Cardiac Septal Defects With Coarctation Of The Aorta
OMIM:614870,Peroxisome Biogenesis Disorder 6a (Zellweger)
OMIM:164800,"Nail Disorder, Nonsyndromic Congenital, 5"
OMIM:608354,Capillary Malformation-Arteriovenous Malformation
OMIM:236660,"Hydrocephalus, Tall Stature, Joint Laxity, And Kyphoscoliosis"
OMIM:614486,Thrombophilia Due To Thrombomodulin Defect
OMIM:614673,"Microcephaly 8, Primary, Autosomal Recessive"
OMIM:313350,Split-Hand/Foot Malformation 2
OMIM:612933,Glycogen Storage Disease Xi
OMIM:271550,Spondyloenchondrodysplasia
OMIM:266600,Inflammatory Bowel Disease 1
OMIM:258660,"Nonarteritic Anterior Ischemic Optic Neuropathy, Susceptibility To"
OMIM:601238,"Cerebellar Ataxia, Cayman Type"
OMIM:304300,"Cyanide, Inability To Smell"
OMIM:183850,Spondyloepiphyseal Dysplasia With Punctate Corneal Dystrophy
OMIM:614862,Peroxisome Biogenesis Disorder 4a (Zellweger)
OMIM:241530,"Hypophosphatemic Rickets With Hypercalciuria, Hereditary"
OMIM:313200,"Spinal And Bulbar Muscular Atrophy, X-Linked 1"
OMIM:228990,Fleck Retina Of Kandori
OMIM:170500,Hyperkalemic Periodic Paralysis
OMIM:191550,"Ureter, Bifid Or Double"
OMIM:604864,Osteoarthritis With Mild Chondrodysplasia
OMIM:600329,Osteopetrosis And Infantile Neuroaxonal Dystrophy
OMIM:615724,Premature Ovarian Failure 9
OMIM:600195,"Venous Malformations, Multiple Cutaneous And Mucosal"
OMIM:242520,"Ichthyosis, Hepatosplenomegaly, And Cerebellar Degeneration"
OMIM:181515,Scholte Syndrome
OMIM:263570,"Polyglucosan Body Disease, Adult Form"
OMIM:601362,Digeorge Syndrome/Velocardiofacial Syndrome Complex 2
OMIM:271600,"Spondyloepiphyseal Dysplasia Tarda, Autosomal Recessive"
OMIM:606156,Sener Syndrome
OMIM:307030,Glycerol Kinase Deficiency
OMIM:149000,Klippel-Trenaunay-Weber Syndrome
OMIM:150300,"Larynx, Congenital Partial Atresia Of"
OMIM:309640,Mental Retardation With Spastic Paraplegia
OMIM:252320,"Motor Neuropathy, Peripheral, With Dysautonomia"
OMIM:612348,"Thrombophilia, Familial, Due To Decreased Release Of Tissue Plasminogen Activator"
OMIM:245480,Specific Granule Deficiency
OMIM:184705,Steinfeld Syndrome
OMIM:608940,Spondylometaphyseal Dysplasia With Cone-Rod Dystrophy
OMIM:181450,Ulnar-Mammary Syndrome
OMIM:204000,Leber Congenital Amaurosis 1
OMIM:140600,Osteoarthritis Susceptibility 2
OMIM:179500,Raindrop Hypopigmentation
OMIM:150270,Laryngeal Adductor Paralysis
OMIM:259680,Chronic Recurrent Multifocal Osteomyelitis
OMIM:612233,"Leukodystrophy, Hypomyelinating, 4"
OMIM:266150,Pyruvate Carboxylase Deficiency
OMIM:613674,Vesicoureteral Reflux 3
OMIM:302803,"Charcot-Marie-Tooth Peroneal Muscular Atrophy, X-Linked, With Aplasia Cutis Congenita"
OMIM:228960,High Molecular Weight Kininogen Deficiency
OMIM:169300,Pectus Excavatum
OMIM:189300,"Tongue Curling, Folding, Or Rolling"
OMIM:615225,Corneal Intraepithelial Dyskeratosis And Ectodermal Dysplasia
OMIM:614808,Amyotrophic Lateral Sclerosis 18
OMIM:300868,Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome 2
OMIM:615529,"Craniosynostosis 5, Susceptibility To"
OMIM:615412,"Cortical Dysplasia, Complex, With Other Brain Malformations 4"
OMIM:135580,Fibromuscular Dysplasia Of Arteries
OMIM:605229,"Spastic Paraplegia 14, Autosomal Recessive"
OMIM:608782,Pyruvate Dehydrogenase Phosphatase Deficiency
OMIM:613843,Leber Congenital Amaurosis 15
OMIM:614871,Peroxisome Biogenesis Disorder 6b
OMIM:614487,"Spastic Ataxia 5, Autosomal Recessive"
OMIM:608355,Parkes Weber Syndrome
OMIM:239850,Cantu Syndrome
OMIM:613477,"Epileptic Encephalopathy, Early Infantile, 5"
OMIM:601718,Retinitis Pigmentosa 19
OMIM:193250,Volvulus Of Midgut
OMIM:246555,"Limb Defects, Distal Transverse, With Mental Retardation And Spasticity"
OMIM:609796,"Peeling Skin Syndrome, Acral Type"
OMIM:228600,Hyaline Fibromatosis Syndrome
OMIM:612934,Moved To 614921
OMIM:217085,"Congenital Heart Defects, Hamartomas Of Tongue, And Polysyndactyly"
OMIM:187770,Thoracopelvic Dysostosis
OMIM:156850,"Microphthalmia, Isolated, With Cataract 1"
OMIM:231670,Glutaric Acidemia I
OMIM:185200,"Striae Distensae, Familial"
OMIM:309548,"Mental Retardation, X-Linked, Associated With Fragile Site Fraxe"
OMIM:162100,"Amyotrophy, Hereditary Neuralgic"
OMIM:245450,Lactic Aciduria Due To D-Lactic Acid
OMIM:127200,Dwarfism With Stiff Joints And Ocular Abnormalities
OMIM:610755,"Multiple Endocrine Neoplasia, Type Iv"
OMIM:613329,Plasminogen Activator Inhibitor-1 Deficiency
OMIM:601560,Multiple Epiphyseal Dysplasia With Robin Phenotype
OMIM:602093,Cone Dystrophy 3
OMIM:131300,Camurati-Engelmann Disease
OMIM:186830,"Cd3 Antigen, Epsilon Subunit"
OMIM:182410,Sneddon Syndrome
OMIM:614676,"Cardiomyopathy, Familial Hypertrophic, 21"
OMIM:145100,Hyperpigmentation Of Eyelids
OMIM:158580,"Neuronopathy, Distal Hereditary Motor, Type Viia"
OMIM:614863,Peroxisome Biogenesis Disorder 4b
OMIM:212800,Cephalin Lipidosis
OMIM:602199,Medium Chain 3-Ketoacyl-Coa Thiolase Deficiency
OMIM:601363,Wilms Tumor 4
OMIM:308200,Ichthyosis And Male Hypogonadism
OMIM:153480,Bannayan-Riley-Ruvalcaba Syndrome
OMIM:108000,"Arteries, Anomalies Of"
OMIM:242300,"Ichthyosis, Congenital, Autosomal Recessive 1"
OMIM:236700,Mckusick-Kaufman Syndrome
OMIM:610250,"Spastic Paraplegia 31, Autosomal Dominant"
OMIM:202660,Pagod Syndrome
OMIM:601552,"Ectopia Lentis, Spontaneous Filtering Blebs, And Craniofacial Dysmorphism"
OMIM:614371,"Dengue Virus, Susceptibility To"
OMIM:193300,Von Hippel-Lindau Syndrome
OMIM:256500,Netherton Syndrome
OMIM:175510,"Polyps, Multiple And Recurrent Inflammatory Fibroid, Gastrointestinal"
OMIM:102770,Adenosine Monophosphate Deaminase 1
OMIM:219500,Cystathioninuria
OMIM:601186,"Microphthalmia, Syndromic 9"
OMIM:210750,"Skin/Hair/Eye Pigmentation, Variation In, 6"
OMIM:129830,Ectrodactyly-Cleft Palate Syndrome
OMIM:253270,Holocarboxylase Synthetase Deficiency
OMIM:146500,"Multiple System Atrophy 1, Susceptibility To"
OMIM:218450,"Craniostenosis, Sagittal, With Congenital Heart Disease, Mental Deficiency, And Mandibular Ankylosis"
OMIM:600467,"Malignant Hyperthermia, Susceptibility To, 4"
OMIM:614872,Peroxisome Biogenesis Disorder 7a (Zellweger)
OMIM:613675,"Chromosome 17q11.2 Deletion Syndrome, 1.4-Mb"
OMIM:261650,"Phosphoenolpyruvate Carboxykinase Deficiency, Mitochondrial"
OMIM:277320,"Visceral Myopathy, Familial, With External Ophthalmoplegia"
OMIM:615005,"Epilepsy, Nocturnal Frontal Lobe, 5"
OMIM:609115,"Limb-Girdle Muscular Dystrophy, Type 1g"
OMIM:600059,Retinitis Pigmentosa 13
OMIM:607932,"Microphthalmia, Syndromic 6"
OMIM:212350,Sengers Syndrome
OMIM:615226,"Polydactyly, Postaxial, Type A6"
OMIM:614809,Cfhr5 Deficiency
OMIM:247630,"Lymphoid System Deterioration, Progressive"
OMIM:119300,Van Der Woude Syndrome 1
OMIM:615413,Spermatogenic Failure 12
OMIM:183600,Split-Hand/Foot Malformation 1
OMIM:211770,Cahmr Syndrome
OMIM:614675,Bone Marrow Failure Syndrome 1
OMIM:601869,"Deafness, Autosomal Recessive 15"
OMIM:194000,Widow'S Peak
OMIM:217100,"Constricting Bands, Congenital"
OMIM:270150,Sjogren Syndrome
OMIM:605827,"Basaloid Follicular Hamartoma Syndrome, Generalized, Autosomal Dominant"
OMIM:610313,Cold-Induced Sweating Syndrome 2
OMIM:265200,Pulmonary Bullae Causing Pneumothorax
OMIM:134780,Femoral-Facial Syndrome
OMIM:118301,Charcot-Marie-Tooth Disease With Ptosis And Parkinsonism
OMIM:309549,"Mental Retardation, X-Linked 9"
OMIM:129100,"Ears, Ability To Move"
OMIM:180700,"Robinow Syndrome, Autosomal Dominant"
OMIM:609270,"Spinocerebellar Ataxia, Autosomal Recessive 7"
OMIM:607872,Chromosome 1p36 Deletion Syndrome
OMIM:122700,Coumarin Resistance
OMIM:611307,"Muscular Dystrophy, Limb-Girdle, Type 2l"
OMIM:125590,Dermatoglyphics--Fingerprint Pattern
OMIM:115800,Cataract 29
OMIM:605419,Schizophrenia 10
OMIM:251950,Mitochondrial Myopathy With Lactic Acidosis
OMIM:300604,Premature Ovarian Failure 2b
OMIM:610756,Cerebrooculofacioskeletal Syndrome 2
OMIM:279000,Young Syndrome
OMIM:166300,Multicentric Carpotarsal Osteolysis Syndrome
OMIM:601561,Dyssegmental Dysplasia With Glaucoma
OMIM:613517,"Microphthalmia, Isolated 6"
OMIM:251280,Microcephaly With Spastic Quadriplegia
OMIM:310600,Norrie Disease
OMIM:614935,"Ciliary Dyskinesia, Primary, 19"
OMIM:219000,Fraser Syndrome
OMIM:161550,"Nasopharyngeal Carcinoma, Susceptibility To, 2"
OMIM:258840,Oral And Digital Anomalies With Ichthyosis
OMIM:270200,Sjogren-Larsson Syndrome
OMIM:207000,Anosmia For Isobutyric Acid
OMIM:130700,"Emphysema, Hereditary Pulmonary"
OMIM:605285,"Neuropathy, Hereditary Motor And Sensory, Russe Type"
OMIM:166910,"Ovalocytosis, Hereditary Hemolytic, With Defective Erythropoiesis"
OMIM:607088,"Spinal Muscular Atrophy, Distal, Autosomal Recessive, 3"
OMIM:614527,Chromosome 17q12 Deletion Syndrome
OMIM:613853,"Transposition Of The Great Arteries, Dextro-Looped 2"
OMIM:241120,Hypohidrosis With Abnormal Palmar Dermal Ridges
OMIM:610251,"Alcohol Sensitivity, Acute"
OMIM:122440,Corneodermatoosseous Syndrome
OMIM:614714,"Porokeratosis 7, Disseminated Superficial Actinic Type"
OMIM:312060,"Properdin Deficiency, X-Linked"
OMIM:613402,"Epileptic Encephalopathy, Early Infantile, 10"
OMIM:141405,"Hemifacial Spasm, Familial"
OMIM:609311,"Charcot-Marie-Tooth Disease, Type 4h"
OMIM:114835,Carboxylesterase 1
OMIM:600080,"Myelocytic Leukemia-Like Syndrome, Familial, Chronic"
OMIM:225280,Eem Syndrome
OMIM:601187,Gurrieri Syndrome
OMIM:117650,Cerebrocostomandibular Syndrome
OMIM:615193,"Bleeding Disorder, Platelet-Type, 15"
OMIM:430000,"Interleukin 3 Receptor, Y-Chromosomal"
OMIM:129540,Ectodermal Dysplasia Syndrome With Distinctive Facial Appearance And Preaxial Polydactyly Of Feet
OMIM:300555,Dent Disease 2
OMIM:312300,"Androgen Insensitivity, Partial"
OMIM:223400,Duodenal Atresia
OMIM:212093,"Cardiac Valvular Defect, Developmental"
OMIM:614873,Peroxisome Biogenesis Disorder 7b
OMIM:600082,"Prostatic Hyperplasia, Benign"
OMIM:602111,"Spondyloepimetaphyseal Dysplasia, Missouri Type"
OMIM:115300,"Hypercarotenemia And Vitamin A Deficiency, Autosomal Dominant"
OMIM:608051,"Macular Dystrophy, Retinal, 2"
OMIM:612840,"Leukocyte Adhesion Deficiency, Type Iii"
OMIM:204900,"Amyloidosis, Cutaneous Bullous"
OMIM:602629,"Dystonia 6, Torsion"
OMIM:609524,"Myopathy, Myofibrillar, 5"
OMIM:213950,Cerebrocortical Degeneration Of Infancy
OMIM:200970,Ackerman Syndrome
OMIM:134610,"Familial Mediterranean Fever, Autosomal Dominant"
OMIM:613916,"Deafness, Autosomal Recessive 89"
OMIM:613845,"Hyperuricemia, Pulmonary Hypertension, Renal Failure, And Alkalosis"
OMIM:216340,Yunis-Varon Syndrome
OMIM:233910,"Hyperphenylalaninemia, Bh4-Deficient, B"
OMIM:169170,Patterson Pseudoleprechaunism Syndrome
OMIM:159580,"Myelopathy, Htlv-1-Associated"
OMIM:190650,Triphalangeal Thumbs And Dislocation Of Patella
OMIM:108010,Arteriovenous Malformations Of The Brain
OMIM:600919,"Cardiac Arrhythmia, Ankyrin-B-Related"
OMIM:614038,"Lymphedema, Primary, With Myelodysplasia"
OMIM:272750,"Gm2-Gangliosidosis, Ab Variant"
OMIM:613353,"Mononeuropathy Of The Median Nerve, Mild"
OMIM:614678,"Pontocerebellar Hypoplasia, Type 1b"
OMIM:610978,"Choreoathetosis, Hypothyroidism, And Neonatal Respiratory Distress"
OMIM:611489,Corticosteroid-Binding Globulin Deficiency
OMIM:181010,Salivary Duct Calculi
OMIM:253700,"Muscular Dystrophy, Limb-Girdle, Type 2c"
OMIM:123400,Creutzfeldt-Jakob Disease
OMIM:264350,"Pseudohypoaldosteronism, Type I, Autosomal Recessive"
OMIM:614936,"Palmoplantar Keratoderma, Punctate Type Ib"
OMIM:143470,Hyperalphalipoproteinemia 1
OMIM:300042,"Alopecia, Congenital"
OMIM:615540,"Deafness, Autosomal Recessive 76"
OMIM:146255,"Hypoparathyroidism, Sensorineural Deafness, And Renal Disease"
OMIM:273740,Thoracomelic Dysplasia
OMIM:200500,Acheiropody
OMIM:611174,Hamamy Syndrome
OMIM:607326,Smith-Mccort Dysplasia 1
OMIM:300263,Siderius X-Linked Mental Retardation Syndrome
OMIM:261400,"Peroneus Tertius Muscle, Absence Of"
OMIM:165680,"Ossicular Malformations, Familial"
OMIM:101400,Saethre-Chotzen Syndrome
OMIM:300471,Cubitus Valgus With Mental Retardation And Unusual Facies
OMIM:167000,Ovarian Cancer
OMIM:602483,Auriculocondylar Syndrome 1
OMIM:227320,Faciothoracogenital Syndrome
OMIM:225100,"Ectopia Lentis 2, Isolated, Autosomal Recessive"
OMIM:248900,Mast Syndrome
OMIM:613854,"Transposition Of The Great Arteries, Dextro-Looped 3"
OMIM:155255,Medulloblastoma
OMIM:614373,"Amyotrophic Lateral Sclerosis 16, Juvenile"
OMIM:135400,"Hypertrichosis Terminalis, Generalized, With Or Without Gingival Hyperplasia"
OMIM:606053,"Autism, Susceptibility To, 5"
OMIM:612164,"Epileptic Encephalopathy, Early Infantile, 4"
OMIM:277720,"Whistling Face Syndrome, Recessive Form"
OMIM:218040,Costello Syndrome
OMIM:127820,Dysplasia Epiphysealis Hemimelica With Chondromas And Osteochondromas
OMIM:214500,Chediak-Higashi Syndrome
OMIM:255100,Myopathy With Abnormal Lipid Metabolism
OMIM:159550,Myelocerebellar Disorder
OMIM:151440,Lymphoblastic Leukemia-Derived Sequence 1
OMIM:272800,Tay-Sachs Disease
OMIM:606159,Neurodegeneration With Brain Iron Accumulation 3
OMIM:236400,Humeroradial Synostosis
OMIM:605779,"Nail Disorder, Nonsyndromic Congenital, 7"
OMIM:274205,"Thumb, Hypoplastic, With Choroid Coloboma, Poorly Developed Antihelix, And Deafness"
OMIM:613800,Meier-Gorlin Syndrome 2
OMIM:263540,"Polydactyly, Postaxial, With Dental And Vertebral Anomalies"
OMIM:115080,Cardiac Conduction Defect
OMIM:601367,"Stroke, Ischemic"
OMIM:173600,"Pneumothorax, Primary Spontaneous"
OMIM:613794,Retinitis Pigmentosa 20
OMIM:613677,"Hyperaldosteronism, Familial, Type Iii"
OMIM:611895,Amyotrophic Lateral Sclerosis 9
OMIM:615612,Developmental Dysplasia Of The Hip 2
OMIM:249210,Moved To 155310
OMIM:615228,"Mitochondrial Complex V (Atp Synthase) Deficiency, Nuclear Type 4"
OMIM:610883,Potocki-Lupski Syndrome
OMIM:250215,Metaphyseal Acroscyphodysplasia
OMIM:177850,"Pseudoxanthoma Elasticum, Forme Fruste"
OMIM:249600,"Mental Retardation Syndrome, Mietens-Weber Type"
OMIM:609338,Carotid Intimal Medial Thickness 1
OMIM:182200,"Sella Turcica, Bridged"
OMIM:157150,Microspherophakia With Hernia
OMIM:185750,Symphalangism With Multiple Anomalies Of Hands And Feet
OMIM:144020,Hypercholesterolemia Suppressor
OMIM:130020,"Ehlers-Danlos Syndrome, Type Iii"
OMIM:171420,Pheochromocytoma--Islet Cell Tumor Syndrome
OMIM:245180,Kifafa Seizure Disorder
OMIM:210050,"Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification"
OMIM:611717,Spondyloepiphyseal Dysplasia-Brachydactyly And Distinctive Speech
OMIM:148200,Keratitis Fugax Hereditaria
OMIM:614874,"Ciliary Dyskinesia, Primary, 18"
OMIM:155980,"Membranous Cranial Ossification, Delayed"
OMIM:130710,"Emphysema, Congenital Lobar"
OMIM:243440,Isotretinoin Embryopathy-Like Syndrome
OMIM:110800,"Blood Group, I System"
OMIM:148370,Keratolytic Winter Erythema
OMIM:612867,"Corneal Dystrophy, Subepithelial Mucinous"
OMIM:262600,"Pituitary Hormone Deficiency, Combined, 2"
OMIM:145650,"Thyroid Hormone Resistance, Selective Pituitary"
OMIM:600122,"Male Pseudohermaphroditism/Mental Retardation Syndrome, Verloes Type"
OMIM:614039,"Cortical Dysplasia, Complex, With Other Brain Malformations 1"
OMIM:154400,"Acrofacial Dysostosis 1, Nager Type"
OMIM:113310,Brachydactyly-Ectrodactyly With Fibular Aplasia Or Hypoplasia
OMIM:614679,"Ciliary Dyskinesia, Primary, 17"
OMIM:614170,Brittle Cornea Syndrome 2
OMIM:225290,Ectrodactyly-Polydactyly
OMIM:602553,"Anal Atresia, Hypospadias, And Penoscrotal Inversion"
OMIM:226950,"Epiphyseal Dysplasia Of Femoral Head, Myopia, And Deafness"
OMIM:173100,"Isolated Growth Hormone Deficiency, Type Ii"
